evolution$generation,evolution$evaluated,popInit,propInfecte,teG,tiG,trG,beta,infectionRadiusI,objective$integraleInfected,objective$integraleExposed,evolution$samples,propExposed,teG,trG,sd_expo_t,infectionRadiusI,propRecovered,integraleInfected,tiG,propInfecte,mySeed,integraleExposed,propInfected,propSuseptible
300,11504,698.3281262771736,12.65489823773048,35.48374165511091,1.0,42.73665423065975,0.1,1.0,9.406052356111093,385.1000715838341,1,"[0.21336674608013764]","[35.48374165511091]","[42.73665423065975]","[2.0]","[1.0]","[0.2835343337172299]","[9.406052356111093]","[1.0]","[12.65489823773048]","[-1376485055]","[385.1000715838341]","[0.2835343337172299]","[0.4911731134596457]"
300,11504,963.480713299581,7.044779143843284,6.6835880818780495,9.355316989207349,362.3753303370695,0.31894314897242754,2.8059951428113408,23.46177985230984,351.7172588442679,8,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[6.6835880818780495,6.6835880818780495,6.6835880818780495,6.6835880818780495,6.6835880818780495,6.6835880818780495,6.6835880818780495,6.6835880818780495]","[362.3753303370695,362.3753303370695,362.3753303370695,362.3753303370695,362.3753303370695,362.3753303370695,362.3753303370695,362.3753303370695]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]","[2.8059951428113408,2.8059951428113408,2.8059951428113408,2.8059951428113408,2.8059951428113408,2.8059951428113408,2.8059951428113408,2.8059951428113408]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[23.475591170704952,23.514248849048663,23.428578336256777,23.46956412852468,23.41772382398458,23.453995576094997,23.45295767259968,23.544293180187204]","[9.355316989207349,9.355316989207349,9.355316989207349,9.355316989207349,9.355316989207349,9.355316989207349,9.355316989207349,9.355316989207349]","[7.044779143843284,7.044779143843284,7.044779143843284,7.044779143843284,7.044779143843284,7.044779143843284,7.044779143843284,7.044779143843284]","[1536615492,-1368294066,692296680,-1873183550,-596328743,-1779201940,1315771164,-2024183338]","[351.5349139730638,351.70513014629506,351.7532593226329,351.6985017865475,351.7792069100157,351.7584488401095,351.59964960532665,351.7293875422407]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.9995010659861215,0.9995010659861215,0.9995010659861215,0.9995010659861215,0.9995010659861215,0.9995010659861215,0.9995010659861215,0.9995010659861215]"
300,11504,834.5754789929448,3.2782737974589984,42.38496348181299,44.28022691235948,1.0,0.7654589940030226,3.7384656388037074,341.57024172939146,15.975261457162192,1,"[0.3774374013242041]","[42.38496348181299]","[1.0]","[2.0]","[3.7384656388037074]","[0.08866783396187652]","[341.57024172939146]","[44.28022691235948]","[3.2782737974589984]","[-1168449761]","[15.975261457162192]","[0.08866783396187652]","[0.0]"
300,11504,523.8798346550018,12.005701947331573,3.5153105159561013,17.222778163806318,2.6679253382190247,0.26132408232744364,2.708262722470492,468.6225452333721,29.85047606512198,6,"[0.2366955011384615,0.21569831958585606,0.21188065021265506,0.21760715427245655,0.2405131705116625,0.23096899707866]","[3.5153105159561013,3.5153105159561013,3.5153105159561013,3.5153105159561013,3.5153105159561013,3.5153105159561013]","[2.6679253382190247,2.6679253382190247,2.6679253382190247,2.6679253382190247,2.6679253382190247,2.6679253382190247]","[2.0,2.0,2.0,2.0,2.0,2.0]","[2.708262722470492,2.708262722470492,2.708262722470492,2.708262722470492,2.708262722470492,2.708262722470492]","[0.2977782111096774,0.2939605417364764,0.3416814089014888,0.3264107314086848,0.31495772328908184,0.3454990782746898]","[467.5211476192037,468.9012350976162,472.0164533061486,471.10784799532615,468.34385536912794,465.06065970817576]","[17.222778163806318,17.222778163806318,17.222778163806318,17.222778163806318,17.222778163806318,17.222778163806318]","[12.005701947331573,12.005701947331573,12.005701947331573,12.005701947331573,12.005701947331573,12.005701947331573]","[1928036756,-1690770448,-1504623308,-1017842700,553936164,-366658231]","[29.92016877965033,29.88657879461986,29.832348885372774,29.85198545093491,29.84896667930905,29.74107717953213]","[0.2977782111096774,0.2939605417364764,0.3416814089014888,0.3264107314086848,0.31495772328908184,0.3454990782746898]","[0.036267859045409426,0.01908834686600496,0.05153853653821339,0.02290601623920595,0.01908834686600496,0.02290601623920595]"
300,11504,524.392826035979,5.615462566248781,50.0,18.984381454806236,2.105037464517743,0.16591887974390968,2.891432326040592,180.33130169137246,19.10511296809614,1,"[0.6693455413059323]","[50.0]","[2.105037464517743]","[2.0]","[2.891432326040592]","[0.04576721649955093]","[180.33130169137246]","[18.984381454806236]","[5.615462566248781]","[250182808]","[19.10511296809614]","[0.04576721649955093]","[0.007627869416591822]"
300,11504,500.0,5.519967246506135,28.536962593626452,7.193013218888829,124.03025063308499,0.8596752192549881,2.8240846597940283,11.855430142036813,566.3447030850076,4,"[0.0,0.0,0.0,0.0]","[28.536962593626452,28.536962593626452,28.536962593626452,28.536962593626452]","[124.03025063308499,124.03025063308499,124.03025063308499,124.03025063308499]","[2.0,2.0,2.0,2.0]","[2.8240846597940283,2.8240846597940283,2.8240846597940283,2.8240846597940283]","[0.0,0.0,0.0,0.0]","[11.691159264451601,12.986670065279595,11.945622678358506,11.76523760571512]","[7.193013218888829,7.193013218888829,7.193013218888829,7.193013218888829]","[5.519967246506135,5.519967246506135,5.519967246506135,5.519967246506135]","[-71286918,191410839,-1292126834,-2087126961]","[566.3418295079308,566.8284648600207,566.3475766620844,566.1825705358897]","[0.0,0.0,0.0,0.0]","[1.0,1.0,1.0,1.0]"
300,11504,667.3399702610463,7.223230506937162,43.75774287732716,1.0,31.444477801877973,0.6765481764042885,2.7943845472636677,20.677342595364784,146.01700789804275,2,"[0.5469476073150861,0.6263673968704273]","[43.75774287732716,43.75774287732716]","[31.444477801877973,31.444477801877973]","[2.0,2.0]","[2.7943845472636677,2.7943845472636677]","[0.09740162869994684,0.19480325739989368]","[19.59625769888677,21.7584274918428]","[1.0,1.0]","[7.223230506937162,7.223230506937162]","[1409904002,-729176865]","[183.6893803563898,108.3446354396957]","[0.09740162869994684,0.19480325739989368]","[0.3071897520536785,0.032966705098443544]"
300,11504,545.651997634311,1.0,31.55634806925896,1.0,131.99806341490282,0.7891579071327589,1.8642414308219826,12.211988039091413,239.5228036567307,1,"[0.003665339829545304]","[31.55634806925896]","[131.99806341490282]","[2.0]","[1.8642414308219826]","[0.711075926931789]","[12.211988039091413]","[1.0]","[1.0]","[-554082362]","[239.5228036567307]","[0.711075926931789]","[0.28406383678976105]"
300,11504,884.0488448257586,7.223230506937162,43.52001843447416,16.775330006413757,31.44447780187798,0.33103970083633294,2.7943845472636677,114.59719302652412,89.33443202722233,5,"[0.3280361732242945,0.45246368720592345,0.29297023746583545,0.46038180173202714,0.34613472071253143]","[43.52001843447416,43.52001843447416,43.52001843447416,43.52001843447416,43.52001843447416]","[31.44447780187798,31.44447780187798,31.44447780187798,31.44447780187798,31.44447780187798]","[2.0,2.0,2.0,2.0,2.0]","[2.7943845472636677,2.7943845472636677,2.7943845472636677,2.7943845472636677,2.7943845472636677]","[0.4083484777033459,0.37328254194488686,0.3925122486511386,0.3653644274187832,0.38459413412503496]","[114.59719302652412,116.90162509223828,113.91315527735146,117.38980117730145,112.8501647925239]","[16.775330006413757,16.775330006413757,16.775330006413757,16.775330006413757,16.775330006413757]","[7.223230506937162,7.223230506937162,7.223230506937162,7.223230506937162,7.223230506937162]","[471941517,2036929224,-1858201735,336702737,1434557559]","[89.33443202722233,70.4245679259738,94.83360934214755,68.45642499174232,94.07363113473444]","[0.4083484777033459,0.37328254194488686,0.3925122486511386,0.3653644274187832,0.38459413412503496]","[0.004524636872059235,0.010180432962133277,0.007918114526103661,0.010180432962133277,0.003393477654044426]"
300,11504,744.0811435313924,3.560604232001411,23.698344039552726,27.177626504748492,20.346630795097315,0.1189092144833694,2.863457533091294,253.91911228229552,24.99707074463913,4,"[0.35883183214780046,0.31716970931416066,0.3400166799003502,0.33464092211536445]","[23.698344039552726,23.698344039552726,23.698344039552726,23.698344039552726]","[20.346630795097315,20.346630795097315,20.346630795097315,20.346630795097315]","[2.0,2.0,2.0,2.0]","[2.863457533091294,2.863457533091294,2.863457533091294,2.863457533091294]","[0.26475607091054937,0.2889469809429854,0.2781954653730138,0.27013182869553515]","[252.9096438852076,254.28718181761036,255.06129093864828,253.55104274698067]","[27.177626504748492,27.177626504748492,27.177626504748492,27.177626504748492]","[3.560604232001411,3.560604232001411,3.560604232001411,3.560604232001411]","[-2005210957,-209598184,2062784721,-573164385]","[25.840813651811924,24.15332783746634,23.484326720588733,27.54390835779143]","[0.26475607091054937,0.2889469809429854,0.2781954653730138,0.27013182869553515]","[0.009407576123725106,0.006719697231232218,0.005375757784985774,0.010751515569971549]"
