evolution$generation,evolution$evaluated,popInit,propInfecte,teG,tiG,trG,beta,infectionRadiusI,objective$integraleInfected,objective$integraleExposed,evolution$samples,propExposed,teG,trG,sd_expo_t,infectionRadiusI,propRecovered,integraleInfected,tiG,propInfecte,mySeed,integraleExposed,propInfected,propSuseptible
400,15846,698.3281262771736,12.65489823773048,35.48374165511091,1.0,42.73665423065975,0.1,1.0,9.406052356111093,385.1000715838341,1,"[0.21336674608013764]","[35.48374165511091]","[42.73665423065975]","[2.0]","[1.0]","[0.2835343337172299]","[9.406052356111093]","[1.0]","[12.65489823773048]","[-1376485055]","[385.1000715838341]","[0.2835343337172299]","[0.4911731134596457]"
400,15846,834.5754789929448,3.2782737974589984,42.38496348181299,44.28022691235948,1.0,0.7654589940030226,3.7384656388037074,341.57024172939146,15.975261457162192,1,"[0.3774374013242041]","[42.38496348181299]","[1.0]","[2.0]","[3.7384656388037074]","[0.08866783396187652]","[341.57024172939146]","[44.28022691235948]","[3.2782737974589984]","[-1168449761]","[15.975261457162192]","[0.08866783396187652]","[0.0]"
400,15846,863.643990563966,1.263677349227018,7.31939417868258,27.311812264345242,14.474694218296584,0.30491066768528385,1.4059491267088822,366.0894725853481,33.95537487407306,8,"[0.1609459470785317,0.17136690768073878,0.16789325414666975,0.15052498647632462,0.14357767940818655,0.17484056121480782,0.15747229354446268,0.16557748512395706]","[7.31939417868258,7.31939417868258,7.31939417868258,7.31939417868258,7.31939417868258,7.31939417868258,7.31939417868258,7.31939417868258]","[14.474694218296584,14.474694218296584,14.474694218296584,14.474694218296584,14.474694218296584,14.474694218296584,14.474694218296584,14.474694218296584]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]","[1.4059491267088822,1.4059491267088822,1.4059491267088822,1.4059491267088822,1.4059491267088822,1.4059491267088822,1.4059491267088822,1.4059491267088822]","[0.30683939550943096,0.2917868968617985,0.3103130490435,0.3056815109980746,0.3079972800207873,0.28599747430501676,0.2871553588163731,0.2975763194185802]","[368.37831946665074,366.2999167687664,365.87613103761004,365.8790284019298,367.332749752896,367.53306377336116,365.8633943079852,365.7916054682812]","[27.311812264345242,27.311812264345242,27.311812264345242,27.311812264345242,27.311812264345242,27.311812264345242,27.311812264345242,27.311812264345242]","[1.263677349227018,1.263677349227018,1.263677349227018,1.263677349227018,1.263677349227018,1.263677349227018,1.263677349227018,1.263677349227018]","[-194055203,-382332356,-1052298971,-63963692,-342783471,499892341,1620163650,-806840699]","[34.0910470848453,33.360651712549135,35.14716348310257,34.44587670435069,33.63869499324859,33.75283899473981,33.98848437647214,33.92226537167398]","[0.30683939550943096,0.2917868968617985,0.3103130490435,0.3056815109980746,0.3079972800207873,0.28599747430501676,0.2871553588163731,0.2975763194185802]","[0.006947307068138059,0.012736729624919774,0.009263076090850746,0.017368267670345147,0.013894614136276118,0.009263076090850746,0.010420960602207088,0.010420960602207088]"
400,15846,500.0,5.519967246506135,28.536962593626452,7.193013218888829,124.03025063308499,0.8596752192549881,2.8240846597940283,11.855430142036813,566.3447030850076,4,"[0.0,0.0,0.0,0.0]","[28.536962593626452,28.536962593626452,28.536962593626452,28.536962593626452]","[124.03025063308499,124.03025063308499,124.03025063308499,124.03025063308499]","[2.0,2.0,2.0,2.0]","[2.8240846597940283,2.8240846597940283,2.8240846597940283,2.8240846597940283]","[0.0,0.0,0.0,0.0]","[11.691159264451601,12.986670065279595,11.945622678358506,11.76523760571512]","[7.193013218888829,7.193013218888829,7.193013218888829,7.193013218888829]","[5.519967246506135,5.519967246506135,5.519967246506135,5.519967246506135]","[-71286918,191410839,-1292126834,-2087126961]","[566.3418295079308,566.8284648600207,566.3475766620844,566.1825705358897]","[0.0,0.0,0.0,0.0]","[1.0,1.0,1.0,1.0]"
400,15846,829.2889300163977,13.623231537766719,35.93281690088246,10.21740261101764,40.503744579192286,0.12990036704688634,1.0445421234220695,62.2847020212639,159.34174852871595,5,"[0.331609394562354,0.3605498508150686,0.36416740784665785,0.37140252190983647,0.3111099047166812]","[35.93281690088246,35.93281690088246,35.93281690088246,35.93281690088246,35.93281690088246]","[40.503744579192286,40.503744579192286,40.503744579192286,40.503744579192286,40.503744579192286]","[2.0,2.0,2.0,2.0,2.0]","[1.0445421234220695,1.0445421234220695,1.0445421234220695,1.0445421234220695,1.0445421234220695]","[0.47631167582592665,0.446165367229349,0.44254781019775974,0.4521946289486646,0.5197223602049985]","[60.40834573916776,62.2847020212639,63.233980790325276,62.42118367002896,61.39270581627808]","[10.21740261101764,10.21740261101764,10.21740261101764,10.21740261101764,10.21740261101764]","[13.623231537766719,13.623231537766719,13.623231537766719,13.623231537766719,13.623231537766719]","[1325454170,912214211,-153973594,54386086,929832852]","[178.1314071176312,159.34174852871595,150.15585619181118,152.92510632373543,169.74583437801158]","[0.47631167582592665,0.446165367229349,0.44254781019775974,0.4521946289486646,0.5197223602049985]","[0.07235114063178633,0.07958625469496497,0.11335012032313192,0.08199795938269118,0.055469207817702856]"
400,15846,545.651997634311,1.0,31.55634806925896,1.0,131.99806341490282,0.7891579071327589,1.8642414308219826,12.211988039091413,239.5228036567307,1,"[0.003665339829545304]","[31.55634806925896]","[131.99806341490282]","[2.0]","[1.8642414308219826]","[0.711075926931789]","[12.211988039091413]","[1.0]","[1.0]","[-554082362]","[239.5228036567307]","[0.711075926931789]","[0.28406383678976105]"
400,15846,608.9866542704312,8.067086429493532,28.536957062329037,7.193010978401395,1.0,0.7415657768931356,3.1668759920466796,131.0170538094224,23.5944675262301,2,"[0.7898366846417023,0.8243201989399886]","[28.536957062329037,28.536957062329037]","[1.0,1.0]","[2.0,2.0]","[3.1668759920466796,3.1668759920466796]","[0.03448351429828638,0.02298900953219092]","[131.61946060981887,130.41464700902597]","[7.193010978401395,7.193010978401395]","[8.067086429493532,8.067086429493532]","[-1033859074,-550150062]","[23.45858720231618,23.73034785014402]","[0.03448351429828638,0.02298900953219092]","[0.004926216328326626,0.0032841442188844172]"
400,15846,571.3472176692726,6.461848805179157,15.227404768335006,2.818596049012436,284.03458468562616,0.34160973321903076,3.8339209641882843,16.474376176261785,425.61566909950596,6,"[0.0,0.0,0.0,0.0,0.0,0.0]","[15.227404768335006,15.227404768335006,15.227404768335006,15.227404768335006,15.227404768335006,15.227404768335006]","[284.03458468562616,284.03458468562616,284.03458468562616,284.03458468562616,284.03458468562616,284.03458468562616]","[2.0,2.0,2.0,2.0,2.0,2.0]","[3.8339209641882843,3.8339209641882843,3.8339209641882843,3.8339209641882843,3.8339209641882843,3.8339209641882843]","[0.0,0.0,0.0,0.0,0.0,0.0]","[16.19607867732549,16.988941556483184,16.79641414653319,16.385817082378118,16.26083789703594,16.56293527014545]","[2.818596049012436,2.818596049012436,2.818596049012436,2.818596049012436,2.818596049012436,2.818596049012436]","[6.461848805179157,6.461848805179157,6.461848805179157,6.461848805179157,6.461848805179157,6.461848805179157]","[723360180,622641915,710431236,2112504935,-295634221,1669842314]","[425.50151217630474,425.59973802365397,425.63160017535796,425.4835670250797,425.80486303024105,425.691846677662]","[0.0,0.0,0.0,0.0,0.0,0.0]","[0.9993922825586007,0.9993922825586007,0.9993922825586007,0.9993922825586007,0.9993922825586007,0.9993922825586007]"
400,15846,689.303939709043,7.223230506937162,43.74072756751528,1.0,31.444477801877973,0.5672044451069328,2.7943845472636677,21.77423096008094,104.4205001455516,1,"[0.43086943638442643]","[43.74072756751528]","[31.444477801877973]","[2.0]","[2.7943845472636677]","[0.1494261008336563]","[21.77423096008094]","[1.0]","[7.223230506937162]","[-1176944239]","[104.4205001455516]","[0.1494261008336563]","[0.4047561372096127]"
400,15846,667.3399702610463,7.223230506937162,43.75774287732716,1.0,31.444477801877973,0.6765481764042885,2.7943845472636677,20.677342595364784,146.01700789804275,2,"[0.5469476073150861,0.6263673968704273]","[43.75774287732716,43.75774287732716]","[31.444477801877973,31.444477801877973]","[2.0,2.0]","[2.7943845472636677,2.7943845472636677]","[0.09740162869994684,0.19480325739989368]","[19.59625769888677,21.7584274918428]","[1.0,1.0]","[7.223230506937162,7.223230506937162]","[1409904002,-729176865]","[183.6893803563898,108.3446354396957]","[0.09740162869994684,0.19480325739989368]","[0.3071897520536785,0.032966705098443544]"
