evolution$generation,evolution$evaluated,popInit,propInfecte,teG,tiG,trG,beta,infectionRadiusI,objective$integraleInfected,objective$integraleExposed,evolution$samples,propExposed,teG,trG,sd_expo_t,infectionRadiusI,propRecovered,integraleInfected,tiG,propInfecte,mySeed,integraleExposed,propInfected,propSuseptible
800,33932,760.7132303081625,1.4525085568052332,19.176457941270243,1.0,114.67696131678424,0.5074637642638542,1.0,8.853190399539415,350.3672028994306,1,"[0.0657277907204863]","[19.176457941270243]","[114.67696131678424]","[2.0]","[1.0]","[0.3076060605718759]","[8.853190399539415]","[1.0]","[1.4525085568052332]","[-1688296946]","[350.3672028994306]","[0.3076060605718759]","[0.6204703444013907]"
800,33932,1000.0,8.374614263062071,25.8727609904263,1.0,365.0,0.5034773894906645,1.8641285206575924,13.313812661824738,337.7182179679004,44,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263,25.8727609904263]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]","[1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924,1.8641285206575924]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[13.372312661824735,13.276312661824734,13.203312661824734,13.337312661824734,13.404312661824731,13.301312661824733,13.238312661824734,13.238312661824738,13.157312661824735,13.410312661824735,13.342312661824733,13.332312661824735,13.32857078410875,13.344312661824736,13.455312661824733,13.409312661824734,13.294312661824735,13.178312661824735,13.283570784108752,13.280312661824736,13.324312661824736,13.500312661824735,13.391312661824736,13.300312661824735,13.331312661824734,13.177312661824734,13.278312661824733,13.256312661824731,13.067312661824735,13.500312661824735,13.246312661824733,13.312312661824736,13.509312661824731,13.339312661824733,13.290312661824734,13.399312661824732,13.371312661824733,13.334312661824734,13.233312661824735,13.153312661824737,13.31531266182474,13.367312661824736,13.112312661824733,13.185312661824737]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071,8.374614263062071]","[193907389,-1412866380,-554056986,-1214801350,1829394103,1590980667,-611118942,-2049574275,-810073551,-736795380,-934573013,1380544181,-36461671,-2029402770,-1953763608,-316981491,1869651182,900014398,1677954723,1974340943,1477183469,1445819793,1416539305,582198392,1768248362,454108121,373302915,1061119292,-1698133345,-112634949,-844158796,-243257516,-953864762,-102053862,490126590,-1217894241,-2057674140,-541115169,1604194816,-31232737,-621527734,-1400735668,1342511395,-813297921]","[337.7903455048976,337.7357443313176,337.4538963478213,337.7862877359226,337.75034550489755,337.7077443313176,337.2962951742414,337.7177443313176,337.71168656234266,337.79368656234266,337.7186916044832,337.64629517424135,337.5460500013392,337.86108182411084,338.0654088243223,337.79434550489754,337.8937443313176,337.7230818241108,337.7007443313176,337.7677443313176,337.6488963478213,337.90180765074234,337.56829517424137,337.8307443313176,337.7762951742413,337.325501277012,337.68029517424134,337.97108182411085,337.33191635186347,337.82234550489756,337.6742951742413,337.7657443313176,337.54928773592263,337.67768656234267,337.53628773592266,337.6133455048976,337.6328963478213,337.69642999112665,337.83734550489754,337.22005000133925,337.8002877359226,337.8992877359226,337.53905000133926,337.78128773592266]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
800,33932,809.0440500826228,4.602131812730207,48.29646444800386,50.0,1.0,0.7613165663713187,3.783689156156907,344.3918766374544,14.896371023928294,1,"[0.4449695909181155]","[48.29646444800386]","[1.0]","[2.0]","[3.783689156156907]","[0.10135418459801519]","[344.3918766374544]","[50.0]","[4.602131812730207]","[44768633]","[14.896371023928294]","[0.10135418459801519]","[0.004944106565756839]"
800,33932,800.4327582575102,2.7239774012117106,50.0,1.0,55.86284642384949,0.20058409819956777,2.1482405706370384,14.901613086094489,149.0667503206332,1,"[0.3635533366144184]","[50.0]","[55.86284642384949]","[2.0]","[2.1482405706370384]","[0.5284641284807525]","[14.901613086094489]","[1.0]","[2.7239774012117106]","[-1545916907]","[149.0667503206332]","[0.5284641284807525]","[0.08870201683719488]"
800,33932,698.3281262771736,12.65489823773048,35.48374165511091,1.0,42.73665423065975,0.1,1.0,10.219045789169627,401.3897343669826,14,"[0.21336674608013764,0.25059852727532944,0.22482267875558126,0.25059852727532944,0.21336674608013764,0.21479873766456808,0.2921262832238126,0.233414628262164,0.264918443119634,0.2362786114310249,0.22195869558672038,0.22339068717115082,0.2548945020286208,0.24343856935317718]","[35.48374165511091,35.48374165511091,35.48374165511091,35.48374165511091,35.48374165511091,35.48374165511091,35.48374165511091,35.48374165511091,35.48374165511091,35.48374165511091,35.48374165511091,35.48374165511091,35.48374165511091,35.48374165511091]","[42.73665423065975,42.73665423065975,42.73665423065975,42.73665423065975,42.73665423065975,42.73665423065975,42.73665423065975,42.73665423065975,42.73665423065975,42.73665423065975,42.73665423065975,42.73665423065975,42.73665423065975,42.73665423065975]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.2835343337172299,0.2935582748082431,0.30071823273039533,0.2463025525220381,0.2606224683663426,0.2706464094573558,0.2606224683663426,0.27351039262621674,0.280670350548369,0.2763743757950776,0.29928624114596486,0.29928624114596486,0.24773454410646853,0.3021502243148258]","[9.406052356111093,9.78748512337006,10.810014948014942,10.314414244339847,9.817354414310794,9.552010442480913,10.373747604098133,10.795211872350379,11.055904566519054,10.737118900687351,10.40144354700529,10.061099459326886,10.123677333999408,9.881095920460401]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[12.65489823773048,12.65489823773048,12.65489823773048,12.65489823773048,12.65489823773048,12.65489823773048,12.65489823773048,12.65489823773048,12.65489823773048,12.65489823773048,12.65489823773048,12.65489823773048,12.65489823773048,12.65489823773048]","[-1376485055,-1635580495,193099513,-886680752,-546514902,-863819949,83836558,687027066,882130382,-732919475,838047329,-1014046054,595441128,1583196249]","[385.1000715838341,373.4374787497358,453.0037400749178,431.1097683407144,392.46435093206367,413.744950473619,427.7817410624046,446.081161519841,435.2655808666782,383.77042342157876,365.6937811806088,365.2853236487583,382.3760562386877,410.3151178019016]","[0.2835343337172299,0.2935582748082431,0.30071823273039533,0.2463025525220381,0.2606224683663426,0.2706464094573558,0.2606224683663426,0.27351039262621674,0.280670350548369,0.2763743757950776,0.29928624114596486,0.29928624114596486,0.24773454410646853,0.3021502243148258]","[0.4911731134596457,0.4410534080045798,0.4582373070177453,0.48974112187521524,0.5169489619793939,0.5054930293039502,0.435325441666858,0.48687713870635435,0.43818942483571893,0.466829256524328,0.4696932396931889,0.45394133226445393,0.4883091302907848,0.43818942483571893]"
800,33932,507.6024843553786,1.167686611242652,50.0,1.217553503669792,101.08247179683828,0.14584913555534407,1.4942905758219245,12.950971503763935,231.1379193375675,1,"[0.2403455533810712]","[50.0]","[101.08247179683828]","[2.0]","[1.4942905758219245]","[0.4491703784498708]","[12.950971503763935]","[1.217553503669792]","[1.167686611242652]","[-1378307263]","[231.1379193375675]","[0.4491703784498708]","[0.3053570555251314]"
800,33932,520.0093388404724,1.0828059365499754,50.0,1.0,108.13368351244414,0.20178274395272186,1.6025168592476957,12.830961074046169,244.51547720778558,2,"[0.16922773001774202,0.17307381479087253]","[50.0,50.0]","[108.13368351244414,108.13368351244414]","[2.0,2.0]","[1.6025168592476957,1.6025168592476957]","[0.6134505213143149,0.5846048855158361]","[12.738334498320054,12.923587649772283]","[1.0,1.0]","[1.0828059365499754,1.0828059365499754]","[1956303574,-668982075]","[248.55867382553893,240.47228059003226]","[0.6134505213143149,0.5846048855158361]","[0.21538074729530804,0.2365342135475258]"
800,33932,1000.0,1.6827421724472524,19.758453357646555,4.946559119071203,341.836661921576,0.5944783997855031,2.1348145807657537,10.969310357194368,362.45935202720756,29,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555,19.758453357646555]","[341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576,341.836661921576]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]","[2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537,2.1348145807657537]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[10.672636166463649,11.545424860461969,11.309435385987497,10.917737230310747,10.812482578547028,11.393799564788642,11.137435385987493,10.969310357194368,11.28573723031075,10.716122168551253,10.943236963430541,11.02774598341337,11.35792459358177,10.876122168551253,10.66386225910387,10.862122168551254,10.967018975456641,11.331862259103874,10.828755564749558,10.902997987345588,11.267122168551255,10.617737230310746,11.175463052244039,10.682862259103873,11.364973844649773,11.175862259103871,11.137924593581763,10.50789394666352,11.057862259103873]","[4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203,4.946559119071203]","[1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524,1.6827421724472524]","[412120595,-1481749071,-1297860149,1988698702,741660870,1745624843,1740712584,1325146696,-1619631334,910883532,-337842464,438485405,-1612909733,-879102698,-1865909638,1739341907,537534337,289956341,1292364226,-451043722,46348827,-519035670,-60772012,172975526,-449766307,-782998372,-1695346471,-413036763,19480420]","[358.92169877885686,362.6033520272075,362.773562865262,362.42331651409023,361.91742447939583,362.88335202720754,362.679562865262,362.215562865262,362.45935202720756,361.91021364134133,362.759562865262,362.696349545375,362.91635202720755,361.14521364134134,362.20431651409024,362.2284244793958,362.62335202720755,362.77235202720755,362.32821364134134,362.6853520272075,362.1274244793958,361.9184244793958,362.93283383533736,361.4874244793958,362.8433520272075,362.3874244793958,362.7283520272075,361.9512136413413,362.7563520272075]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
800,33932,550.5594307684337,1.121116627130717,48.5956432742712,1.0437264042027787,73.27206642121112,0.1,1.784915826629489,14.430159705217218,178.77142143283857,1,"[0.3105931720419896]","[48.5956432742712]","[73.27206642121112]","[2.0]","[1.784915826629489]","[0.4232059010864537]","[14.430159705217218]","[1.0437264042027787]","[1.121116627130717]","[-657840566]","[178.77142143283857]","[0.4232059010864537]","[0.2561031418591844]"
800,33932,618.3078915760484,6.820280210313932,24.8582456896915,3.704507506200326,317.06897034989476,0.49580679503002156,1.0,10.539472389441356,380.20943659906715,15,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[24.8582456896915,24.8582456896915,24.8582456896915,24.8582456896915,24.8582456896915,24.8582456896915,24.8582456896915,24.8582456896915,24.8582456896915,24.8582456896915,24.8582456896915,24.8582456896915,24.8582456896915,24.8582456896915,24.8582456896915]","[317.06897034989476,317.06897034989476,317.06897034989476,317.06897034989476,317.06897034989476,317.06897034989476,317.06897034989476,317.06897034989476,317.06897034989476,317.06897034989476,317.06897034989476,317.06897034989476,317.06897034989476,317.06897034989476,317.06897034989476]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[10.40615906145081,10.555626743150116,10.438061396977739,10.70411889268692,10.68429704950305,10.635477681735543,10.608504382226249,10.4333528884286,10.60827346189628,10.457123371266997,10.36546926578851,10.539472389441356,10.13600403684809,10.321835512065077,10.664755181953561]","[3.704507506200326,3.704507506200326,3.704507506200326,3.704507506200326,3.704507506200326,3.704507506200326,3.704507506200326,3.704507506200326,3.704507506200326,3.704507506200326,3.704507506200326,3.704507506200326,3.704507506200326,3.704507506200326,3.704507506200326]","[6.820280210313932,6.820280210313932,6.820280210313932,6.820280210313932,6.820280210313932,6.820280210313932,6.820280210313932,6.820280210313932,6.820280210313932,6.820280210313932,6.820280210313932,6.820280210313932,6.820280210313932,6.820280210313932,6.820280210313932]","[-1111364054,-762324340,1152792368,371135898,938771655,-259683098,83357775,904152321,-642613172,-742246721,1988605618,1613409326,-218146885,-988289137,820197814]","[379.6115164303277,380.0189056243692,386.53206331119725,380.20943659906715,381.75288466150494,379.31376215463064,380.05276741179716,380.046686706589,384.2654392419665,381.2345811620645,381.975443302355,379.0156619793936,379.2388745164235,380.5063647357537,380.88794433169693]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.9995020416523173,0.9995020416523173,0.9995020416523173,0.9995020416523173,0.9995020416523173,0.9995020416523173,0.9995020416523173,0.9995020416523173,0.9995020416523173,0.9995020416523173,0.9995020416523173,0.9995020416523173,0.9995020416523173,0.9995020416523173,0.9995020416523173]"
