evolution$generation,evolution$evaluated,popInit,propInfecte,teG,tiG,trG,infectionRadiusI,objective$integraleInfected,evolution$samples,propExposed,teG,trG,sd_expo_t,infectionRadiusI,propRecovered,integraleInfected,tiG,propInfecte,mySeed,propInfected,propSuseptible
250,9965,732.363806608741,14.265362560437758,22.00954289282933,41.70881451632166,259.94809751220856,3.669876326207783,43.865535235833,24,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933,22.00954289282933]","[259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856,259.94809751220856]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]","[3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783,3.669876326207783]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[43.86470469040427,43.78414363663891,43.99177010923704,43.844302417598776,43.98903922605855,43.88655175583215,43.852199417866004,43.81426270263542,43.91386058761702,43.80628635133503,43.87562822311821,43.938734185491626,43.866365781261734,43.939883328845795,43.80082458497805,43.983761954878254,44.0160524085752,43.73771862260466,43.81835902740316,43.71207088167726,43.971504783633456,43.68992816698113,43.84293697600953,43.946710536792004]","[41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166,41.70881451632166]","[14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758,14.265362560437758]","[1775144375,-43367730,1547474153,936595073,909701825,1020047758,1844635074,1663589544,1970675385,789757474,-754481032,-1062511990,1501954126,-1104576470,-1710253733,-434280303,-707442875,-1024121052,949741945,-576245372,-493475459,514777311,-621406312,-1086984609]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835,0.9995032433259835]"
250,9965,610.181678714618,1.0,10.829476104910768,6.644396914022462,130.74467418599158,1.3680176733251075,9.251198787382574,1,"[0.0]","[10.829476104910768]","[130.74467418599158]","[2.0]","[1.3680176733251075]","[0.0]","[9.251198787382574]","[6.644396914022462]","[1.0]","[-2027383586]","[0.0]","[0.9997022547202651]"
250,9965,663.4679743851937,9.660239193300301,37.58665383085044,2.935934229544558,365.0,1.7725624070709343,11.698957018754673,10,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[37.58665383085044,37.58665383085044,37.58665383085044,37.58665383085044,37.58665383085044,37.58665383085044,37.58665383085044,37.58665383085044,37.58665383085044,37.58665383085044]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]","[1.7725624070709343,1.7725624070709343,1.7725624070709343,1.7725624070709343,1.7725624070709343,1.7725624070709343,1.7725624070709343,1.7725624070709343,1.7725624070709343,1.7725624070709343]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[11.915083269162901,11.612982872280392,11.55269360204536,11.876748429558672,11.724789137681382,11.34269320658863,12.039800574659436,11.872497849757215,11.673124899827963,11.572287614871746]","[2.935934229544558,2.935934229544558,2.935934229544558,2.935934229544558,2.935934229544558,2.935934229544558,2.935934229544558,2.935934229544558,2.935934229544558,2.935934229544558]","[9.660239193300301,9.660239193300301,9.660239193300301,9.660239193300301,9.660239193300301,9.660239193300301,9.660239193300301,9.660239193300301,9.660239193300301,9.660239193300301]","[-814575528,-2055049423,-1201505483,-908526318,1699583113,-95744540,-967416309,-674571092,768710042,570781740]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.9992946541456996,0.9992946541456996,0.9992946541456996,0.9992946541456996,0.9992946541456996,0.9992946541456996,0.9992946541456996,0.9992946541456996,0.9992946541456996,0.9992946541456996]"
250,9965,573.9533887365595,3.8347015559737363,40.668717937813405,4.103455122615379,130.04391614587175,2.8942472958785803,12.11117007014606,16,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[40.668717937813405,40.668717937813405,40.668717937813405,40.668717937813405,40.668717937813405,40.668717937813405,40.668717937813405,40.668717937813405,40.668717937813405,40.668717937813405,40.668717937813405,40.668717937813405,40.668717937813405,40.668717937813405,40.668717937813405,40.668717937813405]","[130.04391614587175,130.04391614587175,130.04391614587175,130.04391614587175,130.04391614587175,130.04391614587175,130.04391614587175,130.04391614587175,130.04391614587175,130.04391614587175,130.04391614587175,130.04391614587175,130.04391614587175,130.04391614587175,130.04391614587175,130.04391614587175]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]","[2.8942472958785803,2.8942472958785803,2.8942472958785803,2.8942472958785803,2.8942472958785803,2.8942472958785803,2.8942472958785803,2.8942472958785803,2.8942472958785803,2.8942472958785803,2.8942472958785803,2.8942472958785803,2.8942472958785803,2.8942472958785803,2.8942472958785803,2.8942472958785803]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[12.03668651145106,12.147467203466965,12.09567408378542,12.076036683921453,12.055488413228366,12.126666056506698,12.005147559222445,11.939264230256887,12.061280254108022,12.477824504922422,12.2376494610533,11.801581302108376,12.31720553449171,12.440422784345122,12.473355720701568,12.327140108994362]","[4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379]","[3.8347015559737363,3.8347015559737363,3.8347015559737363,3.8347015559737363,3.8347015559737363,3.8347015559737363,3.8347015559737363,3.8347015559737363,3.8347015559737363,3.8347015559737363,3.8347015559737363,3.8347015559737363,3.8347015559737363,3.8347015559737363,3.8347015559737363,3.8347015559737363]","[268178984,-782805760,1384431839,-1069753883,1875773148,752720394,-1153460614,-726874013,-351136136,-126621002,-845231380,-1353192895,-1755360004,632400456,166782123,77050168]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.9983389091252546,0.9983389091252546,0.9983389091252546,0.9983389091252546,0.9983389091252546,0.9983389091252546,0.9983389091252546,0.9983389091252546,0.9983389091252546,0.9983389091252546,0.9983389091252546,0.9983389091252546,0.9983389091252546,0.9983389091252546,0.9983389091252546,0.9983389091252546]"
250,9965,521.0989006068647,10.971482222881038,40.996269065719474,1.0,62.3959805755994,1.1495377945450616,10.445653369536737,3,"[0.203416280242683,0.21109236628957667,0.19382117268406585]","[40.996269065719474,40.996269065719474,40.996269065719474]","[62.3959805755994,62.3959805755994,62.3959805755994]","[2.0,2.0,2.0]","[1.1495377945450616,1.1495377945450616,1.1495377945450616]","[0.29552931280540734,0.24563475350059832,0.24755377501232173]","[9.87156853589772,11.305631033419257,10.445653369536737]","[1.0,1.0,1.0]","[10.971482222881038,10.971482222881038,10.971482222881038]","[1011116931,1951991242,1027098624]","[0.29552931280540734,0.24563475350059832,0.24755377501232173]","[0.4816743994425795,0.5392450447942823,0.5315689587473885]"
250,9965,613.9401126957289,9.489187575343031,44.25453711366647,1.0,46.18865128113083,1.0920342443695013,10.923197623165649,9,"[0.2524676215069508,0.2834152654336093,0.2573540916006337,0.26712703178799957,0.24920997477782886,0.2834152654336093,0.2703846785171215,0.26386938505887764,0.29318820562097514]","[44.25453711366647,44.25453711366647,44.25453711366647,44.25453711366647,44.25453711366647,44.25453711366647,44.25453711366647,44.25453711366647,44.25453711366647]","[46.18865128113083,46.18865128113083,46.18865128113083,46.18865128113083,46.18865128113083,46.18865128113083,46.18865128113083,46.18865128113083,46.18865128113083]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]","[1.0920342443695013,1.0920342443695013,1.0920342443695013,1.0920342443695013,1.0920342443695013,1.0920342443695013,1.0920342443695013,1.0920342443695013,1.0920342443695013]","[0.2573540916006337,0.2720135018816825,0.30458996917290193,0.299703499079219,0.2654982084234386,0.30784761590202386,0.2948170289855361,0.2866729121627312,0.2589829149651947]","[10.510614383603244,10.788476166659036,10.76411177739207,12.698559109200142,10.687377174739144,10.935378692320102,11.264633616154455,11.17694706412895,10.923197623165649]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[9.489187575343031,9.489187575343031,9.489187575343031,9.489187575343031,9.489187575343031,9.489187575343031,9.489187575343031,9.489187575343031,9.489187575343031]","[-213704049,1350019951,-587447175,-1923472609,-1410504392,1520451760,-144522957,457494511,1444217114]","[0.2573540916006337,0.2720135018816825,0.30458996917290193,0.299703499079219,0.2654982084234386,0.30784761590202386,0.2948170289855361,0.2866729121627312,0.2589829149651947]","[0.47398759908724314,0.4348958383377798,0.420236428056731,0.41697878132760907,0.4642146588998773,0.3958040775883164,0.4267517215149749,0.4267517215149749,0.4267517215149749]"
250,9965,573.9534370352369,3.8347015559737367,40.6687148216139,4.103455122615379,130.04394858873803,2.8942471307885795,12.129303556897481,21,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139,40.6687148216139]","[130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803,130.04394858873803]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]","[2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795,2.8942471307885795]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[11.819190917213293,12.172694283429623,12.113448691942699,12.035056241375765,12.068278160223452,12.635568051447814,11.948089021613063,12.119635064734831,12.24854743287248,12.129303556897481,12.239757425028438,12.25021715020379,12.067581519114041,12.229587263192515,12.590555860670479,12.164015895892108,12.086485413953278,12.287365417113913,12.279021858532657,12.084986202664892,11.939375879575005]","[4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379,4.103455122615379]","[3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367,3.8347015559737367]","[2030111929,-1570244555,-247896410,-483238470,1424986585,904162359,-236750944,749471130,-153171747,497890642,-994531934,1620122676,-377365200,1127095286,1059093337,2094520204,-537212396,1359210838,624910623,-1697179448,1060603887]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733,0.9983388251141733]"
250,9965,663.4679743851935,9.6602391933003,37.54150475763748,1.4040050360364673,328.8633235153156,1.5084004927194674,11.814058133082026,11,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748]","[328.8633235153156,328.8633235153156,328.8633235153156,328.8633235153156,328.8633235153156,328.8633235153156,328.8633235153156,328.8633235153156,328.8633235153156,328.8633235153156,328.8633235153156]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]","[1.5084004927194674,1.5084004927194674,1.5084004927194674,1.5084004927194674,1.5084004927194674,1.5084004927194674,1.5084004927194674,1.5084004927194674,1.5084004927194674,1.5084004927194674,1.5084004927194674]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[11.77782792365124,11.90007551878301,11.892773520531586,11.814058133082026,11.720597201843658,11.774975283045313,11.764468745669882,11.710199170135548,11.833771252139487,11.845887513193608,11.865003564209443]","[1.4040050360364673,1.4040050360364673,1.4040050360364673,1.4040050360364673,1.4040050360364673,1.4040050360364673,1.4040050360364673,1.4040050360364673,1.4040050360364673,1.4040050360364673,1.4040050360364673]","[9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003]","[1458202952,1876254755,967788814,-177774788,242156041,1207860019,-785344956,1664390968,2463772,570773195,-1170813146]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998]"
250,9965,663.4679743851935,9.6602391933003,37.54150475763748,1.0,365.0,1.759261172543754,12.037269777378778,12,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748,37.54150475763748]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]","[1.759261172543754,1.759261172543754,1.759261172543754,1.759261172543754,1.759261172543754,1.759261172543754,1.759261172543754,1.759261172543754,1.759261172543754,1.759261172543754,1.759261172543754,1.759261172543754]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[12.038813177945721,11.992088993513567,12.017873756269283,12.18501465826568,12.035726376811835,12.028234302948158,12.047620648235677,11.977079093500803,12.114146513033079,12.105383868362514,12.108307661621835,12.02053632126295]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003,9.6602391933003]","[-312814136,505260869,1347811353,1539146260,1463701852,-1945944093,262595369,-1666151946,-800222149,-817414905,-263796930,-546043925]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998,0.9992946541456998]"
