evolution$generation,evolution$evaluated,popInit,infectionRadiusI,distRandomWalk,angleRotatRandomWalk,objective$integraleInfected,objective$integraleExposed,evolution$samples,propExposed,teG,trG,infectionRadiusI,propRecovered,integraleInfected,density,tiG,propInfecte,mySeed,integraleExposed,propInfected,propSuseptible
100,7691,605.175532262645,1.0697010674205216,4.488669634072972,13.46801644514876,9.14545784189027,408.1453716190584,2,"[0.0,0.0]","[3.0,3.0]","[365.0,365.0]","[1.0697010674205216,1.0697010674205216]","[0.17515579257423813,0.15863166119931]","[9.739666194587977,8.551249489192564]","[0.5557167422062855,0.5557167422062855]","[7.0,7.0]","[1.0,1.0]","[-2108670505,-481082431]","[402.1041491883847,414.18659404973204]","[0.17515579257423813,0.15863166119931]","[0.8245541556089134,0.8410782869838416]"
100,7691,828.8873303920018,1.6205809592339295,1.0,52.8828995001505,15.463990673488654,172.51861120989716,1,"[0.03257378778757665]","[3.0]","[365.0]","[1.6205809592339295]","[0.8022803288421656]","[15.463990673488654]","[0.7611453906262643]","[7.0]","[1.0]","[-1560799986]","[172.51861120989716]","[0.8022803288421656]","[0.10013423653218008]"
100,7691,1019.3202954000582,4.584633087833178,4.6851841895046205,205.4733863093651,40.71564335562097,12.04883513374753,7,"[0.02943137710038996,0.03629869842381428,0.026488239390350964,0.03335556071377529,0.026488239390350964,0.03237451481042895,0.027469285293697295]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178,4.584633087833178]","[0.9202210573388594,0.8986380474652401,0.9035432769819717,0.904524322885318,0.8966759556585474,0.9055053687886644,0.9094295524020497]","[37.35765373628379,40.423667510095484,40.99821808743359,40.12714632143045,41.96937241601032,44.10203563761996,40.71564335562097]","[0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417,0.936014963636417]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-1839856767,-138107685,425690315,-2067241554,-1482025917,1510326005,2058961922]","[11.478387132946994,12.088714421412648,11.830386937477972,11.976600734361817,12.143266218484383,12.135091274015618,12.04883513374753]","[0.9202210573388594,0.8986380474652401,0.9035432769819717,0.904524322885318,0.8966759556585474,0.9055053687886644,0.9094295524020497]","[0.003924183613385328,0.0,9.81045903346332E-4,0.00490522951673166,0.001962091806692664,9.81045903346332E-4,0.001962091806692664]"
100,7691,1500.0,5.0,1.8933644335305582,302.7545155686495,38.39572399402862,11.003603619437245,1,"[0.03666666666666667]","[3.0]","[365.0]","[5.0]","[0.904]","[38.39572399402862]","[1.3774104683195592]","[7.0]","[1.0]","[732654663]","[11.003603619437245]","[0.904]","[0.0026666666666666666]"
100,7691,1216.4995492066532,1.016900325728006,1.5006419519940204,51.387072990535415,14.500345127905037,295.3188177664819,2,"[0.01972873727380477,0.0]","[3.0,3.0]","[365.0,365.0]","[1.016900325728006,1.016900325728006]","[0.7258531255320672,0.1331689765981822]","[15.405753829365855,13.59493642644422]","[1.1170794758555127,1.1170794758555127]","[7.0,7.0]","[1.0,1.0]","[-789070389,1973157623]","[181.99614336352852,408.6414921694353]","[0.7258531255320672,0.1331689765981822]","[0.1923551884195965,0.8664203786079262]"
100,7691,1500.0,1.072578096930329,5.0,1.0,20.424026796905608,157.02738300877795,1,"[0.018666666666666668]","[3.0]","[365.0]","[1.072578096930329]","[0.7593333333333333]","[20.424026796905608]","[1.3774104683195592]","[7.0]","[1.0]","[1291378373]","[157.02738300877795]","[0.7593333333333333]","[0.19133333333333333]"
100,7691,1216.4995492066532,1.016900325728006,1.5031073007353242,50.30676900454017,12.397769145754225,185.40890017327843,1,"[0.01068639935664425]","[3.0]","[365.0]","[1.016900325728006]","[0.6814634666660064]","[12.397769145754225]","[1.1170794758555127]","[7.0]","[1.0]","[-350012159]","[185.40890017327843]","[0.6814634666660064]","[0.2836005983109436]"
100,7691,500.0,2.7389364254364166,1.071094315136617,1.0,23.970062171357732,125.94899466083226,3,"[0.0,0.024,0.036]","[3.0,3.0,3.0]","[365.0,365.0,365.0]","[2.7389364254364166,2.7389364254364166,2.7389364254364166]","[0.15,0.794,0.71]","[16.865902696465213,23.970062171357732,26.246465863586977]","[0.4591368227731864,0.4591368227731864,0.4591368227731864]","[7.0,7.0,7.0]","[1.0,1.0,1.0]","[110557310,-984766597,-55257400]","[405.473205778626,125.94899466083226,108.34589150908921]","[0.15,0.794,0.71]","[0.85,0.154,0.202]"
100,7691,500.0,1.0,4.374050225954189,47.157837201921424,10.980187404737963,410.5698410743267,3,"[0.0,0.0,0.0]","[3.0,3.0,3.0]","[365.0,365.0,365.0]","[1.0,1.0,1.0]","[0.154,0.154,0.142]","[12.089886905150026,10.980187404737963,10.169126842800589]","[0.4591368227731864,0.4591368227731864,0.4591368227731864]","[7.0,7.0,7.0]","[1.0,1.0,1.0]","[-976973950,1445938682,-1277420772]","[403.07434008464793,410.5698410743267,422.7782060177854]","[0.154,0.154,0.142]","[0.846,0.846,0.858]"
100,7691,1216.4995492066532,1.016900325728006,1.5006419528428956,51.38706321553327,16.502895665764793,178.07290263956747,2,"[0.011508430076386116,0.023838890872514097]","[3.0,3.0]","[365.0,365.0]","[1.016900325728006,1.016900325728006]","[0.7053023575385206,0.7414717092071627]","[16.6136154508298,16.392175880699785]","[1.1170794758555127,1.1170794758555127]","[7.0,7.0]","[1.0,1.0]","[-1892762727,1890474747]","[162.91056304043462,193.2352422387003]","[0.7053023575385206,0.7414717092071627]","[0.2589396767186876,0.19399924985908024]"
