evolution$generation,evolution$evaluated,popInit,infectionRadiusI,distRandomWalk,angleRotatRandomWalk,objective$integraleInfected,objective$integraleExposed,evolution$samples,propExposed,teG,trG,infectionRadiusI,propRecovered,integraleInfected,density,tiG,propInfecte,mySeed,integraleExposed,propInfected,propSuseptible
1300,82163,500.0,1.0,4.3582250509242435,46.755957643741,8.362569152253123,396.11417002664876,1,"[0.0]","[3.0]","[365.0]","[1.0]","[0.166]","[8.362569152253123]","[0.4591368227731864]","[7.0]","[1.0]","[-250405793]","[396.11417002664876]","[0.166]","[0.834]"
1300,82163,605.175532262645,1.0697010674205216,4.488669634072972,13.46801644514876,10.182616616931382,408.4064528947821,84,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216,1.0697010674205216]","[0.17515579257423813,0.15863166119931,0.1602840743368028,0.11897374589948251,0.12558339844945376,0.15532683492432436,0.15202200864933876,0.132193050999425,0.17680820571173095,0.16524131374928125,0.1437599429618747,0.13054063786193218,0.14706476923686032,0.15367442178683158,0.15532683492432436,0.16524131374928125,0.15863166119931,0.17350337943674532,0.12558339844945376,0.13549787727441062,0.14210752982438188,0.16689372688677406,0.1454123560993675,0.132193050999425,0.1338454641369178,0.15367442178683158,0.15367442178683158,0.13549787727441062,0.14210752982438188,0.16358890061178843,0.21150888159908,0.1701985531617597,0.1041020276620472,0.15202200864933876,0.13549787727441062,0.14706476923686032,0.15202200864933876,0.17515579257423813,0.14706476923686032,0.1454123560993675,0.15532683492432436,0.14210752982438188,0.11897374589948251,0.15036959551184595,0.16193648747429562,0.132193050999425,0.1817654451242094,0.15863166119931,0.12393098531196094,0.11071168021201844,0.14871718237435314,0.13054063786193218,0.14045511668688906,0.1602840743368028,0.1718509662992525,0.15532683492432436,0.15367442178683158,0.13715029041190344,0.15367442178683158,0.13715029041190344,0.14210752982438188,0.16524131374928125,0.15202200864933876,0.1437599429618747,0.13549787727441062,0.15202200864933876,0.15036959551184595,0.1338454641369178,0.15697924806181718,0.13880270354939625,0.15367442178683158,0.15697924806181718,0.16689372688677406,0.15532683492432436,0.1701985531617597,0.12558339844945376,0.15863166119931,0.14210752982438188,0.16689372688677406,0.1454123560993675,0.15036959551184595,0.15367442178683158,0.13880270354939625,0.132193050999425]","[9.739666194587977,8.551249489192564,12.262098272899616,11.153150929865335,10.386536388141655,9.775387811434694,10.299406421129577,10.43907357329786,10.91982694264127,10.531531695284462,9.730700959484693,10.31677593580922,11.075964503673726,9.754159306149784,10.030273460786274,12.45001544008486,10.291598300959764,9.368062702107615,9.43694492556761,9.562637171681358,10.898884215594135,10.409407707477778,9.650697831660553,9.552360002612533,10.226980831490318,9.22005491951178,11.013286874398185,10.587623244560094,10.444823355913732,12.946512127894136,13.095127821869264,11.683780765947082,9.90758428967618,9.609168553270978,9.03963158748039,10.694032592712448,11.443896727674504,9.651856299178595,10.33962466531917,10.33965566570553,11.150179966398886,9.178154795109947,10.697942072067201,10.270903820080774,9.672260820394888,9.754204340104282,10.086422454167396,10.57918097525234,10.140889428438667,9.618590290614764,10.912318029085325,11.935000262887007,9.763603745902246,10.04107282599651,10.328351062939001,10.165778978968246,9.175662142969166,9.903978557225052,9.919068168340372,9.774883303985934,10.519863511977993,9.121014628642252,9.222460198478942,10.008054322293448,8.9069061974146,9.59833161367839,10.501144138888252,9.604079455477487,9.765104284448835,10.467223904197438,11.220759144579093,9.957775541794174,9.41868463819195,9.151432463310842,9.460432665536251,10.985169816519507,10.423642979392975,12.475582022852938,9.11870698739145,13.009968778131816,10.199454254894517,10.796970942260737,8.859177688275821,10.64543972281192]","[0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855,0.5557167422062855]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-2108670505,-481082431,1804026041,-999483493,-1897597347,1969034772,-596465378,-1957789280,-1537921100,1236603807,-198600254,550299056,-45546063,188468078,-1904900209,-1339284080,236653779,1098795828,-562088218,1256100957,-1234711699,-545266782,1490095672,-1791662577,-1987362338,86410763,199847551,-1860850783,1493573084,-1632242167,90767341,1491461293,340580372,-377445286,2092986139,1348402475,1407191832,1849390663,1867345661,-1772617281,193529918,-814235720,-1342584333,565722490,-1082831779,-1302265244,98138167,1342155745,160784639,-1926549954,-153394235,589253643,-912167820,2002763043,-1662761647,-273249798,-1026284000,-663824718,298464646,-1220944884,-1408723275,1268251179,870721275,-1618706174,1769010313,-2122772225,742725640,1081579893,-764642005,-1683996811,756676465,-183007296,1937235820,1066101090,1530514041,-1234250057,-1405770521,-430943294,1534579490,1964821715,646760186,-337420438,-475645090,-865347305]","[402.1041491883847,414.18659404973204,407.60998976251057,431.9549925171926,412.8415297558133,405.7245863726309,411.5014227013062,422.21401707167263,400.0948148131933,406.4252095429285,417.9375718718408,399.49333643114585,411.89139220175474,413.656169432597,407.6628669829106,411.2552131438197,412.4284264714397,390.8396488300961,409.3235421860908,412.74568979383866,405.3759272006204,405.7807684193058,408.670838996781,422.11982952283523,422.7411368625327,403.7631719784275,408.59152316618145,417.39227553646816,413.5685915363099,404.0341677329758,410.82228090179717,405.91130905716795,440.01381138874495,421.7447317406244,428.7526158567314,404.5183247822617,407.30925057148676,390.11093463646165,407.31586022403707,407.7025248982105,399.8337335374695,407.1506189102881,415.93319473606215,406.1095986336672,408.22138262338274,413.5371956866977,404.2390669620251,407.72400626899775,428.7658351618315,440.00720173619476,402.09150460952065,419.05625556592355,396.92383400234485,404.3332545108623,402.90556956006805,399.42393507937135,416.07530226588625,405.6684043259568,399.7940756221695,412.7605615120758,417.5195113480553,392.80767287684984,413.2364564956739,406.10133656797984,424.1688218133264,410.3348190262364,406.9159762447639,402.0925822964224,409.15334363292885,428.76418274869394,420.3286136817931,395.2846401699514,398.73983604044906,397.1452573627687,400.17743547006773,423.3971448781172,403.19308944599214,411.4667220254191,398.18958246566416,421.7496889800366,416.8701129850203,405.7007482012403,422.36769149345923,416.562764141447]","[0.17515579257423813,0.15863166119931,0.1602840743368028,0.11897374589948251,0.12558339844945376,0.15532683492432436,0.15202200864933876,0.132193050999425,0.17680820571173095,0.16524131374928125,0.1437599429618747,0.13054063786193218,0.14706476923686032,0.15367442178683158,0.15532683492432436,0.16524131374928125,0.15863166119931,0.17350337943674532,0.12558339844945376,0.13549787727441062,0.14210752982438188,0.16689372688677406,0.1454123560993675,0.132193050999425,0.1338454641369178,0.15367442178683158,0.15367442178683158,0.13549787727441062,0.14210752982438188,0.16358890061178843,0.21150888159908,0.1701985531617597,0.1041020276620472,0.15202200864933876,0.13549787727441062,0.14706476923686032,0.15202200864933876,0.17515579257423813,0.14706476923686032,0.1454123560993675,0.15532683492432436,0.14210752982438188,0.11897374589948251,0.15036959551184595,0.16193648747429562,0.132193050999425,0.1817654451242094,0.15863166119931,0.12393098531196094,0.11071168021201844,0.14871718237435314,0.13054063786193218,0.14045511668688906,0.1602840743368028,0.1718509662992525,0.15532683492432436,0.15367442178683158,0.13715029041190344,0.15367442178683158,0.13715029041190344,0.14210752982438188,0.16524131374928125,0.15202200864933876,0.1437599429618747,0.13549787727441062,0.15202200864933876,0.15036959551184595,0.1338454641369178,0.15697924806181718,0.13880270354939625,0.15367442178683158,0.15697924806181718,0.16689372688677406,0.15532683492432436,0.1701985531617597,0.12558339844945376,0.15863166119931,0.14210752982438188,0.16689372688677406,0.1454123560993675,0.15036959551184595,0.15367442178683158,0.13880270354939625,0.132193050999425]","[0.8245541556089134,0.8410782869838416,0.8394258738463488,0.8807362022836691,0.8741265497336979,0.8443831132588272,0.8476879395338128,0.8675168971837266,0.8229017424714207,0.8344686344338703,0.8559500052212768,0.8691693103212194,0.8526451789462912,0.84603552639632,0.8443831132588272,0.8344686344338703,0.8410782869838416,0.8262065687464063,0.8741265497336979,0.864212070908741,0.8576024183587697,0.8328162212963776,0.8542975920837841,0.8675168971837266,0.8658644840462337,0.84603552639632,0.84603552639632,0.864212070908741,0.8576024183587697,0.8361210475713632,0.7882010665840715,0.8295113950213919,0.8956079205211044,0.8476879395338128,0.864212070908741,0.8526451789462912,0.8476879395338128,0.8245541556089134,0.8526451789462912,0.8542975920837841,0.8443831132588272,0.8576024183587697,0.8807362022836691,0.8493403526713056,0.8377734607088559,0.8675168971837266,0.8179445030589422,0.8410782869838416,0.8757789628711906,0.8889982679711331,0.8509927658087985,0.8691693103212194,0.8592548314962625,0.8394258738463488,0.8278589818838991,0.8443831132588272,0.84603552639632,0.8625596577712481,0.84603552639632,0.8625596577712481,0.8576024183587697,0.8344686344338703,0.8476879395338128,0.8559500052212768,0.864212070908741,0.8476879395338128,0.8493403526713056,0.8658644840462337,0.8427307001213343,0.8609072446337553,0.84603552639632,0.8427307001213343,0.8328162212963776,0.8443831132588272,0.8295113950213919,0.8741265497336979,0.8410782869838416,0.8576024183587697,0.8328162212963776,0.8542975920837841,0.8493403526713056,0.84603552639632,0.8609072446337553,0.8675168971837266]"
1300,82163,1500.0,5.0,5.0,159.67237861471918,37.730008294247526,10.761538946481892,1,"[0.024]","[3.0]","[365.0]","[5.0]","[0.92]","[37.730008294247526]","[1.3774104683195592]","[7.0]","[1.0]","[-449144437]","[10.761538946481892]","[0.92]","[0.002]"
1300,82163,1457.4663450842413,4.897366618535036,4.194340925347074,96.56278944237566,40.705930986965626,11.219731612685862,8,"[0.02675876539553701,0.02126978787850378,0.032247742912570244,0.032247742912570244,0.03018937634368278,0.03018937634368278,0.021955910068132932,0.043911820136265864]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[4.897366618535036,4.897366618535036,4.897366618535036,4.897366618535036,4.897366618535036,4.897366618535036,4.897366618535036,4.897366618535036]","[0.912542512206775,0.9152870009652916,0.9015645571727086,0.9001923127934502,0.908425779069,0.9022506793623377,0.9015645571727086,0.885783746811238]","[36.208397680707144,40.814012795538375,40.06109633126743,40.61051859212329,37.16901528047986,40.80134338180796,41.43368264122122,42.03156366445709]","[1.338352933961654,1.338352933961654,1.338352933961654,1.338352933961654,1.338352933961654,1.338352933961654,1.338352933961654,1.338352933961654]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-1320974078,596207616,1521688783,1561967056,1649239674,-427482541,-142260715,146108243]","[10.9004544594511,11.233107051584803,11.170843684424689,11.48598017892124,11.175863835985409,11.321872816249712,11.582637690922759,11.206356173786922]","[0.912542512206775,0.9152870009652916,0.9015645571727086,0.9001923127934502,0.908425779069,0.9022506793623377,0.9015645571727086,0.885783746811238]","[0.0020583665688874626,0.0027444887585166165,0.0027444887585166165,0.0027444887585166165,0.0027444887585166165,0.0013722443792583082,0.004802855327404079,0.004802855327404079]"
1300,82163,500.0,1.0911718426451178,1.0,360.0,9.087194343017007,238.08470837804802,1,"[0.0]","[3.0]","[365.0]","[1.0911718426451178]","[0.564]","[9.087194343017007]","[0.4591368227731864]","[7.0]","[1.0]","[-608279150]","[238.08470837804802]","[0.564]","[0.436]"
1300,82163,508.3117343298726,1.0084142901883333,4.261243316690898,42.75512932387655,9.914945660703689,214.8049459186711,1,"[0.0019672967048819747]","[3.0]","[365.0]","[1.0084142901883333]","[0.7397035610356224]","[9.914945660703689]","[0.46676926935709145]","[7.0]","[1.0]","[1295604751]","[214.8049459186711]","[0.7397035610356224]","[0.24394479140536485]"
1300,82163,729.634730193345,1.056765820330812,2.169880580842557,81.75731582218609,13.558182244381802,381.8978274670305,11,"[0.009593841562537845,0.026040427098317005,0.0,0.028781524687613535,0.0,0.01918768312507569,0.0,0.0,0.030152073482261798,0.0,0.0]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[1.056765820330812,1.056765820330812,1.056765820330812,1.056765820330812,1.056765820330812,1.056765820330812,1.056765820330812,1.056765820330812,1.056765820330812,1.056765820330812,1.056765820330812]","[0.7442079954940071,0.738725800315414,0.17954189209892252,0.6468990310739804,0.1617247577684951,0.7373552515207658,0.15624256258990205,0.11786719633975067,0.7976593984852893,0.1466487210273642,0.1658364041524399]","[13.94729959837701,14.485400043865978,14.91767499754407,13.558182244381802,12.368292521210234,16.69978050072055,11.876951131393332,12.527276181389437,18.105613681360616,13.054937467329017,12.642189929734714]","[0.6700043436118871,0.6700043436118871,0.6700043436118871,0.6700043436118871,0.6700043436118871,0.6700043436118871,0.6700043436118871,0.6700043436118871,0.6700043436118871,0.6700043436118871,0.6700043436118871]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-310567255,1273636965,1462660698,-1227448185,-918910795,-1239603886,866412707,-1264671093,-1385250238,-241060942,895176965]","[168.46284725602564,160.96557291311848,381.8978274670305,175.91963081152562,393.16351977327486,166.24138660043803,401.9277610251482,427.55381605569437,166.55489018990914,402.0854130150639,389.09809263697645]","[0.7442079954940071,0.738725800315414,0.17954189209892252,0.6468990310739804,0.1617247577684951,0.7373552515207658,0.15624256258990205,0.11786719633975067,0.7976593984852893,0.1466487210273642,0.1658364041524399]","[0.21243506317048083,0.19598847763470167,0.8195881791996615,0.27685085651894925,0.837405313530089,0.20421177040259125,0.842887508708682,0.8812628749588335,0.10964390357186109,0.8524813502712199,0.8332936671461442]"
1300,82163,500.0,1.2202047195685137,1.0,230.57434029902697,9.94932064326651,324.35670837804787,2,"[0.03,0.0]","[3.0,3.0]","[365.0,365.0]","[1.2202047195685137,1.2202047195685137]","[0.582,0.138]","[9.915439038004894,9.983202248528128]","[0.4591368227731864,0.4591368227731864]","[7.0,7.0]","[1.0,1.0]","[549342995,-733539618]","[229.91470837804772,418.79870837804805]","[0.582,0.138]","[0.346,0.862]"
1300,82163,1500.0,1.0043804064678836,1.0,1.0,8.712291820055395,334.0353750447144,1,"[0.010666666666666666]","[3.0]","[365.0]","[1.0043804064678836]","[0.616]","[8.712291820055395]","[1.3774104683195592]","[7.0]","[1.0]","[-377744549]","[334.0353750447144]","[0.616]","[0.356]"
1300,82163,1216.811463915169,1.0,1.5315488347311759,51.37538524567542,11.029074979723465,192.97499662163256,1,"[0.015614580042553412]","[3.0]","[365.0]","[1.0]","[0.6549905417850037]","[11.029074979723465]","[1.117365898912001]","[7.0]","[1.0]","[-1667096636]","[192.97499662163256]","[0.6549905417850037]","[0.30407340082867174]"
