evolution$generation,evolution$evaluated,popInit,infectionRadiusI,distRandomWalk,angleRotatRandomWalk,objective$integraleInfected,objective$integraleExposed,evolution$samples,propExposed,teG,trG,infectionRadiusI,propRecovered,integraleInfected,density,tiG,propInfecte,mySeed,integraleExposed,propInfected,propSuseptible
300,23070,605.175532262645,1.0697010674205216,4.488669634072972,13.46801644514876,9.14545784189027,408.1453716190584,2,"[0.0,0.0]","[3.0,3.0]","[365.0,365.0]","[1.0697010674205216,1.0697010674205216]","[0.17515579257423813,0.15863166119931]","[9.739666194587977,8.551249489192564]","[0.5557167422062855,0.5557167422062855]","[7.0,7.0]","[1.0,1.0]","[-2108670505,-481082431]","[402.1041491883847,414.18659404973204]","[0.17515579257423813,0.15863166119931]","[0.8245541556089134,0.8410782869838416]"
300,23070,1423.8519537528728,2.745586679295111,1.6378934476462614,124.09507194990256,39.26740280050166,15.521118519867803,9,"[0.036520650804279645,0.034413690180955823,0.03090208914208278,0.028795128518758952,0.026688167895435128,0.033009049765406605,0.034413690180955823,0.023176566856562084,0.02949744872653356]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[2.745586679295111,2.745586679295111,2.745586679295111,2.745586679295111,2.745586679295111,2.745586679295111,2.745586679295111,2.745586679295111,2.745586679295111]","[0.8863281022115561,0.9052907478214705,0.9010768265748228,0.9010768265748228,0.9158255509380896,0.8982675457437244,0.8877327426271053,0.9031837871981466,0.9010768265748228]","[39.8284902839866,38.71928989525937,38.946293839412725,36.26616737058196,36.090984863786026,39.26740280050166,41.37757188168625,40.61500665308519,40.032628683797896]","[1.3074857242909759,1.3074857242909759,1.3074857242909759,1.3074857242909759,1.3074857242909759,1.3074857242909759,1.3074857242909759,1.3074857242909759,1.3074857242909759]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[1008891605,-834589422,1730597530,-536731211,1991586595,-153609676,-444109545,-1685403383,-215429581]","[16.51148512591092,15.521118519867803,15.368595044604135,17.01810201150003,15.351988733943072,15.174710247501212,15.777503821886029,15.377113684216447,15.882118013351047]","[0.8863281022115561,0.9052907478214705,0.9010768265748228,0.9010768265748228,0.9158255509380896,0.8982675457437244,0.8877327426271053,0.9031837871981466,0.9010768265748228]","[0.011939443532168347,0.009130162701069911,0.016153364778815998,0.01053480311661913,0.005618561662196869,0.011939443532168347,0.009130162701069911,0.00983248290884452,0.005618561662196869]"
300,23070,1500.0,4.773278089512718,4.947973184065843,140.75893530578512,36.73152018761454,10.949214196304762,1,"[0.034666666666666665]","[3.0]","[365.0]","[4.773278089512718]","[0.9193333333333333]","[36.73152018761454]","[1.3774104683195592]","[7.0]","[1.0]","[-1676728991]","[10.949214196304762]","[0.9193333333333333]","[0.0033333333333333335]"
300,23070,721.5937457341569,1.583600280247147,1.4491390146241854,1.0,11.13400944692043,324.2179884741869,2,"[0.0,0.0]","[3.0,3.0]","[365.0,365.0]","[1.583600280247147,1.583600280247147]","[0.14273959635723665,0.6374778089740666]","[11.10619466346312,11.161824230377741]","[0.6626205194987667,0.6626205194987667]","[7.0,7.0]","[1.0,1.0]","[-728812642,-1804340032]","[411.14688375302745,237.2890931953463]","[0.14273959635723665,0.6374778089740666]","[0.8564375781434198,0.36169936552658993]"
300,23070,729.6347297298087,1.056765515068877,2.1698842242030776,81.7570305198389,10.580475303605466,383.6479688520876,1,"[0.0]","[3.0]","[365.0]","[1.056765515068877]","[0.16446585546227666]","[10.580475303605466]","[0.6700043431862338]","[7.0]","[1.0]","[-622658416]","[383.6479688520876]","[0.16446585546227666]","[0.834664216471054]"
300,23070,686.4839721655487,1.1697465372081763,1.8542238118982857,74.02710035298917,12.785532447882716,299.1278531125271,2,"[0.011653585989434818,0.0]","[3.0,3.0]","[365.0,365.0]","[1.1697465372081763,1.1697465372081763]","[0.7574830893132631,0.14129973012189717]","[12.91436236613172,12.65670252963371]","[0.6303801397296132,0.6303801397296132]","[7.0,7.0]","[1.0,1.0]","[1540466063,629786403]","[187.9807837642581,410.274922460796]","[0.7574830893132631,0.14129973012189717]","[0.1981109618203919,0.8579952684721385]"
300,23070,1066.2525049606622,1.0628910930214097,4.237636608349147,2.4139121360795435,11.116345446506623,280.93913231092307,1,"[0.0037514566028124586]","[3.0]","[365.0]","[1.0628910930214097]","[0.4867514942149165]","[11.116345446506623]","[0.9791115748031792]","[7.0]","[1.0]","[-457036779]","[280.93913231092307]","[0.4867514942149165]","[0.5026951847768695]"
300,23070,1216.4995492066532,1.016900325728006,1.5006419528428956,51.38706321553327,16.502895665764793,178.07290263956747,2,"[0.011508430076386116,0.023838890872514097]","[3.0,3.0]","[365.0,365.0]","[1.016900325728006,1.016900325728006]","[0.7053023575385206,0.7414717092071627]","[16.6136154508298,16.392175880699785]","[1.1170794758555127,1.1170794758555127]","[7.0,7.0]","[1.0,1.0]","[-1892762727,1890474747]","[162.91056304043462,193.2352422387003]","[0.7053023575385206,0.7414717092071627]","[0.2589396767186876,0.19399924985908024]"
300,23070,981.6980684406776,1.4376923906690973,2.7837175786883313,5.756940853074816,19.959792365697517,186.22680656152755,4,"[0.0,0.016298290191621025,0.026484721561384164,0.022410149013478906]","[3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0]","[1.4376923906690973,1.4376923906690973,1.4376923906690973,1.4376923906690973]","[0.13547953721784975,0.7252739135271355,0.7599077801843303,0.7843552154717618]","[15.084273164893132,18.76563140302412,22.880296436854362,21.153953328370918]","[0.9014674641328536,0.9014674641328536,0.9014674641328536,0.9014674641328536]","[7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0]","[-555548079,-1066396981,-1473973816,-1615388438]","[395.6709316993379,183.38154886442825,133.5464509382718,189.07206425862682]","[0.13547953721784975,0.7252739135271355,0.7599077801843303,0.7843552154717618]","[0.8638093801559142,0.23530656464152852,0.17011340387504442,0.1385354666287787]"
300,23070,586.3686283265928,1.063841799618178,4.02903567661992,333.32833992233816,22.982951051277883,115.14867230830446,3,"[0.025581177565395557,0.0,0.023875765727702516]","[3.0,3.0,3.0]","[365.0,365.0,365.0]","[1.063841799618178,1.063841799618178,1.063841799618178]","[0.7861948571764901,0.15348706539237333,0.7793732098257179]","[24.731334849350475,15.57341787760882,22.982951051277883]","[0.5384468579674865,0.5384468579674865,0.5384468579674865]","[7.0,7.0,7.0]","[1.0,1.0,1.0]","[542765801,-56504329,330621624]","[115.14867230830446,405.6222290122918,114.51859707096597]","[0.7861948571764901,0.15348706539237333,0.7793732098257179]","[0.1517816535546803,0.8458842714957464,0.16201412458083853]"
300,23070,821.9482194480062,1.0,1.0,360.0,19.103167194323607,144.9707370781396,1,"[0.01703270311772431]","[3.0]","[365.0]","[1.0]","[0.7640383969950619]","[19.103167194323607]","[0.7547733879228706]","[7.0]","[1.0]","[-1989465086]","[144.9707370781396]","[0.7640383969950619]","[0.18492649099243536]"
300,23070,729.6347409990404,1.0571593026091244,2.170788355888916,81.80220624774176,15.755579112516816,160.72771942683733,1,"[0.010964390194806418]","[3.0]","[365.0]","[1.0571593026091244]","[0.7647662160877478]","[15.755579112516816]","[0.6700043535344724]","[7.0]","[1.0]","[-2073546522]","[160.72771942683733]","[0.7647662160877478]","[0.21106451125002357]"
300,23070,786.6570751223811,1.398906078849294,1.0,275.71612980375807,24.048295524514856,102.23258987993692,2,"[0.02415283685975131,0.01271201939986911]","[3.0,3.0]","[365.0,365.0]","[1.398906078849294,1.398906078849294]","[0.8351796745714005,0.8148404435316099]","[24.68903499496699,23.407556054062727]","[0.7223664601674757,0.7223664601674757]","[7.0,7.0]","[1.0,1.0]","[579207338,1704818739]","[97.74641742425236,106.71876233562149]","[0.8351796745714005,0.8148404435316099]","[0.0927977416190445,0.13093379981865183]"
