evolution$generation,evolution$evaluated,popInit,infectionRadiusI,distRandomWalk,angleRotatRandomWalk,objective$integraleInfected,objective$integraleExposed,evolution$samples,propExposed,teG,trG,infectionRadiusI,propRecovered,integraleInfected,density,tiG,propInfecte,mySeed,integraleExposed,propInfected,propSuseptible
700,49932,642.8650113191416,1.175135701724158,1.6709034501685744,75.19051931451075,10.514477490591226,213.2832262848851,1,"[0.024888584256854224]","[3.0]","[365.0]","[1.175135701724158]","[0.5568820727471133]","[10.514477490591226]","[0.5903259975382383]","[7.0]","[1.0]","[-902206780]","[213.2832262848851]","[0.5568820727471133]","[0.37643983688492016]"
700,49932,686.4839723338647,1.1697464834627698,1.85422305242537,74.02704380925897,13.571362625580468,186.13715977403515,3,"[0.03641745620805477,0.02039377547651067,0.0]","[3.0,3.0,3.0]","[365.0,365.0,365.0]","[1.1697464834627698,1.1697464834627698,1.1697464834627698]","[0.7472862013892839,0.7516562961342504,0.15003991957718565]","[13.571362625580468,16.161801077296698,11.774717489093264]","[0.6303801398841733,0.6303801398841733,0.6303801398841733]","[7.0,7.0,7.0]","[1.0,1.0,1.0]","[692258137,-1894663765,944752639]","[186.13715977403515,172.99425394954972,378.9248885011437]","[0.7472862013892839,0.7516562961342504,0.15003991957718565]","[0.13547293709396374,0.1733470915503407,0.8492550787718373]"
700,49932,1218.1227448773236,1.1090555732259237,1.431192915298804,34.62103022784992,12.567237644115417,188.48087792841739,1,"[0.02298618929639957]","[3.0]","[365.0]","[1.1090555732259237]","[0.7437674108049289]","[12.567237644115417]","[1.1185700136614543]","[7.0]","[1.0]","[618183440]","[188.48087792841739]","[0.7437674108049289]","[0.1855313850352251]"
700,49932,1025.869959293485,1.7484393571879917,2.140616545494364,127.74310457933193,35.50489384287736,40.170504997511,10,"[0.018520865951748185,0.019495648370261246,0.014621736277695934,0.027293907718365745,0.027293907718365745,0.025344342881339618,0.03704173190349637,0.025344342881339618,0.03216781981093105,0.024369560462826557]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[1.7484393571879917,1.7484393571879917,1.7484393571879917,1.7484393571879917,1.7484393571879917,1.7484393571879917,1.7484393571879917,1.7484393571879917,1.7484393571879917,1.7484393571879917]","[0.892900695357965,0.8831528711728344,0.8958250426135043,0.8987493898690434,0.8734050469877038,0.8860772184283736,0.8607328755470339,0.8880267832653997,0.8792537414987822,0.8880267832653997]","[31.24642780774217,31.624184690736424,33.38541177620607,37.36657774493048,35.87621020874006,36.88914132944249,38.62258336639381,35.133577477014654,37.47688405551867,34.40806592958444]","[0.9420293473769376,0.9420293473769376,0.9420293473769376,0.9420293473769376,0.9420293473769376,0.9420293473769376,0.9420293473769376,0.9420293473769376,0.9420293473769376,0.9420293473769376]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-270783613,-71749422,-286078923,-585059984,-1862469101,-1242514527,388408535,-193679117,369244277,-1756051536]","[42.541739272616674,41.35123807773207,43.49604097940382,39.19190079405537,40.2011448825587,39.52235203393133,38.016002935287894,40.298523097797776,40.139865112463305,38.51704109840355]","[0.892900695357965,0.8831528711728344,0.8958250426135043,0.8987493898690434,0.8734050469877038,0.8860772184283736,0.8607328755470339,0.8880267832653997,0.8792537414987822,0.8880267832653997]","[0.03021825497390493,0.04776433850714005,0.03314260222944412,0.031193037392417994,0.03899129674052249,0.023394778044313495,0.045814773670113926,0.03509216706647024,0.031193037392417994,0.04678955608862699]"
700,49932,795.3789963030277,1.0,1.0,198.5216515084915,13.500003046989296,179.86951135301365,1,"[0.01005809813583777]","[3.0]","[365.0]","[1.0]","[0.7593864092557516]","[13.500003046989296]","[0.7303755705261963]","[7.0]","[1.0]","[1736784091]","[179.86951135301365]","[0.7593864092557516]","[0.20367648725071485]"
700,49932,976.7469362172387,1.0,1.0,146.71958880834393,11.431376840355012,284.1312979704325,2,"[0.014333292975782884,0.0]","[3.0,3.0]","[365.0,365.0]","[1.0,1.0]","[0.7269027152004177,0.19452326181419627]","[12.797270923574859,10.065482757135166]","[0.8969209698964543,0.8969209698964543]","[7.0,7.0]","[1.0,1.0]","[-346656833,113319393]","[190.57129755265984,377.69129838820515]","[0.7269027152004177,0.19452326181419627]","[0.23547552745929023,0.8047120199260962]"
700,49932,500.0,2.3185368147906527,1.112023185473328,103.50287094657628,24.161862807559984,113.33420006628641,2,"[0.018,0.024]","[3.0,3.0]","[365.0,365.0]","[2.3185368147906527,2.3185368147906527]","[0.804,0.74]","[23.692789969015454,24.630935646104515]","[0.4591368227731864,0.4591368227731864]","[7.0,7.0]","[1.0,1.0]","[727196015,-1899428729]","[116.27651285270247,110.39188727987036]","[0.804,0.74]","[0.144,0.2]"
700,49932,706.5562241716715,1.9042201821401696,1.5353440826514166,121.82820481135857,26.087649543684847,79.111679226953,1,"[0.02406036408486796]","[3.0]","[365.0]","[1.9042201821401696]","[0.8237136410231266]","[26.087649543684847]","[0.648811959753601]","[7.0]","[1.0]","[-100428174]","[79.111679226953]","[0.8237136410231266]","[0.11039461168351182]"
700,49932,825.4759406715225,1.2838484616307078,4.901026394771068,316.4759969853749,32.993864294393184,60.09574280481774,9,"[0.02907413628612369,0.033919825667144306,0.014537068143061846,0.04118835973867523,0.024228446905103077,0.03270840332188915,0.015748490488317,0.036342670357654615,0.03755409270290977]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[1.2838484616307078,1.2838484616307078,1.2838484616307078,1.2838484616307078,1.2838484616307078,1.2838484616307078,1.2838484616307078,1.2838484616307078,1.2838484616307078]","[0.8443613746428422,0.8383042629165665,0.8685898215479453,0.8407271076070768,0.8407271076070768,0.8722240885837108,0.8988753801793241,0.8419385299523319,0.8383042629165665]","[35.008354775611025,29.437185142732154,35.589032168142296,29.960701287588034,31.35786369645218,33.15958982059403,31.584649356025317,35.5254173396391,32.993864294393184]","[0.7580128013512604,0.7580128013512604,0.7580128013512604,0.7580128013512604,0.7580128013512604,0.7580128013512604,0.7580128013512604,0.7580128013512604,0.7580128013512604]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-356851355,-332109044,-513459212,1681332378,-2025842842,1401184005,597546067,1612280186,946402470]","[59.57846546339377,68.55480380058751,59.65569525234312,63.97460579260199,60.09574280481774,59.194444579947806,61.18979924745692,57.4960379918164,60.58378683368234]","[0.8443613746428422,0.8383042629165665,0.8685898215479453,0.8407271076070768,0.8407271076070768,0.8722240885837108,0.8988753801793241,0.8419385299523319,0.8383042629165665]","[0.0811652971320953,0.09933663231092262,0.07026249602479892,0.06783965133428861,0.08358814182260561,0.05087973850071646,0.04482262677444069,0.05209116084597162,0.07995387478684016]"
700,49932,1209.3129734767183,1.2122139078453884,1.0745778485628064,92.17248445105051,21.397840932299893,146.41255921189946,7,"[0.017365231714686714,0.0198459791024991,0.014057568530936863,0.020672894898436562,0.0,0.0198459791024991,0.024807473878123876]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[1.2122139078453884,1.2122139078453884,1.2122139078453884,1.2122139078453884,1.2122139078453884,1.2122139078453884,1.2122139078453884]","[0.8037621536512135,0.7773008481812148,0.7715124376096525,0.7872238377324643,0.14636409588093086,0.8128582274065257,0.7764739323852773]","[17.785229710258452,21.397840932299893,21.846359387151463,24.31477428164579,14.056284849204252,17.754423018395048,21.983489536210122]","[1.1104802327609902,1.1104802327609902,1.1104802327609902,1.1104802327609902,1.1104802327609902,1.1104802327609902,1.1104802327609902]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[552302933,-676757971,1995302489,747565740,-1806425755,-1910649472,1100501781]","[146.54250199404066,146.41255921189946,138.64348627770934,134.12928129200876,401.63743984925156,153.0987300329362,130.8609424955608]","[0.8037621536512135,0.7773008481812148,0.7715124376096525,0.7872238377324643,0.14636409588093086,0.8128582274065257,0.7764739323852773]","[0.1455371800849934,0.1587678328199928,0.18440222249405414,0.14636409588093086,0.8533771014074613,0.13478727473780638,0.14719101167686832]"
