evolution$generation,evolution$evaluated,popInit,infectionRadiusI,objective$integraleInfected,objective$integraleExposed,evolution$samples,propExposed,teG,trG,infectionRadiusI,propRecovered,integraleInfected,density,tiG,propInfecte,mySeed,integraleExposed,propInfected,propSuseptible
1300,99648,587.8110547016256,1.0,8.595630879517453,425.54839696433186,1,"[0.0]","[3.0]","[365.0]","[1.0]","[0.12929324719586602]","[8.595630879517453]","[0.5397714000933201]","[7.0]","[1.0]","[-1830984109]","[425.54839696433186]","[0.12929324719586602]","[0.8693269646985202]"
1300,99648,1409.25863257964,5.0,39.113208659036204,10.923674679384195,1,"[0.03122209009957118]","[3.0]","[365.0]","[5.0]","[0.9111173565420317]","[39.113208659036204]","[1.2940850620566025]","[7.0]","[1.0]","[1635088599]","[10.923674679384195]","[0.9111173565420317]","[0.0035479647840421795]"
1300,99648,794.9512739602776,1.4196128841578015,21.95732168017397,100.06971855935979,1,"[0.02264289723108165]","[3.0]","[365.0]","[1.4196128841578015]","[0.8314975038747205]","[21.95732168017397]","[0.7299828043712374]","[7.0]","[1.0]","[1782804767]","[100.06971855935979]","[0.8314975038747205]","[0.10440891500998761]"
1300,99648,500.0,5.0,39.93565180374125,15.27530884711025,100,"[0.028,0.022,0.032,0.034,0.02,0.036,0.042,0.036,0.02,0.034,0.022,0.026,0.024,0.022,0.042,0.04,0.036,0.026,0.032,0.022,0.034,0.028,0.04,0.026,0.026,0.04,0.028,0.032,0.026,0.032,0.028,0.028,0.05,0.032,0.04,0.04,0.028,0.032,0.034,0.03,0.024,0.036,0.028,0.026,0.026,0.03,0.02,0.034,0.04,0.038,0.026,0.04,0.03,0.034,0.026,0.024,0.032,0.04,0.036,0.046,0.04,0.034,0.028,0.036,0.034,0.026,0.02,0.038,0.028,0.04,0.038,0.02,0.032,0.03,0.034,0.02,0.04,0.02,0.048,0.028,0.042,0.04,0.032,0.042,0.036,0.036,0.03,0.04,0.032,0.032,0.026,0.028,0.034,0.03,0.032,0.024,0.034,0.034,0.036,0.026]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[0.912,0.904,0.898,0.902,0.912,0.892,0.89,0.924,0.908,0.904,0.922,0.904,0.9,0.906,0.888,0.88,0.894,0.91,0.898,0.9,0.9,0.908,0.902,0.922,0.886,0.908,0.912,0.912,0.908,0.91,0.896,0.904,0.888,0.89,0.91,0.894,0.898,0.896,0.918,0.902,0.906,0.886,0.914,0.906,0.904,0.912,0.926,0.89,0.906,0.882,0.894,0.896,0.902,0.912,0.896,0.916,0.898,0.88,0.906,0.888,0.864,0.88,0.908,0.89,0.9,0.89,0.924,0.904,0.918,0.914,0.9,0.922,0.92,0.916,0.908,0.918,0.902,0.93,0.884,0.902,0.906,0.89,0.89,0.884,0.898,0.9,0.906,0.89,0.908,0.906,0.896,0.908,0.91,0.902,0.89,0.91,0.894,0.89,0.904,0.91]","[38.10316271012663,43.75211910496881,39.646699866265486,39.8737001025751,44.15952070815054,43.522890460905074,36.71231045485808,37.009253426407476,39.74000010595964,36.86782356634849,40.91243316597349,37.74175605714283,46.5545934038002,41.89221163981692,40.099227545967615,38.76489265288548,41.2452534264075,39.62115553445158,40.372830150030204,40.86131331799272,41.55283015003019,40.18338701173243,43.263908563501005,39.91568973540824,41.16556048928489,40.778830150030196,39.186211300225445,39.76073175965446,39.9128791993226,36.38946195827993,37.44334832488563,37.22834711938462,43.15388424031008,46.12612712937541,44.36663589624133,43.89141608431405,42.17410428916781,40.70691466047169,41.50324110182371,39.89656904553717,43.35398019506253,42.791875571226086,36.810914660471724,47.41128963694222,37.67590856350092,43.53453440315297,40.893205542846175,37.38740429259937,39.12494972119844,40.780490890430016,35.7469518189472,38.189060751780715,32.77169648281293,39.05736749569096,43.10188424031015,43.174679131235315,35.99074784286195,40.70591335339395,35.69875208522766,42.42489046090509,42.99689046090504,42.72920554284617,37.06826534778471,40.66828173826422,37.1047955083896,40.185205542846205,37.0058566103003,40.454809663089065,36.70495323869278,35.750331209742676,40.08570010257508,41.02468105871372,38.48456539216397,37.78825164278729,39.05462585899844,32.50729608362341,40.56856212371885,38.986721216322316,37.51409034807139,40.89398218273926,35.91317690763586,40.69979156049316,38.73122731340683,39.95561387207425,39.98476297519381,39.31691466047168,42.6214863490137,43.9176015059665,42.249700102575055,37.06216224140143,40.615380685544,38.81380973974797,40.40542287182674,37.39045411889888,43.80879348587153,37.41004264278657,39.20516817139767,34.28431422812606,38.708250954540134,37.073811170961996]","[0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-1190949305,1719954735,-1983219137,-210096517,-1341837493,-1834840654,2132945105,2140163112,1647706292,-262279776,-109823269,1187586517,484089330,-957255579,663195812,1845361527,1027014435,1116703708,314512003,-1745459837,1615898462,103967170,-33711762,1225295641,803424363,-2124470796,-589961439,-2089606617,409374028,-2076468973,1484461736,-348440032,-118026227,-670580634,-1778650572,12511187,-1833185151,-1046980418,-1118509864,-1500493738,898096245,-1705517541,1588883668,580537511,2060783585,917865324,662284276,-1327567603,-472893756,2072826496,-1540929379,-1437083797,967693262,-16587347,-2034572674,-1287170585,-1909602263,1671066560,1456842403,-358211802,731804510,-2111182955,1756109343,1536587191,-958144856,-1257163908,1515222466,-551518977,438242007,657959486,-1818419477,-2018072168,1849178492,-349378570,1951597870,428707905,-1286176524,506706393,-139034059,-1709340687,-523443646,-395470763,-384251471,1771822529,561184381,1976006928,1446239667,777794697,1709711434,-823157155,52864614,-1354357254,-455744641,-339682809,2098062659,-698415680,1736775319,1678884717,-1433873807,365477320]","[15.230953524257519,14.573431807862846,15.70517071850373,16.05537975252741,13.992435062692572,15.614216348200516,16.093833586309273,15.846116975526012,16.158856599521062,14.447916600886316,15.211712685657202,14.996549077176862,14.302590025840535,15.960591948721165,14.928712531892,17.50702038897233,15.401716300206488,14.467586440974731,15.535264710508573,15.169917232201279,15.540147196061323,14.835151237221753,14.807456504684161,15.679002688431316,15.66436200628012,14.94525713245722,15.182015344788969,14.48514045352324,14.99825808235252,15.794885510319626,16.98732649249398,15.027002365851128,15.249914533083313,15.028576492260386,14.563421056709654,15.109467264213968,14.880058612462092,15.662158740164852,14.359583700231614,15.886295134261307,14.837041250410829,14.981886466614911,15.466400770338089,15.789578462964188,14.518911307765892,14.188607181767702,14.499224483328474,15.035764791279723,15.675061283633466,15.475734878797146,16.055000086775266,15.892621239693952,15.878162281473498,15.72886367881181,15.267869338568412,14.731536309886577,15.995224528145815,15.80198915673668,15.728890975898446,14.404105952056304,15.877525371660113,15.110838954627944,15.34745826194834,15.434766554644058,14.83673716794341,15.421703006602014,16.279149364195387,15.292427593591672,15.914834923775523,15.956194713410255,16.063112500575507,14.99899463287379,14.573443465699263,15.331292751307483,14.78804326848784,16.48722954693376,14.830735311530674,15.221872505515012,16.198777217944514,14.917637300240678,15.492744142251377,15.109763033743967,15.282748355652085,15.202781688000274,15.475781783679995,15.264762293095611,15.403306144699242,15.134250483544264,14.69148045226066,15.629200063270101,15.963263147857182,15.051546038024469,14.994619454363486,15.968730276031737,14.527691434992725,15.708053935198027,15.428688710670803,17.395593557436786,15.085892410518762,14.448159074717717]","[0.912,0.904,0.898,0.902,0.912,0.892,0.89,0.924,0.908,0.904,0.922,0.904,0.9,0.906,0.888,0.88,0.894,0.91,0.898,0.9,0.9,0.908,0.902,0.922,0.886,0.908,0.912,0.912,0.908,0.91,0.896,0.904,0.888,0.89,0.91,0.894,0.898,0.896,0.918,0.902,0.906,0.886,0.914,0.906,0.904,0.912,0.926,0.89,0.906,0.882,0.894,0.896,0.902,0.912,0.896,0.916,0.898,0.88,0.906,0.888,0.864,0.88,0.908,0.89,0.9,0.89,0.924,0.904,0.918,0.914,0.9,0.922,0.92,0.916,0.908,0.918,0.902,0.93,0.884,0.902,0.906,0.89,0.89,0.884,0.898,0.9,0.906,0.89,0.908,0.906,0.896,0.908,0.91,0.902,0.89,0.91,0.894,0.89,0.904,0.91]","[0.008,0.008,0.006,0.012,0.006,0.004,0.01,0.0,0.006,0.004,0.014,0.008,0.012,0.008,0.01,0.006,0.008,0.002,0.002,0.004,0.01,0.01,0.008,0.002,0.014,0.002,0.01,0.002,0.03,0.002,0.008,0.004,0.01,0.004,0.006,0.014,0.008,0.006,0.006,0.012,0.014,0.002,0.008,0.01,0.002,0.01,0.01,0.012,0.002,0.012,0.012,0.012,0.008,0.008,0.008,0.004,0.008,0.004,0.012,0.01,0.012,0.0,0.016,0.012,0.004,0.018,0.012,0.014,0.008,0.002,0.0,0.012,0.006,0.01,0.002,0.008,0.002,0.006,0.02,0.01,0.006,0.006,0.01,0.004,0.01,0.002,0.004,0.01,0.0,0.006,0.006,0.006,0.004,0.004,0.008,0.004,0.016,0.004,0.008,0.004]"
1300,99648,529.7918122422699,1.0,9.258927850523099,224.06427785834913,1,"[0.00566260166857415]","[3.0]","[365.0]","[1.0]","[0.5832479718631374]","[9.258927850523099]","[0.4864938588083286]","[7.0]","[1.0]","[-1958380587]","[224.06427785834913]","[0.5832479718631374]","[0.39449458291066575]"
1300,99648,653.1073495374304,1.0526673676867517,12.228977301012883,293.7537103267564,2,"[0.019904844141177366,0.0]","[3.0,3.0]","[365.0,365.0]","[1.0526673676867517,1.0526673676867517]","[0.8130363260742447,0.133209341560187]","[13.319170744464563,11.138783857561203]","[0.5997312667928654,0.5997312667928654]","[7.0,7.0]","[1.0,1.0]","[1042453411,1875688088]","[172.7702018446697,414.73721880884307]","[0.8130363260742447,0.133209341560187]","[0.12555363227511876,0.8666262910697222]"
1300,99648,520.4748934272214,1.0,10.275187400303082,324.22217924697696,2,"[0.007685289051429191,0.0]","[3.0,3.0]","[365.0,365.0]","[1.0,1.0]","[0.722417170834344,0.14794181424001193]","[9.976590666329892,10.573784134276272]","[0.47793837780277454,0.47793837780277454]","[7.0,7.0]","[1.0,1.0]","[271427862,1643654032]","[236.5858675323988,411.8584909615551]","[0.722417170834344,0.14794181424001193]","[0.2612998277485925,0.8511457624457829]"
1300,99648,577.1096808683134,1.0278376264238027,8.804744741432069,314.65083783903845,1,"[0.0]","[3.0]","[365.0]","[1.0278376264238027]","[0.16634619584887117]","[8.804744741432069]","[0.5299446105310499]","[7.0]","[1.0]","[-1774861319]","[314.65083783903845]","[0.16634619584887117]","[0.8334637521177817]"
1300,99648,509.4897517127605,1.0987086014978522,10.59364482304263,306.155439265368,2,"[0.01570198413826041,0.0]","[3.0,3.0]","[365.0,365.0]","[1.0987086014978522,1.0987086014978522]","[0.6732225699279151,0.1373923612097786]","[10.247790523650805,10.939499122434457]","[0.46785101167379295,0.46785101167379295]","[7.0,7.0]","[1.0,1.0]","[-57792632,-320210560]","[210.5074674292187,401.80341110151727]","[0.6732225699279151,0.1373923612097786]","[0.2787102184541223,0.86164637958704]"
1300,99648,562.2828816515898,1.3415342431243027,16.572746069540255,157.29818613141342,7,"[0.02312003517129169,0.010670785463673088,0.0,0.005335392731836544,0.016006178195509632,0.0,0.028455427903128234]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[1.3415342431243027,1.3415342431243027,1.3415342431243027,1.3415342431243027,1.3415342431243027,1.3415342431243027,1.3415342431243027]","[0.722056483041879,0.7611826964086803,0.1582833177111508,0.7469549824571161,0.8287643376786098,0.13516328253985913,0.7380626612373886]","[17.569979930748907,16.023277816324114,12.230670183270009,21.97068516134,20.96560996854966,12.773101777673398,16.572746069540255]","[0.5163295515625251,0.5163295515625251,0.5163295515625251,0.5163295515625251,0.5163295515625251,0.5163295515625251,0.5163295515625251]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-1219012601,-2079172326,1887443402,1493222399,-960594705,200802046,-2077505907]","[157.29818613141342,155.26733318776726,402.3643639595662,139.0382672366363,149.87990254883138,410.19938664197764,174.21902673510868]","[0.722056483041879,0.7611826964086803,0.1582833177111508,0.7469549824571161,0.8287643376786098,0.13516328253985913,0.7380626612373886]","[0.23475728020080794,0.2063018522976797,0.8412135873862284,0.22764342322502587,0.12982788980802257,0.8643336225575201,0.1814033528824425]"
