evolution$generation,evolution$evaluated,popInit,infectionRadiusI,objective$integraleInfected,objective$integraleExposed,evolution$samples,propExposed,teG,trG,infectionRadiusI,propRecovered,integraleInfected,density,tiG,propInfecte,mySeed,integraleExposed,propInfected,propSuseptible
100,8213,1244.1973517438023,5.0,40.08520884820143,11.08085366695587,1,"[0.03134550957317151]","[3.0]","[365.0]","[5.0]","[0.9098235086366706]","[40.08520884820143]","[1.1425136379649241]","[7.0]","[1.0]","[-126472409]","[11.08085366695587]","[0.9098235086366706]","[8.037310146967055E-4]"
100,8213,1500.0,5.0,40.3054948911583,11.322214933026638,16,"[0.03133333333333333,0.038,0.026,0.032,0.02266666666666667,0.024666666666666667,0.034,0.028,0.029333333333333333,0.028666666666666667,0.027333333333333334,0.024666666666666667,0.029333333333333333,0.02266666666666667,0.036,0.022]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[0.91,0.8966666666666666,0.906,0.9073333333333333,0.9153333333333333,0.9093333333333333,0.9126666666666666,0.91,0.9213333333333333,0.9113333333333333,0.8973333333333333,0.924,0.91,0.9166666666666666,0.916,0.924]","[38.77211553388482,43.206142996422386,40.30526578828796,40.33639066069537,41.45039066069539,42.857476329755805,39.00491435235868,40.30572399402863,38.592647800612475,37.194307123660884,44.476830150030196,40.71172399402866,39.483932454954655,40.95152292820509,39.161906736903916,38.785057327362026]","[1.3774104683195592,1.3774104683195592,1.3774104683195592,1.3774104683195592,1.3774104683195592,1.3774104683195592,1.3774104683195592,1.3774104683195592,1.3774104683195592,1.3774104683195592,1.3774104683195592,1.3774104683195592,1.3774104683195592,1.3774104683195592,1.3774104683195592,1.3774104683195592]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-1250116917,-119807006,1298930594,-1756722331,-804501504,33581911,2018528912,-454247820,1284380285,-2023266658,1977815294,-1433477063,-435647671,-1688574792,-1401362567,-752769009]","[11.354750404144886,11.343057001020986,11.383957179318545,11.406159655864224,11.21103622592948,11.127235145888253,11.236380279879675,11.249554423323763,11.445789343397136,11.31132066047868,11.732076159904157,11.128949423754541,11.144134109012757,11.339205188526972,11.333109205574596,11.09900341574214]","[0.91,0.8966666666666666,0.906,0.9073333333333333,0.9153333333333333,0.9093333333333333,0.9126666666666666,0.91,0.9213333333333333,0.9113333333333333,0.8973333333333333,0.924,0.91,0.9166666666666666,0.916,0.924]","[0.0026666666666666666,0.004,0.004,0.0026666666666666666,0.005333333333333333,6.666666666666666E-4,0.002,0.0026666666666666666,0.0013333333333333333,0.0026666666666666666,6.666666666666666E-4,0.0013333333333333333,0.0033333333333333335,0.0026666666666666666,0.002,0.0013333333333333333]"
100,8213,511.1353994015609,1.1672665446117172,9.00443570144447,426.31208064743555,1,"[0.0]","[3.0]","[365.0]","[1.1672665446117172]","[0.12129858364846148]","[9.00443570144447]","[0.46936216657627267]","[7.0]","[1.0]","[507865102]","[426.31208064743555]","[0.12129858364846148]","[0.8784365170670839]"
100,8213,511.1354381008462,1.1672661263952784,9.459703725145635,320.6522444130799,1,"[0.0]","[3.0]","[365.0]","[1.1672661263952784]","[0.14477571790942798]","[9.459703725145635]","[0.46936220211280644]","[7.0]","[1.0]","[-893553279]","[320.6522444130799]","[0.14477571790942798]","[0.8549593071137842]"
100,8213,511.13525504393033,1.167265842964599,10.416250183963756,229.00929916837129,3,"[0.03325929845817211,0.01565143456855158,0.0]","[3.0,3.0,3.0]","[365.0,365.0,365.0]","[1.167265842964599,1.167265842964599,1.167265842964599]","[0.5282359166886159,0.7160531315112348,0.15064505772230896]","[10.371400295642411,20.5009608712253,10.416250183963756]","[0.4693620340164649,0.4693620340164649,0.4693620340164649]","[7.0,7.0,7.0]","[1.0,1.0,1.0]","[534355097,-899794320,752525288]","[229.00929916837129,167.30254342107924,406.8643758881069]","[0.5282359166886159,0.7160531315112348,0.15064505772230896]","[0.373678000324169,0.2425972358125495,0.8490903253439233]"
100,8213,500.0,1.0,10.382329106816867,406.7647083780478,11,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.124,0.132,0.15,0.142,0.176,0.128,0.158,0.134,0.178,0.196,0.158]","[11.32183112035411,10.53309609531213,10.275971307189812,10.217030860146005,9.691646269102485,10.888302283533436,10.755642280429479,10.000108122662619,10.518829710653987,9.76182666124104,10.382329106816867]","[0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864,0.4591368227731864]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[436595324,673983418,-197062923,-1323762610,651478789,-297543112,-2092681498,-649764017,-672479773,2018252925,-955750563]","[433.04670837804815,425.1187083780482,409.0027083780477,424.5587083780479,408.0407083780477,403.17070837804755,401.1847083780479,406.7647083780478,384.6627083780481,386.0707083780473,391.66270837804774]","[0.124,0.132,0.15,0.142,0.176,0.128,0.158,0.134,0.178,0.196,0.158]","[0.876,0.868,0.85,0.858,0.824,0.872,0.842,0.866,0.822,0.804,0.842]"
100,8213,661.6835262547969,1.0542457121913578,10.638758181079178,207.50037767760284,1,"[0.007556482520126444]","[3.0]","[365.0]","[1.0542457121913578]","[0.6105637876262167]","[10.638758181079178]","[0.6076065438519714]","[7.0]","[1.0]","[-1268807103]","[207.50037767760284]","[0.6105637876262167]","[0.36422245747009463]"
100,8213,693.0636844489343,1.3161179807260863,19.38351600151715,136.07225535193098,1,"[0.02885737696082332]","[3.0]","[365.0]","[1.3161179807260863]","[0.7373059813490358]","[19.38351600151715]","[0.6364221161147239]","[7.0]","[1.0]","[2008780094]","[136.07225535193098]","[0.7373059813490358]","[0.19334442563751625]"
100,8213,626.1594999672939,1.0,12.443018729219183,202.88464961639735,1,"[0.014373334590420006]","[3.0]","[365.0]","[1.0]","[0.6771437629264536]","[12.443018729219183]","[0.5749857667284608]","[7.0]","[1.0]","[-147651737]","[202.88464961639735]","[0.6771437629264536]","[0.2810785431015468]"
100,8213,699.4551337362393,1.0,13.555065102708125,173.70970982215903,3,"[0.01858589546774594,0.0,0.020015579734495626]","[3.0,3.0,3.0]","[365.0,365.0,365.0]","[1.0,1.0,1.0]","[0.7391467659095885,0.13582000534122032,0.7391467659095885]","[14.36646603892291,10.07084543707454,13.555065102708125]","[0.6422912155521022,0.6422912155521022,0.6422912155521022]","[7.0,7.0,7.0]","[1.0,1.0,1.0]","[2114302697,1957209502,-651209952]","[171.4234397792882,418.2512800122882,173.70970982215903]","[0.7391467659095885,0.13582000534122032,0.7391467659095885]","[0.21016358721220407,0.8635292971168114,0.21588232427920284]"
