X.step.,meanI,SdI,meanS,SdS,meanE,SdE,meanR,SdR
34,0.02928,0.006611801446455189,0.84676,0.017626001201842326,0.01424,0.0057376664530565565,0.10972,0.012904737304492457
35,0.02928,0.006611801446455189,0.84676,0.017626001201842326,0.01424,0.0057376664530565565,0.10972,0.012904737304492457
36,0.02992,0.007159523413622172,0.83944,0.017737496314593103,0.01376,0.0054156236567764506,0.11688,0.012494308908540752
37,0.02992,0.007159523413622172,0.83944,0.017737496314593103,0.01376,0.0054156236567764506,0.11688,0.012494308908540752
38,0.02952,0.008765051194886405,0.8328,0.01851640199545102,0.01396,0.005972590454291494,0.12372,0.013334074809314974
39,0.02952,0.008765051194886405,0.8328,0.01851640199545102,0.01396,0.005972590454291494,0.12372,0.013334074809314974
40,0.02932,0.008197660193802938,0.82648,0.018452631027491284,0.01296,0.005689087298127379,0.13124,0.01485104270372135
41,0.02932,0.008197660193802938,0.82648,0.018452631027491284,0.01296,0.005689087298127379,0.13124,0.01485104270372135
42,0.0282,0.00859283042389861,0.8198,0.019248111489659613,0.013,0.005364280958719596,0.139,0.01570259305246839
43,0.0282,0.00859283042389861,0.8198,0.019248111489659613,0.013,0.005364280958719596,0.139,0.01570259305246839
44,0.02672,0.00869210291363514,0.8148799999999999,0.018640136637845497,0.011600000000000001,0.00507896823846605,0.14679999999999999,0.016946494430099334
45,0.02672,0.00869210291363514,0.8148799999999999,0.018640136637845497,0.011600000000000001,0.00507896823846605,0.14679999999999999,0.016946494430099334
46,0.02696,0.008752748839358865,0.80868,0.019224176954861703,0.01112,0.004783645608332879,0.15324,0.01762600120184232
47,0.02696,0.008752748839358865,0.80868,0.019224176954861703,0.01112,0.004783645608332879,0.15324,0.01762600120184232
48,0.02456,0.0076349358149207245,0.80284,0.019327848154559613,0.01204,0.004823243044818263,0.16056,0.017737496314593103
49,0.02456,0.0076349358149207245,0.80284,0.019327848154559613,0.01204,0.004823243044818263,0.16056,0.017737496314593103
50,0.02412,0.007797540166812943,0.7968000000000001,0.020032626449094964,0.01188,0.004578744146508262,0.1672,0.01851640199545103
51,0.02412,0.007797540166812943,0.7968000000000001,0.020032626449094964,0.01188,0.004578744146508262,0.1672,0.01851640199545103
52,0.02364,0.007588283127053611,0.79124,0.020044399696266122,0.011600000000000001,0.005142857142857143,0.17352,0.0184526310274913
53,0.02364,0.007588283127053611,0.79124,0.020044399696266122,0.011600000000000001,0.005142857142857143,0.17352,0.0184526310274913
54,0.023,0.0061445180478875904,0.78576,0.02047054628743753,0.01104,0.004886299046041588,0.1802,0.019248111489659638
55,0.023,0.0061445180478875904,0.78576,0.02047054628743753,0.01104,0.004886299046041588,0.1802,0.019248111489659638
56,0.02364,0.006573788396164804,0.77924,0.02087822808964558,0.012,0.005360475154083919,0.18512,0.018640136637845525
57,0.02364,0.006573788396164804,0.77924,0.02087822808964558,0.012,0.005360475154083919,0.18512,0.018640136637845525
58,0.02292,0.006965922884489396,0.77312,0.020718364130521954,0.01264,0.004685017369775916,0.19132,0.019224176954861727
59,0.02292,0.006965922884489396,0.77312,0.020718364130521954,0.01264,0.004685017369775916,0.19132,0.019224176954861727
60,0.0236,0.007472398188926869,0.76728,0.020250512717117142,0.01196,0.004398329924238174,0.19716,0.019327848154559634
61,0.0236,0.007472398188926869,0.76728,0.020250512717117142,0.01196,0.004398329924238174,0.19716,0.019327848154559634
62,0.02368,0.006692792346080603,0.76192,0.019922134136970096,0.0112,0.004351870346207948,0.2032,0.020032626449094978
63,0.02368,0.006692792346080603,0.76192,0.019922134136970096,0.0112,0.004351870346207948,0.2032,0.020032626449094978
64,0.02396,0.005337430399106496,0.7566,0.01970496674155313,0.01068,0.004705359514773053,0.20876,0.020044399696266126
65,0.02396,0.005337430399106496,0.7566,0.01970496674155313,0.01068,0.004705359514773053,0.20876,0.020044399696266126
66,0.02384,0.0059773722982458385,0.75144,0.020106004788903967,0.01048,0.0044365826157215255,0.21423999999999999,0.020470546287437535
67,0.02384,0.0059773722982458385,0.75144,0.020106004788903967,0.01048,0.0044365826157215255,0.21423999999999999,0.020470546287437535
68,0.02264,0.006278437346203598,0.74592,0.019753418717285594,0.01068,0.004791318680058503,0.22076,0.020878228089645567
69,0.02264,0.006278437346203598,0.74592,0.019753418717285594,0.01068,0.004791318680058503,0.22076,0.020878228089645567
70,0.021679999999999998,0.006132682603752403,0.74092,0.02007418893067639,0.01052,0.004175927124237057,0.22688,0.020718364130521933
71,0.021679999999999998,0.006132682603752403,0.74092,0.02007418893067639,0.01052,0.004175927124237057,0.22688,0.020718364130521933
72,0.02136,0.00702694522418337,0.7358,0.02020002020609215,0.01012,0.00505334805160027,0.23272,0.020250512717117124
73,0.02136,0.00702694522418337,0.7358,0.02020002020609215,0.01012,0.00505334805160027,0.23272,0.020250512717117124
74,0.021,0.006077727824623613,0.7299599999999999,0.02069995563438015,0.010960000000000001,0.005469619245786451,0.23808000000000001,0.019922134136970082
75,0.021,0.006077727824623613,0.7299599999999999,0.02069995563438015,0.010960000000000001,0.005469619245786451,0.23808000000000001,0.019922134136970082
76,0.0208,0.007056622305844839,0.72456,0.021669276661218033,0.01124,0.005093252839767129,0.2434,0.019704966741553115
77,0.0208,0.007056622305844839,0.72456,0.021669276661218033,0.01124,0.005093252839767129,0.2434,0.019704966741553115
78,0.02148,0.0069494971187908,0.71848,0.021678767944508213,0.01148,0.005387968455886936,0.24856,0.020106004788903956
79,0.02148,0.0069494971187908,0.71848,0.021678767944508213,0.01148,0.005387968455886936,0.24856,0.020106004788903956
80,0.02136,0.00752074681484899,0.71388,0.021132854776873097,0.01068,0.005199843011758987,0.25408000000000003,0.019753418717285576
81,0.02136,0.00752074681484899,0.71388,0.021132854776873097,0.01068,0.005199843011758987,0.25408000000000003,0.019753418717285576
82,0.02244,0.007001923933856338,0.70816,0.02129229045107784,0.01032,0.004631039906138242,0.25908,0.02007418893067637
83,0.02244,0.007001923933856338,0.70816,0.02129229045107784,0.01032,0.004631039906138242,0.25908,0.02007418893067637
84,0.02192,0.006915938409329037,0.70344,0.02136959503211827,0.01044,0.004699804598630258,0.2642,0.020200020206092135
85,0.02192,0.006915938409329037,0.70344,0.02136959503211827,0.01044,0.004699804598630258,0.2642,0.020200020206092135
86,0.0218,0.006654751256486923,0.69828,0.021323590462304438,0.00988,0.004283999657005645,0.27004,0.020699955634380138
87,0.0218,0.006654751256486923,0.69828,0.021323590462304438,0.00988,0.004283999657005645,0.27004,0.020699955634380138
88,0.02112,0.007195917209765265,0.6937599999999999,0.021410049137767798,0.00968,0.004735622709737294,0.27544,0.021669276661218023
89,0.02112,0.007195917209765265,0.6937599999999999,0.021410049137767798,0.00968,0.004735622709737294,0.27544,0.021669276661218023
