output,popInit,propInfecte,infectionRadiusI,beta
propInfected,0.8518312383231128,0.04694260704724685,0.6544317524021107,0.025859715268576187
propSuseptible,0.7391578239864454,0.0012225415474863349,0.4482039318265378,8.596022790866079E-4
propExposed,0.7616276732275928,0.0015438524917942044,0.43624341602276484,9.166563717260754E-4
propRecovered,0.8518312383231128,0.04694260704724685,0.6544317524021107,0.025859715268576187
