output,popInit,infectionRadiusI
propInfected,0.7195264505569108,0.4558802099066075
propSuseptible,0.6074214994536722,0.2673441121274902
propExposed,0.6137823187534465,0.37386286711726163
propRecovered,0.7195264505569108,0.4558802099066075
