"t","S","E","I","R"
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.99765,0.00235,0,0
5,0.99765,0.0019,0.00045,0
6,0.99625,0.00275,0.001,0
7,0.99625,0.00215,0.00145,0.00015
8,0.9942,0.0037,0.00185,0.00025
9,0.9942,0.00285,0.00235,6e-04
10,0.9906,0.0057,0.00275,0.00095
11,0.9906,0.00445,0.0037,0.00125
12,0.98705,0.0069,0.0045,0.00155
13,0.98705,0.00555,0.00495,0.00245
14,0.9819,0.00935,0.00565,0.0031
15,0.9819,0.00745,0.00705,0.0036
16,0.97415,0.0137,0.00785,0.0043
17,0.9742,0.0109,0.00995,0.00495
18,0.9654,0.01715,0.01145,0.006
19,0.9654,0.014,0.01325,0.00735
20,0.9536,0.02205,0.01535,0.009
21,0.95365,0.01775,0.01785,0.01075
22,0.93735,0.03015,0.0201,0.0124
23,0.9375,0.02305,0.0245,0.01495
24,0.91535,0.03835,0.02875,0.01755
25,0.9154,0.0297,0.0344,0.0205
26,0.88395,0.0524,0.03965,0.024
27,0.884,0.0411,0.04705,0.02785
28,0.84475,0.06945,0.05345,0.03235
29,0.84485,0.05395,0.0634,0.0378
30,0.7909,0.0927,0.0709,0.0455
31,0.79095,0.073,0.0826,0.05345
32,0.72575,0.1173,0.0942,0.06275
33,0.72575,0.0914,0.1084,0.07445
34,0.64905,0.14095,0.12195,0.08805
35,0.64905,0.10965,0.1381,0.1032
36,0.5598,0.1651,0.15545,0.11965
37,0.56005,0.13095,0.17165,0.13735
38,0.46585,0.1867,0.1906,0.15685
39,0.466,0.14875,0.207,0.17825
40,0.37575,0.1971,0.2232,0.20395
41,0.376,0.15485,0.2403,0.22885
42,0.2907,0.19805,0.25145,0.2598
43,0.2907,0.15475,0.26375,0.2908
44,0.2194,0.18225,0.2769,0.32145
45,0.2203,0.14025,0.28475,0.3547
46,0.1616,0.15995,0.2895,0.38895
47,0.162,0.1249,0.2914,0.4217
48,0.1182,0.13545,0.28855,0.4578
49,0.1194,0.1024,0.2886,0.4896
50,0.08775,0.10625,0.2802,0.5258
51,0.08845,0.08155,0.2705,0.5595
52,0.0668,0.08175,0.25865,0.5928
53,0.0681,0.06035,0.24885,0.6227
54,0.0543,0.05825,0.23215,0.6553
55,0.0553,0.04415,0.21755,0.683
56,0.0472,0.04125,0.20265,0.7089
57,0.0486,0.0305,0.18815,0.73275
58,0.04255,0.02895,0.17295,0.75555
59,0.0438,0.02245,0.1591,0.77465
60,0.03885,0.0224,0.14445,0.7943
61,0.04095,0.0178,0.131,0.81025
62,0.03885,0.01635,0.11955,0.82525
63,0.04135,0.01255,0.10875,0.83735
64,0.0404,0.0122,0.0978,0.8496
65,0.0423,0.0107,0.08735,0.85965
66,0.04155,0.0103,0.07895,0.8692
67,0.04375,0.00825,0.07145,0.87655
68,0.0435,0.0086,0.06455,0.88335
69,0.04495,0.0084,0.0577,0.88895
70,0.04545,0.0088,0.05245,0.8933
71,0.0497,0.0067,0.04865,0.89495
72,0.04975,0.0072,0.04325,0.8998
73,0.0534,0.0058,0.0391,0.9017
74,0.0536,0.00605,0.0344,0.90595
75,0.05705,0.00555,0.0308,0.9066
76,0.05865,0.00505,0.0283,0.908
77,0.0626,0.0041,0.0255,0.9078
78,0.0638,0.0039,0.0228,0.9095
79,0.06655,0.0036,0.02035,0.9095
80,0.06895,0.00345,0.01855,0.90905
81,0.0724,0.0034,0.017,0.9072
82,0.07375,0.0035,0.0154,0.90735
83,0.0772,0.00315,0.01385,0.9058
84,0.07905,0.00285,0.0133,0.9048
85,0.0832,0.0024,0.01235,0.90205
86,0.08465,0.00265,0.0108,0.9019
87,0.0879,0.00245,0.0096,0.90005
88,0.08945,0.0025,0.00885,0.8992
89,0.09325,0.00235,0.00835,0.89605
90,0.095,0.00225,0.008,0.89475
91,0.0981,0.00225,0.00725,0.8924
92,0.09965,0.00285,0.00655,0.89095
93,0.104,0.0024,0.0063,0.8873
94,0.1058,0.0023,0.0065,0.8854
95,0.1102,0.00185,0.00595,0.882
96,0.1129,0.00145,0.0058,0.87985
97,0.11665,0.0014,0.0054,0.87655
98,0.11825,0.00145,0.0049,0.8754
99,0.1212,0.00125,0.0046,0.87295
100,0.12345,0.0015,0.0041,0.87095
101,0.12665,0.00125,0.0041,0.868
102,0.12835,0.0015,0.00385,0.8663
103,0.13195,0.0014,0.00385,0.8628
104,0.1342,0.00165,0.0037,0.86045
105,0.1369,0.00165,0.00365,0.8578
106,0.13885,0.00175,0.00335,0.85605
107,0.14165,0.00135,0.00365,0.85335
108,0.144,0.0012,0.00355,0.85125
109,0.1464,0.0012,0.0034,0.849
110,0.1486,0.00105,0.0035,0.84685
111,0.151,0.001,0.00325,0.84475
112,0.1535,0.00095,0.00295,0.8426
113,0.15645,0.00085,0.0028,0.8399
114,0.15865,0.00085,0.0026,0.8379
115,0.161,0.00075,0.0025,0.83575
116,0.1633,0.00085,0.002,0.83385
117,0.16585,8e-04,0.0018,0.83155
118,0.16815,6e-04,0.0019,0.82935
119,0.1704,0.00085,0.00165,0.8271
120,0.1727,9e-04,0.0016,0.8248
121,0.175,7e-04,0.00165,0.82265
122,0.1775,0.00065,0.00155,0.8203
123,0.1808,0.00045,0.0018,0.81695
124,0.18315,6e-04,0.00165,0.8146
125,0.1855,0.00055,0.0015,0.81245
126,0.187,4e-04,0.0017,0.8109
127,0.19055,3e-04,0.0017,0.80745
128,0.19285,0.00045,0.0014,0.8053
129,0.1952,0.00045,0.0014,0.80295
130,0.1976,0.00055,0.00145,0.8004
131,0.19985,4e-04,0.00135,0.7984
132,0.20205,0.00065,0.0013,0.796
133,0.2052,6e-04,0.0012,0.793
134,0.2071,0.00065,0.00115,0.7911
135,0.20955,0.00055,0.00115,0.78875
136,0.212,5e-04,0.00115,0.78635
137,0.2145,5e-04,0.00105,0.78395
138,0.2167,0.00035,0.00105,0.7819
139,0.21875,0.00025,0.00105,0.77995
140,0.2205,0.00035,0.00095,0.7782
141,0.22295,0.00025,9e-04,0.7759
142,0.22545,0.00025,0.00075,0.77355
143,0.22815,0.00015,0.00085,0.77085
144,0.23015,0.00025,8e-04,0.7688
145,0.23275,2e-04,8e-04,0.76625
146,0.235,2e-04,0.00085,0.76395
147,0.2373,0.00025,8e-04,0.76165
148,0.23925,0.00035,6e-04,0.7598
149,0.24205,4e-04,0.00065,0.7569
150,0.244,4e-04,0.00065,0.75495
151,0.2463,0.00035,0.00075,0.7526
152,0.2479,2e-04,0.00095,0.75095
153,0.2498,0.00025,0.00085,0.7491
154,0.2517,4e-04,0.00085,0.74705
155,0.2544,3e-04,8e-04,0.7445
156,0.2566,3e-04,8e-04,0.7423
157,0.25915,2e-04,0.00095,0.7397
158,0.2616,2e-04,9e-04,0.7373
159,0.26415,3e-04,9e-04,0.73465
160,0.26675,4e-04,0.00085,0.732
161,0.26825,0.00045,0.00075,0.73055
162,0.2701,0.00045,0.00075,0.7287
163,0.2724,0.00055,6e-04,0.72645
164,0.2739,0.00045,0.00075,0.7249
165,0.2757,5e-04,7e-04,0.7231
166,0.2777,4e-04,7e-04,0.7212
167,0.27985,3e-04,0.00085,0.719
168,0.2817,0.00035,7e-04,0.71725
169,0.2836,0.00025,8e-04,0.71535
170,0.28485,0.00035,8e-04,0.714
171,0.2867,4e-04,0.00075,0.71215
172,0.2883,0.00045,0.00065,0.7106
173,0.29015,0.00055,0.00075,0.70855
174,0.29205,0.00045,0.00085,0.70665
175,0.294,0.00045,8e-04,0.70475
176,0.29555,0.00065,8e-04,0.703
177,0.29795,0.00055,0.00095,0.70055
