"t","S","E","I","R"
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.9983,0.0017,0,0
5,0.9983,0.0016,1e-04,0
6,0.99695,0.0024,0.00065,0
7,0.99695,0.00205,0.001,0
8,0.9949,0.00335,0.00165,1e-04
9,0.9949,0.00295,0.0019,0.00025
10,0.9926,0.00425,0.0027,0.00045
11,0.9926,0.00325,0.00335,8e-04
12,0.9901,0.00525,0.0037,0.00095
13,0.9901,0.00385,0.00455,0.0015
14,0.9851,0.0077,0.0053,0.0019
15,0.9851,0.00585,0.00625,0.0028
16,0.97905,0.0105,0.00675,0.0037
17,0.97905,0.00815,0.0081,0.0047
18,0.9703,0.01465,0.0096,0.00545
19,0.9703,0.01165,0.0112,0.00685
20,0.9583,0.0201,0.0132,0.0084
21,0.95835,0.01685,0.01475,0.01005
22,0.94285,0.02805,0.01665,0.01245
23,0.94285,0.0228,0.01975,0.0146
24,0.9231,0.03615,0.0234,0.01735
25,0.9231,0.02885,0.02735,0.0207
26,0.89925,0.04485,0.03185,0.02405
27,0.8993,0.0359,0.0371,0.0277
28,0.8647,0.06065,0.0419,0.03275
29,0.86475,0.048,0.04895,0.0383
30,0.82425,0.0747,0.0561,0.04495
31,0.82435,0.0578,0.0663,0.05155
32,0.7684,0.0971,0.0755,0.059
33,0.7686,0.07795,0.0861,0.06735
34,0.70395,0.12075,0.09755,0.07775
35,0.704,0.09625,0.1104,0.08935
36,0.62865,0.1456,0.1243,0.10145
37,0.62875,0.11335,0.14155,0.11635
38,0.5456,0.16655,0.15415,0.1337
39,0.54585,0.13205,0.1716,0.1505
40,0.4548,0.18675,0.18685,0.1716
41,0.4554,0.14565,0.20565,0.1933
42,0.36685,0.1934,0.22375,0.216
43,0.3673,0.15115,0.2395,0.24205
44,0.28825,0.189,0.25285,0.2699
45,0.2886,0.1463,0.26475,0.30035
46,0.2192,0.17595,0.27335,0.3315
47,0.2196,0.13485,0.2784,0.36715
48,0.16615,0.15135,0.28215,0.40035
49,0.16705,0.11545,0.28195,0.43555
50,0.1228,0.12765,0.2795,0.47005
51,0.12355,0.0982,0.2739,0.50435
52,0.0928,0.1023,0.2682,0.5367
53,0.09365,0.0782,0.2597,0.56845
54,0.07195,0.079,0.24995,0.5991
55,0.07345,0.0595,0.23655,0.6305
56,0.0575,0.0603,0.2237,0.6585
57,0.0582,0.04665,0.2091,0.68605
58,0.0486,0.0442,0.19465,0.71255
59,0.05025,0.03485,0.1793,0.7356
60,0.04365,0.03445,0.1649,0.757
61,0.0462,0.02645,0.15275,0.7746
62,0.04135,0.02585,0.14065,0.79215
63,0.04325,0.02035,0.129,0.8074
64,0.0403,0.0187,0.11715,0.82385
65,0.0427,0.0145,0.1076,0.8352
66,0.04075,0.01475,0.09615,0.84835
67,0.0436,0.0126,0.0862,0.8576
68,0.04345,0.012,0.0786,0.86595
69,0.0467,0.00955,0.07115,0.8726
70,0.0463,0.00965,0.0651,0.87895
71,0.0499,0.0077,0.0593,0.8831
72,0.0494,0.00845,0.0536,0.88855
73,0.05265,0.00715,0.0473,0.8929
74,0.054,0.0065,0.0433,0.8962
75,0.0564,0.0061,0.0383,0.8992
76,0.0574,0.00595,0.0349,0.90175
77,0.06065,0.0053,0.03055,0.9035
78,0.06195,0.0054,0.02735,0.9053
79,0.0652,0.0048,0.02565,0.90435
80,0.0669,0.0046,0.02305,0.90545
81,0.0702,0.00465,0.0208,0.90435
82,0.0716,0.00455,0.0192,0.90465
83,0.0747,0.0042,0.01775,0.90335
84,0.07635,0.0045,0.0164,0.90275
85,0.07935,0.00365,0.01565,0.90135
86,0.081,0.0039,0.014,0.9011
87,0.0849,0.00315,0.01345,0.8985
88,0.08635,0.00345,0.012,0.8982
89,0.09,0.0025,0.01105,0.89645
90,0.09155,0.0026,0.0102,0.89565
91,0.0948,0.00225,0.0093,0.89365
92,0.09615,0.0024,0.00885,0.8926
93,0.1001,0.00195,0.00775,0.8902
94,0.1024,0.0022,0.00685,0.88855
95,0.10595,0.00225,0.00635,0.88545
96,0.10815,0.00235,0.0063,0.8832
97,0.11085,0.0021,0.0058,0.88125
98,0.11295,0.00205,0.0054,0.8796
99,0.1158,0.0019,0.0052,0.8771
100,0.11825,0.00195,0.00475,0.87505
101,0.12165,0.00185,0.0044,0.8721
102,0.1239,0.0018,0.00415,0.87015
103,0.1274,0.0015,0.0041,0.867
104,0.12925,0.00135,0.0041,0.8653
105,0.1322,0.00095,0.004,0.86285
106,0.1343,0.00085,0.00375,0.8611
107,0.13755,0.00095,0.0033,0.8582
108,0.1399,0.00095,0.0032,0.85595
109,0.1426,0.001,0.00285,0.85355
110,0.14365,0.00105,0.0027,0.8526
111,0.14685,0.00085,0.0026,0.8497
112,0.14905,0.001,0.00235,0.8476
113,0.1526,0.00085,0.0023,0.84425
114,0.1547,0.00075,0.0024,0.84215
115,0.1581,8e-04,0.0021,0.839
116,0.15985,0.00075,0.0021,0.8373
117,0.16265,6e-04,0.002,0.83475
118,0.16455,0.00075,0.00185,0.83285
119,0.16725,8e-04,0.00175,0.8302
120,0.16905,0.00055,0.00195,0.82845
121,0.17185,0.00045,0.0019,0.8258
122,0.1744,0.00045,0.0016,0.82355
123,0.1774,0.00065,0.00135,0.8206
124,0.1789,6e-04,0.00135,0.81915
125,0.18215,0.00075,0.00125,0.81585
126,0.1839,8e-04,0.0011,0.8142
127,0.18675,7e-04,0.00105,0.8115
128,0.1895,7e-04,0.0012,0.8086
129,0.19255,5e-04,0.0014,0.80555
130,0.19455,3e-04,0.00145,0.8037
131,0.19705,3e-04,0.00125,0.8014
132,0.19915,0.00025,0.0012,0.7994
133,0.20225,2e-04,0.001,0.79655
134,0.20445,6e-04,8e-04,0.79415
135,0.20675,0.00045,0.00085,0.79195
136,0.20935,0.00055,9e-04,0.7892
137,0.21145,5e-04,9e-04,0.78715
138,0.214,0.00065,9e-04,0.78445
139,0.2164,0.00055,9e-04,0.78215
140,0.21795,5e-04,0.00105,0.7805
141,0.2196,0.00045,0.00115,0.7788
142,0.2216,0.00055,0.00085,0.777
143,0.224,0.00035,0.00095,0.7747
144,0.2257,0.00045,0.00075,0.7731
145,0.22825,0.00035,0.00075,0.77065
146,0.2303,0.00025,8e-04,0.76865
147,0.23285,0.00035,0.00075,0.76605
148,0.2348,0.00055,0.00065,0.764
149,0.23725,5e-04,7e-04,0.76155
150,0.2395,0.00045,0.00075,0.7593
151,0.2414,5e-04,0.00065,0.75745
152,0.24315,4e-04,7e-04,0.75575
153,0.24565,4e-04,0.00075,0.7532
154,0.24745,5e-04,7e-04,0.75135
155,0.25015,0.00035,0.00075,0.74875
156,0.25235,0.00035,8e-04,0.7465
157,0.25455,0.00025,8e-04,0.7444
158,0.257,3e-04,0.00075,0.74195
159,0.2584,4e-04,0.00065,0.74055
160,0.2601,0.00055,0.00055,0.7388
161,0.26215,4e-04,7e-04,0.73675
162,0.264,3e-04,0.00065,0.73505
163,0.26615,0.00025,7e-04,0.7329
164,0.2684,0.00025,0.00065,0.7307
165,0.27035,0.00035,0.00065,0.72865
166,0.2722,0.00025,6e-04,0.72695
167,0.27415,3e-04,0.00055,0.725
168,0.2761,0.00045,5e-04,0.72295
169,0.27845,6e-04,0.00045,0.7205
170,0.28085,0.00065,5e-04,0.718
171,0.28335,0.00055,5e-04,0.7156
172,0.28555,0.00045,0.00065,0.71335
173,0.28715,4e-04,0.00075,0.7117
174,0.28875,0.00045,8e-04,0.71
175,0.2907,0.00045,7e-04,0.70815
176,0.29265,0.00055,0.00065,0.70615
177,0.2945,0.00055,0.00075,0.7042
