"t","S","E","I","R"
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.998,0.002,0,0
5,0.998,0.0016,4e-04,0
6,0.99685,0.0023,0.00085,0
7,0.99685,0.0016,0.00145,1e-04
8,0.99575,0.0024,0.0015,0.00035
9,0.99575,0.002,0.0017,0.00055
10,0.9935,0.0037,0.0019,9e-04
11,0.99355,0.00295,0.00245,0.00105
12,0.9913,0.00445,0.00265,0.0016
13,0.99135,0.00355,0.0033,0.0018
14,0.9878,0.0063,0.0035,0.0024
15,0.9878,0.005,0.00415,0.00305
16,0.98295,0.00845,0.0053,0.0033
17,0.98295,0.00655,0.0066,0.0039
18,0.97705,0.0105,0.0078,0.00465
19,0.97705,0.0087,0.0087,0.00555
20,0.9688,0.0143,0.01035,0.00655
21,0.9688,0.0111,0.01235,0.00775
22,0.95735,0.01995,0.01355,0.00915
23,0.9574,0.01495,0.0167,0.01095
24,0.94205,0.0265,0.01875,0.0127
25,0.9421,0.02055,0.02235,0.015
26,0.9213,0.03545,0.0251,0.01815
27,0.92135,0.02835,0.03,0.0203
28,0.8931,0.04815,0.03405,0.0247
29,0.8931,0.03865,0.0399,0.02835
30,0.85755,0.06265,0.04655,0.03325
31,0.85765,0.0493,0.0548,0.03825
32,0.8133,0.07975,0.06215,0.0448
33,0.8133,0.0624,0.07145,0.05285
34,0.7557,0.10275,0.0801,0.06145
35,0.7558,0.0822,0.0908,0.0712
36,0.68375,0.13185,0.10205,0.08235
37,0.684,0.10375,0.11785,0.0944
38,0.6068,0.1502,0.1332,0.1098
39,0.6071,0.11785,0.15055,0.1245
40,0.5197,0.17135,0.16635,0.1426
41,0.5199,0.13475,0.1825,0.16285
42,0.4281,0.18735,0.1993,0.18525
43,0.42805,0.14495,0.21655,0.21045
44,0.34185,0.1895,0.2327,0.23595
45,0.342,0.1482,0.2473,0.2625
46,0.2651,0.1848,0.2577,0.2924
47,0.26535,0.1412,0.26945,0.324
48,0.1996,0.1666,0.2765,0.3573
49,0.2003,0.12965,0.27995,0.3901
50,0.1498,0.14565,0.27975,0.4248
51,0.15045,0.11235,0.27705,0.46015
52,0.1113,0.1192,0.2777,0.4918
53,0.11255,0.09105,0.2718,0.5246
54,0.0829,0.0965,0.2641,0.5565
55,0.0837,0.07405,0.2557,0.58655
56,0.06545,0.0707,0.24755,0.6163
57,0.0665,0.0529,0.23425,0.64635
58,0.053,0.05395,0.2193,0.67375
59,0.0537,0.0423,0.2037,0.7003
60,0.04575,0.0407,0.1907,0.72285
61,0.0475,0.03135,0.1765,0.74465
62,0.0419,0.0304,0.1618,0.7659
63,0.04375,0.02315,0.1482,0.7849
64,0.03915,0.0227,0.13565,0.8025
65,0.0412,0.0186,0.12335,0.81685
66,0.03875,0.01735,0.1133,0.8306
67,0.0404,0.0144,0.10125,0.84395
68,0.03885,0.01455,0.0914,0.8552
69,0.04155,0.01205,0.0822,0.8642
70,0.04095,0.01165,0.0745,0.8729
71,0.04345,0.01005,0.0669,0.8796
72,0.04335,0.0097,0.06035,0.8866
73,0.04605,0.00845,0.05425,0.89125
74,0.0459,0.0083,0.04865,0.89715
75,0.04915,0.0071,0.04415,0.8996
76,0.0497,0.0072,0.04045,0.90265
77,0.0529,0.00595,0.0367,0.90445
78,0.05395,0.0061,0.0323,0.90765
79,0.0579,0.0048,0.02965,0.90765
80,0.05905,0.0051,0.02655,0.9093
81,0.0622,0.00465,0.0236,0.90955
82,0.0636,0.0043,0.0219,0.9102
83,0.06675,0.0033,0.01985,0.9101
84,0.06795,0.00365,0.01785,0.91055
85,0.07155,0.00285,0.01655,0.90905
86,0.0734,0.0028,0.01485,0.90895
87,0.0769,0.0025,0.01335,0.90725
88,0.07875,0.00255,0.0119,0.9068
89,0.08255,0.0022,0.01085,0.9044
90,0.0849,0.0024,0.0097,0.903
91,0.0885,0.0021,0.00885,0.90055
92,0.09075,0.00215,0.00785,0.89925
93,0.09465,0.00195,0.00705,0.89635
94,0.0974,0.00185,0.0066,0.89415
95,0.10095,0.0017,0.0058,0.89155
96,0.10265,0.0015,0.0053,0.89055
97,0.10685,0.00105,0.00505,0.88705
98,0.10875,9e-04,0.0049,0.88545
99,0.1119,0.00095,0.0046,0.88255
100,0.114,9e-04,0.0044,0.8807
101,0.1174,0.0011,0.00365,0.87785
102,0.12015,0.0011,0.0035,0.87525
103,0.12345,0.001,0.0034,0.87215
104,0.12475,0.00115,0.003,0.8711
105,0.1285,9e-04,0.0027,0.8679
106,0.13055,0.001,0.00275,0.8657
107,0.1337,8e-04,0.00255,0.86295
108,0.13575,0.0012,0.0024,0.86065
109,0.1389,0.00135,0.0024,0.85735
110,0.1409,0.0014,0.0023,0.8554
111,0.14385,0.0013,0.0023,0.85255
112,0.14565,0.00115,0.0023,0.8509
113,0.1482,0.00095,0.0021,0.84875
114,0.1502,0.00115,0.00165,0.847
115,0.1532,0.00115,0.00155,0.8441
116,0.1554,9e-04,0.00185,0.84185
117,0.15845,8e-04,0.00185,0.8389
118,0.1608,0.00085,0.0018,0.83655
119,0.16395,0.00065,0.0018,0.8336
120,0.166,0.00055,0.00175,0.8317
121,0.16865,8e-04,0.00155,0.829
122,0.17125,0.00065,0.00155,0.82655
123,0.17445,5e-04,0.0017,0.82335
124,0.17655,0.00035,0.00175,0.82135
125,0.1791,0.00035,0.0016,0.81895
126,0.18105,0.00045,0.0017,0.8168
127,0.18475,0.00045,0.00155,0.81325
128,0.1867,5e-04,0.0015,0.8113
129,0.1884,0.00045,0.00135,0.8098
130,0.19075,6e-04,0.0012,0.80745
131,0.1934,0.00045,0.0013,0.80485
132,0.1956,5e-04,0.0012,0.8027
133,0.19765,5e-04,0.0012,0.80065
134,0.1995,0.00055,0.00115,0.7988
135,0.2025,6e-04,0.0011,0.7958
136,0.205,0.00065,9e-04,0.79345
137,0.20705,3e-04,0.00115,0.7915
138,0.20925,4e-04,0.0012,0.78915
139,0.21155,0.00035,0.0011,0.787
140,0.21345,0.00055,0.00105,0.78495
141,0.21615,5e-04,0.00095,0.7824
142,0.2181,0.00055,9e-04,0.78045
143,0.22075,0.00035,0.0011,0.7778
144,0.22265,0.00025,0.0013,0.7758
145,0.2248,0.00025,0.00115,0.7738
146,0.2269,2e-04,0.001,0.7719
147,0.22925,2e-04,9e-04,0.76965
148,0.23165,2e-04,8e-04,0.76735
149,0.2341,2e-04,8e-04,0.7649
150,0.23555,0.00045,8e-04,0.7632
151,0.23755,3e-04,0.00085,0.7613
152,0.23955,0.00045,0.00085,0.75915
153,0.24145,0.00045,0.00085,0.75725
154,0.24345,0.00035,0.001,0.7552
155,0.2457,0.00035,0.0011,0.75285
156,0.24745,0.00045,0.0011,0.751
157,0.2492,0.00045,0.00125,0.7491
158,0.2515,0.00045,0.0013,0.74675
159,0.2535,0.00055,0.00135,0.7446
160,0.25585,0.00035,0.0015,0.7423
161,0.2577,0.00035,0.0015,0.74045
162,0.2594,3e-04,0.00145,0.73885
163,0.2613,0.00045,0.00135,0.7369
164,0.264,0.00045,0.00125,0.7343
165,0.26575,3e-04,0.00115,0.7328
166,0.26775,0.00035,0.00105,0.73085
167,0.2696,0.00045,0.00105,0.7289
168,0.27115,7e-04,0.001,0.72715
169,0.27325,0.00065,0.00105,0.72505
170,0.2752,0.00065,0.0011,0.72305
171,0.2775,7e-04,0.001,0.7208
172,0.2795,0.00075,0.00095,0.7188
173,0.282,0.00055,0.001,0.71645
174,0.28435,5e-04,0.001,0.71415
175,0.28675,0.00045,0.0011,0.7117
176,0.2886,5e-04,0.001,0.7099
177,0.2905,6e-04,0.001,0.7079
