"t","S","E","I","R"
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.9978,0.0022,0,0
5,0.9978,0.00185,0.00035,0
6,0.997,0.00215,0.00085,0
7,0.997,0.00155,0.00135,1e-04
8,0.9956,0.00245,0.0018,0.00015
9,0.99565,0.00185,0.0023,2e-04
10,0.99335,0.00375,0.0023,6e-04
11,0.99335,0.00285,0.00295,0.00085
12,0.9903,0.0052,0.00325,0.00125
13,0.9903,0.0041,0.004,0.0016
14,0.98605,0.0069,0.0048,0.00225
15,0.98605,0.00525,0.00595,0.00275
16,0.98035,0.00955,0.0065,0.0036
17,0.98035,0.0076,0.0078,0.00425
18,0.97345,0.01225,0.00925,0.00505
19,0.97345,0.0099,0.01075,0.0059
20,0.9622,0.0186,0.01195,0.00725
21,0.9622,0.0143,0.0147,0.0088
22,0.9488,0.02275,0.0178,0.01065
23,0.9488,0.01855,0.02005,0.0126
24,0.9292,0.0331,0.0231,0.0146
25,0.9292,0.02635,0.02725,0.0172
26,0.9038,0.0439,0.0319,0.0204
27,0.9038,0.0345,0.0367,0.025
28,0.87045,0.05815,0.04165,0.02975
29,0.8705,0.0468,0.04775,0.03495
30,0.8298,0.0744,0.0554,0.0404
31,0.8299,0.05785,0.0659,0.04635
32,0.778,0.0942,0.0743,0.0535
33,0.7782,0.0739,0.0841,0.0638
34,0.7162,0.11475,0.0948,0.07425
35,0.71625,0.09105,0.1073,0.0854
36,0.64,0.14075,0.1193,0.09995
37,0.6401,0.1118,0.1343,0.1138
38,0.55565,0.1633,0.15215,0.1289
39,0.55595,0.1287,0.1687,0.14665
40,0.4683,0.18095,0.18495,0.1658
41,0.46845,0.1424,0.2023,0.18685
42,0.3798,0.19325,0.216,0.21095
43,0.38035,0.15165,0.2305,0.2375
44,0.29805,0.18845,0.24765,0.26585
45,0.2983,0.14535,0.2619,0.29445
46,0.22685,0.17855,0.2684,0.3262
47,0.2275,0.1371,0.2794,0.356
48,0.1714,0.1555,0.28335,0.38975
49,0.17145,0.12085,0.28415,0.42355
50,0.12725,0.1325,0.2804,0.45985
51,0.128,0.1018,0.27815,0.49205
52,0.0961,0.10685,0.27045,0.5266
53,0.09725,0.08,0.26255,0.5602
54,0.07465,0.08145,0.2528,0.5911
55,0.0756,0.06325,0.2402,0.62095
56,0.06035,0.0639,0.2261,0.64965
57,0.06205,0.0496,0.21465,0.6737
58,0.0513,0.0487,0.20095,0.69905
59,0.0526,0.0383,0.18695,0.72215
60,0.0457,0.0369,0.1716,0.7458
61,0.0469,0.0282,0.15885,0.76605
62,0.04105,0.02695,0.1471,0.7849
63,0.04335,0.0216,0.1348,0.80025
64,0.04,0.0214,0.12325,0.81535
65,0.04245,0.01765,0.1119,0.828
66,0.04195,0.0158,0.10205,0.8402
67,0.0443,0.01305,0.09215,0.8505
68,0.0429,0.0129,0.0836,0.8606
69,0.0449,0.01105,0.0745,0.86955
70,0.04435,0.0105,0.0663,0.87885
71,0.0468,0.00855,0.05895,0.8857
72,0.0463,0.0084,0.0533,0.892
73,0.04995,0.00645,0.04975,0.89385
74,0.0504,0.0065,0.0448,0.8983
75,0.0543,0.0054,0.0397,0.9006
76,0.055,0.0052,0.03635,0.90345
77,0.05875,0.00455,0.0327,0.904
78,0.05975,0.0041,0.03015,0.906
79,0.06265,0.0036,0.0266,0.90715
80,0.064,0.0043,0.02365,0.90805
81,0.0676,0.00395,0.02155,0.9069
82,0.06895,0.0042,0.02005,0.9068
83,0.0727,0.0038,0.01775,0.90575
84,0.0739,0.0033,0.01645,0.90635
85,0.0776,0.00305,0.0151,0.90425
86,0.0799,0.00335,0.01345,0.9033
87,0.0836,0.0029,0.01165,0.90185
88,0.08535,0.00275,0.01105,0.90085
89,0.0898,0.00255,0.01025,0.8974
90,0.0924,0.0025,0.00925,0.89585
91,0.0957,0.0023,0.00865,0.89335
92,0.09785,0.0021,0.00825,0.8918
93,0.1006,0.0022,0.0074,0.8898
94,0.10265,0.0022,0.00705,0.8881
95,0.106,0.00205,0.00675,0.8852
96,0.10815,0.0022,0.0064,0.88325
97,0.11245,0.0021,0.00605,0.8794
98,0.11375,0.0024,0.00515,0.8787
99,0.1161,0.00215,0.00475,0.877
100,0.11855,0.0019,0.0042,0.87535
101,0.1222,0.00165,0.0039,0.87225
102,0.12435,0.00135,0.0039,0.8704
103,0.12785,0.0016,0.0037,0.86685
104,0.13075,0.00155,0.0033,0.8644
105,0.13405,0.0012,0.0033,0.86145
106,0.1362,0.0014,0.0032,0.8592
107,0.1392,0.0013,0.0031,0.8564
108,0.1419,0.0011,0.00325,0.85375
109,0.14535,0.00105,0.00325,0.85035
110,0.148,0.00135,0.00295,0.8477
111,0.15055,0.0015,0.0029,0.84505
112,0.1531,0.0015,0.0026,0.8428
113,0.1553,0.0013,0.0027,0.8407
114,0.1573,0.00095,0.0028,0.83895
115,0.1602,0.001,0.00255,0.83625
116,0.16215,0.00095,0.00255,0.83435
117,0.1649,0.00095,0.00225,0.8319
118,0.1672,8e-04,0.00235,0.82965
119,0.1702,0.00085,0.00205,0.8269
120,0.1723,7e-04,0.002,0.825
121,0.1747,0.00055,0.00205,0.8227
122,0.1768,0.00065,0.00185,0.8207
123,0.17915,0.00105,0.0014,0.8184
124,0.1818,8e-04,0.00155,0.81585
125,0.18455,6e-04,0.00165,0.8132
126,0.1869,6e-04,0.0017,0.8108
127,0.19,0.00045,0.0016,0.80795
128,0.19175,0.00055,0.0015,0.8062
129,0.19445,7e-04,0.0013,0.80355
130,0.1977,6e-04,0.0013,0.8004
131,0.20045,0.00055,0.0013,0.7977
132,0.2027,0.00065,0.0012,0.79545
133,0.20515,7e-04,0.00125,0.7929
134,0.20675,0.00085,0.00115,0.79125
135,0.209,0.00075,0.0014,0.78885
136,0.2111,0.00065,0.00135,0.7869
137,0.214,4e-04,0.00155,0.78405
138,0.2159,0.00035,0.00155,0.7822
139,0.21885,5e-04,0.00135,0.7793
140,0.2202,0.00035,0.00135,0.7781
141,0.2234,3e-04,0.00135,0.77495
142,0.22505,3e-04,0.00135,0.7733
143,0.22765,0.00035,0.00125,0.77075
144,0.22945,7e-04,0.00115,0.7687
145,0.23185,6e-04,0.00105,0.7665
146,0.23385,5e-04,0.00105,0.7646
147,0.23575,0.00075,0.00105,0.76245
148,0.2376,9e-04,0.00105,0.76045
149,0.23985,8e-04,0.00085,0.7585
150,0.24165,0.00075,0.0011,0.7565
151,0.24405,0.00075,0.0011,0.7541
152,0.2467,0.00085,0.0011,0.75135
153,0.24865,8e-04,0.0011,0.74945
154,0.25085,8e-04,0.00105,0.7473
155,0.25275,0.00085,0.00095,0.74545
156,0.25415,0.00095,9e-04,0.744
157,0.2562,0.00085,9e-04,0.74205
158,0.258,9e-04,0.00095,0.74015
159,0.26055,8e-04,0.00095,0.7377
160,0.2618,0.00075,0.00105,0.7364
161,0.2638,0.00075,0.0011,0.73435
162,0.26485,7e-04,0.0013,0.73315
163,0.26705,0.00075,0.00105,0.73115
164,0.26965,0.00055,0.0012,0.7286
165,0.27235,0.00055,0.00125,0.72585
166,0.2745,0.00075,0.00135,0.7234
167,0.27635,0.00065,0.0015,0.7215
168,0.27785,7e-04,0.00135,0.7201
169,0.28015,6e-04,0.0013,0.71795
170,0.28115,0.00085,0.0013,0.7167
171,0.2833,9e-04,0.0013,0.7145
172,0.2854,0.00055,0.00155,0.7125
173,0.2875,7e-04,0.00145,0.71035
174,0.2895,8e-04,0.00145,0.70825
175,0.29145,0.00065,0.00145,0.70645
176,0.2934,0.00055,0.00155,0.7045
177,0.2958,0.00065,0.00155,0.702
