"t","S","E","I","R"
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.99765,0.00235,0,0
5,0.99765,0.0019,0.00045,0
6,0.99615,0.00295,9e-04,0
7,0.99615,0.00225,0.0015,1e-04
8,0.9943,0.00345,0.0021,0.00015
9,0.9943,0.0026,0.00265,0.00045
10,0.99215,0.0042,0.00295,7e-04
11,0.99215,0.00335,0.00365,0.00085
12,0.98835,0.0063,0.00405,0.0013
13,0.98835,0.0052,0.0043,0.00215
14,0.98415,0.00765,0.00525,0.00295
15,0.98415,0.00615,0.0063,0.0034
16,0.97835,0.01045,0.00715,0.00405
17,0.97835,0.00805,0.00855,0.00505
18,0.9702,0.0142,0.00985,0.00575
19,0.9703,0.0113,0.01165,0.00675
20,0.95865,0.01945,0.0139,0.008
21,0.95865,0.0155,0.0164,0.00945
22,0.94455,0.0252,0.0197,0.01055
23,0.94465,0.02015,0.02275,0.01245
24,0.9207,0.0379,0.0259,0.0155
25,0.92065,0.02975,0.03105,0.01855
26,0.89245,0.04935,0.03555,0.02265
27,0.89255,0.0386,0.04215,0.0267
28,0.85685,0.0636,0.0481,0.03145
29,0.857,0.04985,0.05645,0.0367
30,0.80945,0.08365,0.0642,0.0427
31,0.8096,0.0666,0.0728,0.051
32,0.75105,0.1059,0.0834,0.05965
33,0.7511,0.08265,0.0969,0.06935
34,0.67795,0.1315,0.11015,0.0804
35,0.67805,0.1039,0.12525,0.0928
36,0.59455,0.15915,0.13815,0.10815
37,0.5946,0.12555,0.1553,0.12455
38,0.50665,0.17885,0.1734,0.1411
39,0.5068,0.14085,0.1894,0.16295
40,0.41415,0.19485,0.20635,0.18465
41,0.41465,0.1528,0.222,0.21055
42,0.3303,0.19465,0.2383,0.23675
43,0.33065,0.1498,0.25485,0.2647
44,0.25405,0.18355,0.26715,0.29525
45,0.2547,0.14025,0.276,0.32905
46,0.19105,0.1626,0.2857,0.36065
47,0.19125,0.12485,0.2895,0.3944
48,0.1407,0.14045,0.28895,0.4299
49,0.14125,0.10655,0.28965,0.46255
50,0.104,0.1144,0.2823,0.4993
51,0.10495,0.08705,0.27345,0.53455
52,0.08035,0.08645,0.2662,0.567
53,0.0811,0.06655,0.25455,0.5978
54,0.06135,0.0684,0.2414,0.62885
55,0.06255,0.0523,0.22655,0.6586
56,0.05085,0.05175,0.2097,0.6877
57,0.05245,0.0389,0.19625,0.7124
58,0.0452,0.0373,0.18005,0.73745
59,0.04705,0.02755,0.16845,0.75695
60,0.042,0.0272,0.15475,0.77605
61,0.04345,0.02055,0.1444,0.7916
62,0.03955,0.02045,0.13275,0.80725
63,0.04215,0.01565,0.12005,0.82215
64,0.03935,0.01635,0.1057,0.8386
65,0.0419,0.0137,0.09445,0.84995
66,0.04025,0.01355,0.0864,0.8598
67,0.043,0.0111,0.0789,0.867
68,0.04205,0.0112,0.07215,0.8746
69,0.0448,0.0094,0.0654,0.8804
70,0.04445,0.0102,0.0585,0.88685
71,0.0483,0.00785,0.05225,0.8916
72,0.04925,0.00805,0.04715,0.89555
73,0.0524,0.00665,0.04305,0.8979
74,0.05285,0.00665,0.03975,0.90075
75,0.056,0.0064,0.03505,0.90255
76,0.05625,0.0066,0.0315,0.90565
77,0.0597,0.0049,0.03,0.9054
78,0.06115,0.0047,0.0273,0.90685
79,0.0641,0.00375,0.02525,0.9069
80,0.0657,0.00385,0.0226,0.90785
81,0.0675,0.0036,0.01965,0.90925
82,0.069,0.0042,0.0176,0.9092
83,0.07195,0.0033,0.01605,0.9087
84,0.07365,0.003,0.0148,0.90855
85,0.07715,0.00275,0.0133,0.9068
86,0.0793,0.0032,0.0125,0.905
87,0.0819,0.00305,0.01135,0.9037
88,0.08335,0.0034,0.0103,0.90295
89,0.08675,0.00285,0.00955,0.90085
90,0.08875,0.00285,0.009,0.8994
91,0.09225,0.0022,0.0087,0.89685
92,0.09395,0.00185,0.00815,0.89605
93,0.09695,0.0015,0.00785,0.8937
94,0.09845,0.002,0.0067,0.89285
95,0.10245,0.00165,0.00645,0.88945
96,0.10485,0.0016,0.0058,0.88775
97,0.10805,0.00135,0.0055,0.8851
98,0.11,0.00125,0.0052,0.88355
99,0.1131,0.00125,0.005,0.88065
100,0.1154,0.0012,0.0044,0.879
101,0.1189,0.00105,0.004,0.87605
102,0.12095,0.0011,0.0038,0.87415
103,0.124,0.00105,0.00335,0.8716
104,0.12565,0.0011,0.00335,0.8699
105,0.1284,9e-04,0.00325,0.86745
106,0.1311,8e-04,0.00285,0.86525
107,0.13405,7e-04,0.0028,0.86245
108,0.13655,0.00085,0.00215,0.86045
109,0.14025,7e-04,0.0021,0.85695
110,0.14205,0.0011,0.0019,0.85495
111,0.145,0.00085,0.002,0.85215
112,0.14705,0.00075,0.0018,0.8504
113,0.1502,6e-04,0.00175,0.84745
114,0.1523,0.00065,0.00145,0.8456
115,0.15535,0.00075,0.0013,0.8426
116,0.15765,0.00055,0.00125,0.84055
117,0.1608,0.00055,0.0014,0.83725
118,0.16295,5e-04,0.00115,0.8354
119,0.1656,5e-04,0.00095,0.83295
120,0.1679,0.00045,0.0011,0.83055
121,0.1713,4e-04,0.0011,0.8272
122,0.17375,5e-04,0.001,0.82475
123,0.17695,0.00035,0.00105,0.82165
124,0.17905,0.00045,9e-04,0.8196
125,0.1825,0.00045,0.00095,0.8161
126,0.18455,0.00035,0.001,0.8141
127,0.18705,4e-04,0.00095,0.8116
128,0.1895,0.00035,0.00105,0.8091
129,0.19225,3e-04,0.00095,0.8065
130,0.1946,0.00015,0.001,0.80425
131,0.19695,0.00015,0.001,0.8019
132,0.1989,0.00025,0.00085,0.8
133,0.20155,2e-04,7e-04,0.79755
134,0.2034,3e-04,0.00055,0.79575
135,0.206,0.00025,0.00055,0.7932
136,0.2084,0.00015,6e-04,0.79085
137,0.21075,0.00015,6e-04,0.7885
138,0.2128,2e-04,0.00055,0.78645
139,0.21525,0.00035,5e-04,0.7839
140,0.2173,4e-04,5e-04,0.7818
141,0.22005,4e-04,0.00055,0.779
142,0.2223,4e-04,0.00065,0.77665
143,0.22475,0.00035,0.00055,0.77435
144,0.2272,0.00025,5e-04,0.77205
145,0.2294,3e-04,0.00045,0.76985
146,0.2312,5e-04,0.00045,0.76785
147,0.23395,0.00045,4e-04,0.7652
148,0.2358,0.00045,4e-04,0.76335
149,0.2379,5e-04,0.00045,0.76115
150,0.2403,5e-04,0.00035,0.75885
151,0.2422,5e-04,0.00035,0.75695
152,0.24405,3e-04,5e-04,0.75515
153,0.24605,2e-04,0.00055,0.7532
154,0.2487,2e-04,0.00055,0.75055
155,0.2507,0.00015,0.00065,0.7485
156,0.25205,0.00035,6e-04,0.747
157,0.2543,3e-04,6e-04,0.7448
158,0.2561,4e-04,0.00045,0.74305
159,0.2587,4e-04,6e-04,0.7403
160,0.2612,4e-04,0.00065,0.73775
161,0.26295,3e-04,0.00085,0.7359
162,0.2653,2e-04,0.001,0.7335
163,0.2674,2e-04,0.00075,0.73165
164,0.2689,0.00015,8e-04,0.73015
165,0.2714,0.00015,7e-04,0.72775
166,0.2732,2e-04,7e-04,0.7259
167,0.2754,2e-04,0.00075,0.72365
168,0.2772,0.00015,0.00065,0.722
169,0.27895,0.00015,0.00065,0.72025
170,0.28045,2e-04,7e-04,0.71865
171,0.2828,2e-04,0.00055,0.71645
172,0.28445,0.00035,0.00055,0.71465
173,0.28635,3e-04,0.00065,0.7127
174,0.2884,3e-04,6e-04,0.7107
175,0.2902,3e-04,0.00055,0.70895
176,0.2924,0.00025,0.00065,0.7067
177,0.2938,0.00035,0.00065,0.7052
