"t","S","E","I","R"
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.9979,0.0021,0,0
5,0.9979,0.0019,2e-04,0
6,0.997,0.002,0.001,0
7,0.997,0.0015,0.00135,0.00015
8,0.99495,0.00315,0.00165,0.00025
9,0.99495,0.00245,0.00215,0.00045
10,0.99255,0.00425,0.0025,7e-04
11,0.99255,0.0034,0.00305,0.001
12,0.98925,0.0057,0.00375,0.0013
13,0.98925,0.0043,0.0046,0.00185
14,0.985,0.00745,0.0055,0.00205
15,0.985,0.0056,0.00695,0.00245
16,0.97955,0.00945,0.00795,0.00305
17,0.97955,0.0072,0.0092,0.00405
18,0.97165,0.0131,0.0105,0.00475
19,0.97165,0.0107,0.0116,0.00605
20,0.95985,0.01955,0.01285,0.00775
21,0.95985,0.01555,0.01535,0.00925
22,0.9453,0.0256,0.01825,0.01085
23,0.9454,0.0196,0.0222,0.0128
24,0.9235,0.0358,0.02475,0.01595
25,0.92355,0.0281,0.02935,0.019
26,0.8966,0.0472,0.03425,0.02195
27,0.89675,0.0372,0.0401,0.02595
28,0.86175,0.062,0.04675,0.0295
29,0.8618,0.04945,0.05325,0.0355
30,0.81565,0.0808,0.06275,0.0408
31,0.8157,0.06405,0.0725,0.04775
32,0.7584,0.1031,0.0827,0.0558
33,0.7586,0.08315,0.09345,0.0648
34,0.68885,0.1297,0.1055,0.07595
35,0.68905,0.1032,0.1197,0.08805
36,0.60645,0.15585,0.13475,0.10295
37,0.60655,0.12085,0.15405,0.11855
38,0.51685,0.17845,0.1671,0.1376
39,0.517,0.1412,0.18565,0.15615
40,0.4224,0.19795,0.202,0.17765
41,0.42275,0.1556,0.22225,0.1994
42,0.33505,0.201,0.2371,0.22685
43,0.3356,0.15735,0.2513,0.25575
44,0.2563,0.19265,0.26375,0.2873
45,0.2571,0.14935,0.2757,0.31785
46,0.1939,0.17245,0.2824,0.35125
47,0.19435,0.1317,0.29015,0.3838
48,0.1424,0.1475,0.2915,0.4186
49,0.1427,0.1134,0.28935,0.45455
50,0.1037,0.123,0.28415,0.48915
51,0.10475,0.0937,0.27815,0.5234
52,0.0793,0.09465,0.26895,0.5571
53,0.08055,0.07155,0.2593,0.5886
54,0.06275,0.06945,0.24825,0.61955
55,0.06335,0.05395,0.23365,0.64905
56,0.0517,0.0522,0.2171,0.679
57,0.0536,0.0402,0.1983,0.7079
58,0.0448,0.0395,0.1836,0.7321
59,0.04685,0.0296,0.1703,0.75325
60,0.0416,0.02855,0.1572,0.77265
61,0.04265,0.0223,0.14415,0.7909
62,0.03945,0.0216,0.12945,0.8095
63,0.04155,0.0174,0.1185,0.82255
64,0.03985,0.0166,0.10835,0.8352
65,0.0422,0.01265,0.10115,0.844
66,0.04025,0.0129,0.0923,0.85455
67,0.04235,0.01115,0.08395,0.86255
68,0.041,0.0118,0.07545,0.87175
69,0.0437,0.0098,0.0683,0.8782
70,0.04355,0.01005,0.06185,0.88455
71,0.046,0.0086,0.05565,0.88975
72,0.04585,0.0084,0.05005,0.8957
73,0.04925,0.0067,0.04535,0.8987
74,0.0504,0.00645,0.0411,0.90205
75,0.0534,0.0054,0.03735,0.90385
76,0.0543,0.0053,0.0335,0.9069
77,0.0582,0.0044,0.03025,0.90715
78,0.06005,0.00445,0.0273,0.9082
79,0.06385,0.0042,0.0241,0.90785
80,0.0651,0.00425,0.02135,0.9093
81,0.06865,0.004,0.0193,0.90805
82,0.0698,0.0043,0.01795,0.90795
83,0.0736,0.0035,0.01675,0.90615
84,0.07485,0.00385,0.01555,0.90575
85,0.07865,0.00335,0.0137,0.9043
86,0.0811,0.00285,0.013,0.90305
87,0.0832,0.00285,0.01165,0.9023
88,0.0854,0.003,0.01055,0.90105
89,0.08835,0.0025,0.0099,0.89925
90,0.08995,0.00295,0.0093,0.8978
91,0.09285,0.00285,0.0088,0.8955
92,0.09485,0.0022,0.0086,0.89435
93,0.09775,0.00215,0.00805,0.89205
94,0.10005,0.0022,0.0068,0.89095
95,0.10395,0.002,0.0064,0.88765
96,0.1065,0.0015,0.00635,0.88565
97,0.1094,0.0012,0.00595,0.88345
98,0.11185,0.0013,0.0055,0.88135
99,0.1152,0.0012,0.0052,0.8784
100,0.1175,0.00135,0.00455,0.8766
101,0.12075,0.0011,0.00435,0.8738
102,0.12275,0.00105,0.00415,0.87205
103,0.1251,0.00115,0.0038,0.86995
104,0.12695,7e-04,0.00355,0.8688
105,0.13025,8e-04,0.0031,0.86585
106,0.1325,8e-04,0.00295,0.86375
107,0.13515,8e-04,0.0027,0.86135
108,0.13715,0.00085,0.00265,0.85935
109,0.1408,9e-04,0.00235,0.85595
110,0.14275,0.00085,0.00235,0.85405
111,0.1452,7e-04,0.0021,0.852
112,0.14765,0.00085,0.0017,0.8498
113,0.15085,0.00085,0.0015,0.8468
114,0.15305,7e-04,0.00175,0.8445
115,0.15625,0.00065,0.0015,0.8416
116,0.15875,0.00085,0.0015,0.8389
117,0.16115,8e-04,0.0016,0.83645
118,0.16355,0.00055,0.00165,0.83425
119,0.166,5e-04,0.00155,0.83195
120,0.1679,5e-04,0.0013,0.8303
121,0.17035,5e-04,0.0011,0.82805
122,0.17315,5e-04,0.00105,0.8253
123,0.17595,3e-04,0.00105,0.8227
124,0.17785,3e-04,0.00095,0.8209
125,0.1811,0.00025,8e-04,0.81785
126,0.18305,0.00025,0.00085,0.81585
127,0.18595,0.00015,0.00075,0.81315
128,0.18785,1e-04,7e-04,0.81135
129,0.19025,1e-04,6e-04,0.80905
130,0.19245,1e-04,5e-04,0.80695
131,0.1956,0,6e-04,0.8038
132,0.1976,0,5e-04,0.8019
133,0.20025,5e-05,4e-04,0.7993
134,0.2023,1e-04,3e-04,0.7973
135,0.2051,1e-04,2e-04,0.7946
136,0.20745,1e-04,2e-04,0.79225
137,0.21035,1e-04,0.00015,0.7894
138,0.2123,0.00015,1e-04,0.78745
139,0.21465,0.00015,1e-04,0.7851
140,0.21665,0.00015,0.00015,0.78305
141,0.21875,5e-05,2e-04,0.781
142,0.22045,0,2e-04,0.77935
143,0.22305,0,2e-04,0.77675
144,0.22565,0,0.00015,0.7742
145,0.2275,5e-05,0.00015,0.7723
146,0.2303,0,2e-04,0.7695
147,0.23255,0,2e-04,0.76725
148,0.23535,0,0.00015,0.7645
149,0.23755,0,0.00015,0.7623
150,0.2398,0,1e-04,0.7601
151,0.24195,0,1e-04,0.75795
152,0.2441,0,1e-04,0.7558
153,0.24605,0,1e-04,0.75385
154,0.248,0,5e-05,0.75195
155,0.24985,0,5e-05,0.7501
156,0.2515,0,5e-05,0.74845
157,0.25395,0,5e-05,0.746
158,0.2557,5e-05,5e-05,0.7442
159,0.25835,5e-05,5e-05,0.74155
160,0.2605,0,1e-04,0.7394
161,0.2629,5e-05,1e-04,0.73695
162,0.26495,5e-05,5e-05,0.73495
163,0.26725,5e-05,5e-05,0.73265
164,0.2696,0,1e-04,0.7303
165,0.27155,0,1e-04,0.72835
166,0.2738,5e-05,5e-05,0.7261
167,0.27565,5e-05,5e-05,0.72425
168,0.2771,0,1e-04,0.7228
169,0.2796,0,1e-04,0.7203
170,0.2819,0,1e-04,0.718
171,0.2839,0,1e-04,0.716
172,0.28555,0,1e-04,0.71435
173,0.2882,0,5e-05,0.71175
174,0.29035,0,5e-05,0.7096
175,0.2922,0,5e-05,0.70775
176,0.2943,0,5e-05,0.70565
177,0.29605,0,5e-05,0.7039
178,0.29765,0,5e-05,0.7023
179,0.2992,0,5e-05,0.70075
180,0.30145,0,5e-05,0.6985
181,0.30305,0,5e-05,0.6969
