"t","S","E","I","R"
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.99795,0.00205,0,0
5,0.99795,0.0017,0.00035,0
6,0.99715,0.0019,0.00085,1e-04
7,0.99715,0.0014,0.00125,2e-04
8,0.9955,0.00255,0.00165,3e-04
9,0.9955,0.00215,0.0017,0.00065
10,0.9934,0.00365,0.0021,0.00085
11,0.9934,0.00295,0.0026,0.00105
12,0.99,0.00515,0.00365,0.0012
13,0.99,0.0041,0.00445,0.00145
14,0.98545,0.0075,0.0049,0.00215
15,0.98545,0.00625,0.0056,0.0027
16,0.97945,0.0104,0.00695,0.0032
17,0.97945,0.00865,0.0076,0.0043
18,0.971,0.01445,0.0096,0.00495
19,0.97105,0.0118,0.0115,0.00565
20,0.9598,0.01995,0.0128,0.00745
21,0.95985,0.0163,0.01475,0.0091
22,0.94465,0.02625,0.01835,0.01075
23,0.9447,0.0211,0.0213,0.0129
24,0.9235,0.0365,0.02385,0.01615
25,0.9235,0.0282,0.02965,0.01865
26,0.89785,0.04435,0.0353,0.0225
27,0.8979,0.03545,0.0393,0.02735
28,0.8622,0.0609,0.04455,0.03235
29,0.8622,0.0485,0.0526,0.0367
30,0.81725,0.08035,0.0599,0.0425
31,0.8173,0.06435,0.06895,0.0494
32,0.7609,0.1022,0.0799,0.057
33,0.76105,0.08105,0.0918,0.0661
34,0.69455,0.1236,0.1039,0.07795
35,0.69475,0.09645,0.11915,0.08965
36,0.61735,0.1444,0.135,0.10325
37,0.6175,0.11275,0.1502,0.11955
38,0.5287,0.1689,0.165,0.1374
39,0.52895,0.13415,0.1791,0.1578
40,0.43375,0.1908,0.1974,0.17805
41,0.4341,0.1507,0.2132,0.202
42,0.3464,0.19785,0.2276,0.22815
43,0.3469,0.15485,0.2424,0.25585
44,0.2674,0.1912,0.25625,0.28515
45,0.26805,0.14505,0.27245,0.31445
46,0.2019,0.16875,0.28235,0.347
47,0.20245,0.1286,0.2879,0.38105
48,0.1489,0.1472,0.28845,0.41545
49,0.1495,0.1131,0.2873,0.4501
50,0.11005,0.1226,0.283,0.48435
51,0.1106,0.09265,0.27745,0.5193
52,0.0824,0.09545,0.26535,0.5568
53,0.08395,0.0724,0.25745,0.5862
54,0.06425,0.0718,0.24775,0.6162
55,0.06595,0.05625,0.23395,0.64385
56,0.0534,0.05525,0.21925,0.6721
57,0.0547,0.04345,0.2018,0.70005
58,0.04555,0.04225,0.1884,0.7238
59,0.0478,0.0332,0.17445,0.74455
60,0.0416,0.03195,0.16105,0.7654
61,0.0442,0.0253,0.1468,0.7837
62,0.0396,0.0247,0.1346,0.8011
63,0.04135,0.01895,0.1225,0.8172
64,0.0387,0.0179,0.112,0.8314
65,0.0411,0.01415,0.10115,0.8436
66,0.04,0.0134,0.09385,0.85275
67,0.04275,0.01025,0.08485,0.86215
68,0.04225,0.0095,0.07645,0.8718
69,0.0449,0.00745,0.0695,0.87815
70,0.0449,0.00775,0.06115,0.8862
71,0.04795,0.0067,0.0551,0.89025
72,0.04785,0.00695,0.04815,0.89705
73,0.05065,0.0068,0.04325,0.8993
74,0.0513,0.00685,0.03935,0.9025
75,0.0546,0.0061,0.03615,0.90315
76,0.05525,0.00615,0.03375,0.90485
77,0.05915,0.0052,0.03065,0.905
78,0.06015,0.00455,0.0277,0.9076
79,0.06365,0.00385,0.0253,0.9072
80,0.064,0.00455,0.02255,0.9089
81,0.06805,0.00365,0.0206,0.9077
82,0.07,0.0033,0.0192,0.9075
83,0.0739,0.00275,0.0171,0.90625
84,0.07555,0.0029,0.0154,0.90615
85,0.07895,0.0026,0.0138,0.90465
86,0.08075,0.0031,0.01275,0.9034
87,0.0845,0.0022,0.0123,0.901
88,0.08605,0.00205,0.01135,0.90055
89,0.0894,0.002,0.01015,0.89845
90,0.09135,0.0021,0.0091,0.89745
91,0.09455,0.00215,0.00815,0.89515
92,0.0964,0.00205,0.00725,0.8943
93,0.1005,0.0017,0.00685,0.89095
94,0.10295,0.0015,0.00665,0.8889
95,0.1064,0.0016,0.00585,0.88615
96,0.1082,0.0015,0.00515,0.88515
97,0.11155,0.0015,0.00475,0.8822
98,0.11425,0.0015,0.0042,0.88005
99,0.1175,0.0013,0.004,0.8772
100,0.11945,0.0012,0.0038,0.87555
101,0.12275,0.00105,0.00365,0.87255
102,0.1251,0.0012,0.0035,0.8702
103,0.12835,0.00095,0.00345,0.86725
104,0.13065,0.00105,0.0032,0.8651
105,0.1333,0.00115,0.0031,0.86245
106,0.136,0.00095,0.0031,0.85995
107,0.13925,0.0011,0.00285,0.8568
108,0.1409,0.00095,0.00275,0.8554
109,0.14385,0.00085,0.00285,0.85245
110,0.14585,9e-04,0.0028,0.85045
111,0.14885,8e-04,0.00255,0.8478
112,0.1502,8e-04,0.00215,0.84685
113,0.1528,7e-04,0.00205,0.84445
114,0.1547,9e-04,0.00185,0.84255
115,0.1581,7e-04,0.00185,0.83935
116,0.16035,0.00065,0.00165,0.83735
117,0.16245,5e-04,0.00185,0.8352
118,0.1651,0.00055,0.0015,0.83285
119,0.16775,0.00055,0.00145,0.83025
120,0.1696,0.00055,0.0014,0.82845
121,0.1726,0.00045,0.0012,0.82575
122,0.175,0.00045,0.0011,0.82345
123,0.1784,4e-04,0.00095,0.82025
124,0.18075,0.00045,9e-04,0.8179
125,0.18375,4e-04,0.001,0.81485
126,0.1857,3e-04,0.001,0.813
127,0.1875,0.00035,9e-04,0.81125
128,0.1894,6e-04,0.00085,0.80915
129,0.19205,6e-04,7e-04,0.80665
130,0.19365,0.00055,0.00075,0.80505
131,0.19695,0.00055,7e-04,0.8018
132,0.1998,0.00045,7e-04,0.79905
133,0.20315,3e-04,9e-04,0.79565
134,0.20505,5e-04,8e-04,0.79365
135,0.20785,4e-04,9e-04,0.79085
136,0.21,0.00035,0.001,0.78865
137,0.212,3e-04,0.00085,0.78685
138,0.21415,0.00025,7e-04,0.7849
139,0.21655,2e-04,7e-04,0.78255
140,0.219,3e-04,6e-04,0.7801
141,0.2209,4e-04,6e-04,0.7781
142,0.22275,0.00035,0.00045,0.77645
143,0.2253,3e-04,5e-04,0.7739
144,0.22755,0.00035,5e-04,0.7716
145,0.22965,0.00035,0.00055,0.76945
146,0.23175,4e-04,0.00065,0.7672
147,0.2338,0.00045,5e-04,0.76525
148,0.2357,5e-04,4e-04,0.7634
149,0.23815,0.00045,5e-04,0.7609
150,0.24035,0.00045,0.00045,0.75875
151,0.24285,3e-04,0.00055,0.7563
152,0.2447,3e-04,0.00055,0.75445
153,0.24625,0.00035,0.00055,0.75285
154,0.2479,4e-04,0.00065,0.75105
155,0.25,3e-04,0.00085,0.74885
156,0.2519,1e-04,0.00095,0.74705
157,0.2537,3e-04,0.00085,0.74515
158,0.25545,4e-04,0.00085,0.7433
159,0.25795,0.00035,7e-04,0.741
160,0.2592,7e-04,5e-04,0.7396
161,0.26105,0.00065,0.00045,0.73785
162,0.26275,5e-04,0.00055,0.7362
163,0.2649,0.00055,5e-04,0.73405
164,0.26655,4e-04,7e-04,0.73235
165,0.26875,4e-04,0.00075,0.7301
166,0.27095,4e-04,0.00075,0.7279
167,0.27305,0.00035,0.00075,0.72585
168,0.2745,0.00035,0.00065,0.7245
169,0.27755,0.00035,6e-04,0.7215
170,0.27995,0.00025,7e-04,0.7191
171,0.28205,0.00045,0.00075,0.71675
172,0.2841,0.00055,0.00075,0.7146
173,0.2857,0.00055,7e-04,0.71305
174,0.2877,6e-04,6e-04,0.7111
175,0.2895,0.00045,6e-04,0.70945
176,0.2915,0.00045,0.00065,0.7074
177,0.2936,0.00045,6e-04,0.70535
