"t","S","E","I","R"
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.99805,0.00195,0,0
5,0.99805,0.00175,2e-04,0
6,0.99705,0.0019,0.00105,0
7,0.99705,0.00165,0.0013,0
8,0.99515,0.0031,0.00145,3e-04
9,0.99515,0.0025,0.00175,6e-04
10,0.9935,0.00355,0.00225,7e-04
11,0.9935,0.00255,0.00305,9e-04
12,0.99,0.00515,0.00385,0.001
13,0.99,0.0043,0.00425,0.00145
14,0.9859,0.00725,0.0047,0.00215
15,0.9859,0.00575,0.0057,0.00265
16,0.981,0.009,0.0068,0.0032
17,0.981,0.00745,0.0077,0.00385
18,0.97275,0.01375,0.00895,0.00455
19,0.97275,0.01045,0.01125,0.00555
20,0.963,0.01675,0.01355,0.0067
21,0.96305,0.01365,0.01545,0.00785
22,0.9466,0.02655,0.0171,0.00975
23,0.9466,0.02105,0.02035,0.012
24,0.92695,0.0357,0.02335,0.014
25,0.92695,0.0273,0.02895,0.0168
26,0.90035,0.0452,0.0351,0.01935
27,0.9004,0.03555,0.0412,0.02285
28,0.8613,0.0657,0.0454,0.0276
29,0.8613,0.052,0.05355,0.03315
30,0.819,0.0805,0.06005,0.04045
31,0.8192,0.0627,0.0703,0.0478
32,0.76,0.10535,0.0773,0.05735
33,0.76005,0.0814,0.09235,0.0662
34,0.6948,0.123,0.1056,0.0766
35,0.6949,0.09575,0.12085,0.0885
36,0.6111,0.15455,0.1312,0.10315
37,0.61115,0.1212,0.1487,0.11895
38,0.5228,0.177,0.16475,0.13545
39,0.5228,0.1368,0.18655,0.15385
40,0.43065,0.1894,0.20405,0.1759
41,0.43065,0.1482,0.2205,0.20065
42,0.34095,0.1943,0.2364,0.22835
43,0.341,0.15185,0.25135,0.2558
44,0.26245,0.1911,0.25855,0.2879
45,0.2626,0.14685,0.27145,0.3191
46,0.19715,0.16965,0.28195,0.35125
47,0.1976,0.12895,0.28875,0.3847
48,0.14545,0.14775,0.28805,0.41875
49,0.1462,0.11415,0.28675,0.4529
50,0.1081,0.1203,0.28425,0.48735
51,0.1085,0.09305,0.2765,0.52195
52,0.0804,0.096,0.26715,0.55645
53,0.08155,0.0734,0.25455,0.5905
54,0.06235,0.07135,0.24675,0.61955
55,0.06295,0.05605,0.23055,0.65045
56,0.0498,0.05505,0.21585,0.6793
57,0.0509,0.0421,0.2016,0.7054
58,0.043,0.04015,0.18555,0.7313
59,0.04485,0.03115,0.1708,0.7532
60,0.0401,0.02845,0.15715,0.7743
61,0.04235,0.0224,0.14245,0.7928
62,0.03915,0.0218,0.1291,0.80995
63,0.04175,0.0173,0.11775,0.8232
64,0.03895,0.01725,0.10955,0.83425
65,0.04105,0.01375,0.0977,0.8475
66,0.03975,0.01415,0.0875,0.8586
67,0.0429,0.01145,0.0805,0.86515
68,0.0411,0.0118,0.0731,0.874
69,0.0435,0.00975,0.06575,0.881
70,0.0438,0.00935,0.05955,0.8873
71,0.04575,0.00715,0.0537,0.8934
72,0.0469,0.00715,0.04865,0.8973
73,0.04945,0.00615,0.04385,0.90055
74,0.0507,0.006,0.03865,0.90465
75,0.05395,0.00465,0.03565,0.90575
76,0.0551,0.0047,0.0321,0.9081
77,0.05805,0.0043,0.02935,0.9083
78,0.05965,0.004,0.0257,0.91065
79,0.0628,0.00325,0.02325,0.9107
80,0.0651,0.0035,0.0212,0.9102
81,0.06865,0.00315,0.0194,0.9088
82,0.06955,0.00345,0.01795,0.90905
83,0.07325,0.0034,0.01615,0.9072
84,0.07505,0.00325,0.01465,0.90705
85,0.0783,0.00305,0.0134,0.90525
86,0.0801,0.003,0.01315,0.90375
87,0.0842,0.00235,0.012,0.90145
88,0.08605,0.00235,0.0108,0.9008
89,0.0895,0.00215,0.01025,0.8981
90,0.09195,0.00215,0.0092,0.8967
91,0.0951,0.00225,0.0086,0.89405
92,0.0969,0.0026,0.0076,0.8929
93,0.0997,0.0024,0.00705,0.89085
94,0.10145,0.00245,0.00665,0.88945
95,0.10455,0.00235,0.00645,0.88665
96,0.10675,0.002,0.00645,0.8848
97,0.1097,0.0017,0.0059,0.8827
98,0.11205,0.00165,0.00585,0.88045
99,0.1152,0.0015,0.00565,0.87765
100,0.1176,0.0014,0.00565,0.87535
101,0.12045,0.0012,0.00505,0.8733
102,0.1222,0.00135,0.00475,0.8717
103,0.1258,9e-04,0.0044,0.8689
104,0.1276,0.00115,0.00385,0.8674
105,0.13,0.00105,0.00365,0.8653
106,0.13235,0.0011,0.0035,0.86305
107,0.1356,0.001,0.0032,0.8602
108,0.1386,0.0012,0.0025,0.8577
109,0.142,0.00125,0.0022,0.85455
110,0.14405,9e-04,0.0023,0.85275
111,0.14665,0.00105,0.00205,0.85025
112,0.14855,0.00125,0.002,0.8482
113,0.152,0.00115,0.00205,0.8448
114,0.1545,0.00095,0.00235,0.8422
115,0.157,0.00095,0.0024,0.83965
116,0.1592,0.001,0.00205,0.83775
117,0.162,7e-04,0.00225,0.83505
118,0.16425,0.00065,0.0022,0.8329
119,0.16735,6e-04,0.002,0.83005
120,0.16935,0.00055,0.002,0.8281
121,0.1727,6e-04,0.00195,0.82475
122,0.17525,0.00085,0.00185,0.82205
123,0.17845,5e-04,0.00205,0.819
124,0.1799,7e-04,0.00215,0.81725
125,0.1827,7e-04,0.002,0.8146
126,0.18485,8e-04,0.00195,0.8124
127,0.187,9e-04,0.0018,0.8103
128,0.18875,0.0011,0.0018,0.80835
129,0.19105,9e-04,0.00205,0.806
130,0.193,7e-04,0.002,0.8043
131,0.19585,0.00055,0.00195,0.80165
132,0.1985,0.00065,0.00175,0.7991
133,0.20105,7e-04,0.0015,0.79675
134,0.2028,8e-04,0.0014,0.795
135,0.2049,0.00095,0.0013,0.79285
136,0.2069,0.00075,0.00155,0.7908
137,0.2091,8e-04,0.0016,0.7885
138,0.2113,0.00085,0.0017,0.78615
139,0.214,8e-04,0.0017,0.7835
140,0.2157,0.00065,0.00175,0.7819
141,0.2177,0.00045,0.00205,0.7798
142,0.2196,0.00075,0.0017,0.77795
143,0.22225,8e-04,0.0015,0.77545
144,0.2247,0.00065,0.00155,0.7731
145,0.2264,0.00075,0.00145,0.7714
146,0.22815,0.00065,0.0015,0.7697
147,0.2304,7e-04,0.00125,0.76765
148,0.23245,8e-04,0.0013,0.76545
149,0.2344,0.00085,0.0013,0.76345
150,0.2359,0.00085,0.0014,0.76185
151,0.2386,8e-04,0.00125,0.75935
152,0.2407,7e-04,0.00115,0.75745
153,0.243,7e-04,0.00125,0.75505
154,0.24505,5e-04,0.0013,0.75315
155,0.24725,5e-04,0.0014,0.75085
156,0.2491,0.00045,0.00125,0.7492
157,0.2514,3e-04,0.0012,0.7471
158,0.25315,0.00045,0.0011,0.7453
159,0.25545,6e-04,0.001,0.74295
160,0.2574,6e-04,0.001,0.741
161,0.25955,8e-04,0.001,0.73865
162,0.26075,0.00065,0.00125,0.73735
163,0.26335,8e-04,0.00095,0.7349
164,0.2649,0.00065,0.001,0.73345
165,0.2676,0.00075,0.00105,0.7306
166,0.2696,7e-04,0.00115,0.72855
167,0.27185,0.00065,0.00115,0.72635
168,0.2737,9e-04,0.0013,0.7241
169,0.27575,0.00095,0.0012,0.7221
170,0.2775,0.00115,0.0013,0.72005
171,0.27985,0.00095,0.0016,0.7176
172,0.28175,0.00105,0.0015,0.7157
173,0.28385,0.00075,0.0015,0.7139
174,0.2856,9e-04,0.00145,0.71205
175,0.28735,0.00075,0.0015,0.7104
176,0.28935,0.00075,0.00165,0.70825
177,0.29095,8e-04,0.0018,0.70645
178,0.29225,0.00095,0.00165,0.70515
