"t","S","E","I","R"
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.99805,0.00195,0,0
5,0.99805,0.00165,3e-04,0
6,0.99665,0.0027,0.00065,0
7,0.99665,0.00205,0.00125,5e-05
8,0.9949,0.0032,0.00175,0.00015
9,0.9949,0.00235,0.0024,0.00035
10,0.99215,0.00455,0.0026,7e-04
11,0.99215,0.00405,0.0026,0.0012
12,0.98935,0.0058,0.00335,0.0015
13,0.98935,0.00435,0.00435,0.00195
14,0.98525,0.0074,0.00495,0.0024
15,0.98535,0.0058,0.00615,0.0027
16,0.97925,0.0102,0.0071,0.00345
17,0.97925,0.00815,0.0084,0.0042
18,0.97005,0.01545,0.00945,0.00505
19,0.97005,0.01215,0.0115,0.0063
20,0.9593,0.01985,0.0129,0.00795
21,0.9593,0.0148,0.0166,0.0093
22,0.9429,0.02685,0.01855,0.0117
23,0.94295,0.0218,0.0211,0.01415
24,0.9239,0.0345,0.025,0.0166
25,0.9239,0.0275,0.02935,0.01925
26,0.8961,0.0484,0.0325,0.023
27,0.89625,0.0379,0.03935,0.0265
28,0.8609,0.0616,0.04635,0.03115
29,0.86085,0.04865,0.05425,0.03625
30,0.81425,0.0815,0.0622,0.04205
31,0.8144,0.06425,0.07135,0.05
32,0.7565,0.10485,0.0805,0.05815
33,0.75675,0.08195,0.0925,0.0688
34,0.68915,0.1274,0.10335,0.0801
35,0.68925,0.0997,0.11825,0.0928
36,0.61085,0.1494,0.1325,0.10725
37,0.61115,0.1195,0.147,0.12235
38,0.52565,0.17195,0.16285,0.13955
39,0.52585,0.1359,0.1788,0.15945
40,0.43465,0.18745,0.19695,0.18095
41,0.43515,0.1449,0.2169,0.20305
42,0.34855,0.19215,0.22965,0.22965
43,0.34855,0.1487,0.2462,0.25655
44,0.26825,0.1872,0.2607,0.28385
45,0.26885,0.1445,0.27305,0.3136
46,0.20225,0.1683,0.28295,0.3465
47,0.2026,0.13065,0.28505,0.3817
48,0.15035,0.14595,0.2875,0.4162
49,0.1503,0.11325,0.28415,0.4523
50,0.10985,0.1233,0.2806,0.48625
51,0.11045,0.0934,0.27715,0.519
52,0.08465,0.0936,0.2692,0.55255
53,0.0862,0.0723,0.25795,0.58355
54,0.06705,0.0723,0.2457,0.61495
55,0.0683,0.0545,0.2334,0.6438
56,0.05435,0.05425,0.2197,0.6717
57,0.0557,0.0413,0.2048,0.6982
58,0.0466,0.041,0.1897,0.7227
59,0.0478,0.03185,0.17565,0.7447
60,0.0416,0.03015,0.16295,0.7653
61,0.04385,0.0231,0.1505,0.78255
62,0.0406,0.02255,0.13725,0.7996
63,0.04185,0.01855,0.12445,0.81515
64,0.04,0.01755,0.1138,0.82865
65,0.04215,0.01445,0.10225,0.84115
66,0.04175,0.01365,0.09325,0.85135
67,0.0446,0.011,0.0848,0.8596
68,0.0441,0.0112,0.07655,0.86815
69,0.04765,0.0089,0.06965,0.8738
70,0.0479,0.0097,0.06195,0.88045
71,0.05125,0.0085,0.0554,0.88485
72,0.05115,0.0086,0.04955,0.8907
73,0.05345,0.00665,0.04585,0.89405
74,0.05395,0.0067,0.04195,0.8974
75,0.0572,0.00615,0.03665,0.9
76,0.05845,0.0056,0.03395,0.902
77,0.06165,0.00415,0.03125,0.90295
78,0.06325,0.0038,0.02865,0.9043
79,0.0675,0.00345,0.0257,0.90335
80,0.0682,0.0041,0.0228,0.9049
81,0.071,0.0039,0.01995,0.90515
82,0.0725,0.00405,0.0186,0.90485
83,0.07605,0.004,0.01645,0.9035
84,0.0779,0.00395,0.01535,0.9028
85,0.08095,0.0033,0.01445,0.9013
86,0.08265,0.00335,0.0124,0.9016
87,0.08555,0.0026,0.01165,0.9002
88,0.08735,0.0028,0.0106,0.89925
89,0.09005,0.0029,0.0094,0.89765
90,0.09235,0.0028,0.00905,0.8958
91,0.0958,0.0025,0.0084,0.8933
92,0.0975,0.00185,0.008,0.89265
93,0.1004,0.00125,0.00755,0.8908
94,0.10225,0.0014,0.0071,0.88925
95,0.10495,0.00135,0.00675,0.88695
96,0.10735,0.00145,0.0056,0.8856
97,0.1101,0.00135,0.0051,0.88345
98,0.1125,0.0013,0.0048,0.8814
99,0.1155,0.00125,0.0041,0.87915
100,0.11745,0.00125,0.00345,0.87785
101,0.1203,0.0012,0.00325,0.87525
102,0.123,0.00135,0.003,0.87265
103,0.12665,0.0011,0.00295,0.8693
104,0.1286,0.0011,0.0028,0.8675
105,0.13175,0.001,0.0025,0.86475
106,0.13405,0.00095,0.00235,0.86265
107,0.1375,0.00085,0.00235,0.8593
108,0.13935,8e-04,0.0023,0.85755
109,0.1423,0.00085,0.0022,0.85465
110,0.14425,0.00055,0.0023,0.8529
111,0.1465,0.00065,0.0023,0.85055
112,0.1484,8e-04,0.0021,0.8487
113,0.15145,0.00085,0.00205,0.84565
114,0.1536,9e-04,0.0019,0.8436
115,0.15695,0.00055,0.0021,0.8404
116,0.159,0.00065,0.00215,0.8382
117,0.1626,5e-04,0.0019,0.835
118,0.16485,0.00035,0.0019,0.8329
119,0.1675,4e-04,0.0016,0.8305
120,0.1696,7e-04,0.0014,0.8283
121,0.17245,7e-04,0.00135,0.8255
122,0.175,0.00055,0.0014,0.82305
123,0.1777,5e-04,0.0013,0.8205
124,0.1796,6e-04,0.0013,0.8185
125,0.1827,5e-04,0.0013,0.8155
126,0.1852,5e-04,0.0013,0.813
127,0.1878,0.00035,0.0015,0.81035
128,0.18935,5e-04,0.0014,0.80875
129,0.1916,5e-04,0.0013,0.8066
130,0.19365,0.00055,0.00125,0.80455
131,0.19625,7e-04,0.0011,0.80195
132,0.19865,0.00055,0.0012,0.7996
133,0.20105,3e-04,0.0013,0.79735
134,0.20305,4e-04,0.0013,0.79525
135,0.2058,0.00035,0.00095,0.7929
136,0.20745,5e-04,9e-04,0.79115
137,0.20945,0.00045,0.00075,0.78935
138,0.211,5e-04,6e-04,0.7879
139,0.2135,0.00035,6e-04,0.78555
140,0.2161,0.00035,0.00075,0.7828
141,0.2186,0.00035,0.00075,0.7803
142,0.22145,0.00025,8e-04,0.7775
143,0.22385,0.00025,0.00085,0.77505
144,0.2256,0.00025,0.00085,0.7733
145,0.22765,2e-04,0.00095,0.7712
146,0.2297,2e-04,9e-04,0.7692
147,0.2314,3e-04,0.00095,0.76735
148,0.2336,4e-04,9e-04,0.7651
149,0.2361,0.00055,9e-04,0.76245
150,0.2378,5e-04,0.001,0.7607
151,0.241,5e-04,0.00095,0.75755
152,0.243,4e-04,0.00105,0.75555
153,0.2453,0.00045,0.0011,0.75315
154,0.2467,4e-04,0.0012,0.7517
155,0.24955,0.00035,0.00125,0.74885
156,0.2514,5e-04,0.0011,0.747
157,0.25355,0.00075,0.001,0.7447
158,0.25535,0.00085,0.00085,0.74295
159,0.25695,0.00085,0.00095,0.74125
160,0.2591,7e-04,0.00105,0.73915
161,0.2619,7e-04,0.00105,0.73635
162,0.26355,0.00055,0.00115,0.73475
163,0.2653,5e-04,0.00105,0.73315
164,0.2672,6e-04,0.0012,0.731
165,0.26895,6e-04,0.00115,0.7293
166,0.2704,6e-04,0.00115,0.72785
167,0.27245,0.00055,0.0012,0.7258
168,0.2741,5e-04,0.00105,0.72435
169,0.27615,4e-04,0.00115,0.7223
170,0.27845,4e-04,0.0011,0.72005
171,0.281,6e-04,0.001,0.7174
172,0.28285,6e-04,0.00115,0.7154
173,0.2843,0.00045,0.00135,0.7139
174,0.28605,0.00035,0.00125,0.71235
175,0.28805,0.00025,0.00125,0.71045
176,0.2898,6e-04,0.00105,0.70855
177,0.29155,0.00045,0.00115,0.70685
