"t","S","E","I","R"
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.9977,0.0023,0,0
5,0.9977,0.00175,0.00055,0
6,0.9966,0.00235,0.001,5e-05
7,0.9966,0.00225,0.00105,1e-04
8,0.99525,0.00265,0.0019,2e-04
9,0.99525,0.00205,0.0023,4e-04
10,0.99245,0.0043,0.00255,7e-04
11,0.99245,0.0031,0.00355,9e-04
12,0.9883,0.00635,0.00385,0.0015
13,0.9883,0.00525,0.00455,0.0019
14,0.9836,0.0083,0.0056,0.0025
15,0.9836,0.0064,0.007,0.003
16,0.9769,0.01125,0.00815,0.0037
17,0.9769,0.00925,0.00925,0.0046
18,0.96835,0.0156,0.0104,0.00565
19,0.96835,0.01175,0.01295,0.00695
20,0.956,0.02105,0.01435,0.0086
21,0.956,0.0171,0.0168,0.0101
22,0.9401,0.02775,0.0203,0.01185
23,0.9401,0.0217,0.02415,0.01405
24,0.91785,0.0376,0.02765,0.0169
25,0.9179,0.03025,0.0319,0.01995
26,0.8868,0.0525,0.0381,0.0226
27,0.8869,0.04135,0.0446,0.02715
28,0.849,0.067,0.05235,0.03165
29,0.8491,0.05275,0.06,0.03815
30,0.7971,0.0903,0.06755,0.04505
31,0.7972,0.0701,0.07935,0.05335
32,0.72985,0.11855,0.0894,0.0622
33,0.72995,0.0928,0.1048,0.07245
34,0.65545,0.1409,0.11735,0.0863
35,0.65555,0.11055,0.1343,0.0996
36,0.56985,0.16345,0.15045,0.11625
37,0.57005,0.1281,0.1687,0.13315
38,0.48045,0.17995,0.18685,0.15275
39,0.48055,0.1397,0.20405,0.1757
40,0.3908,0.19115,0.21665,0.2014
41,0.3913,0.14875,0.2317,0.22825
42,0.3092,0.189,0.2477,0.2541
43,0.3095,0.14595,0.26115,0.2834
44,0.23765,0.1779,0.268,0.31645
45,0.2383,0.13785,0.27615,0.3477
46,0.1782,0.1612,0.27905,0.38155
47,0.17855,0.1244,0.2835,0.41355
48,0.13595,0.1351,0.28255,0.4464
49,0.1372,0.10175,0.28055,0.4805
50,0.102,0.1102,0.27375,0.51405
51,0.10315,0.08275,0.26595,0.54815
52,0.07715,0.0866,0.2546,0.58165
53,0.0778,0.06615,0.2418,0.61425
54,0.0605,0.0657,0.22995,0.64385
55,0.0619,0.0505,0.2162,0.6714
56,0.05015,0.0485,0.20225,0.6991
57,0.05165,0.03745,0.18975,0.72115
58,0.04585,0.0359,0.1756,0.74265
59,0.0466,0.02815,0.1621,0.76315
60,0.04055,0.02845,0.1472,0.7838
61,0.04275,0.02205,0.1327,0.8025
62,0.03925,0.02125,0.1221,0.8174
63,0.04205,0.01705,0.11185,0.82905
64,0.04,0.0163,0.1017,0.842
65,0.0407,0.0139,0.092,0.8534
66,0.04045,0.0136,0.0834,0.86255
67,0.0427,0.01055,0.0756,0.87115
68,0.04325,0.00985,0.0686,0.8783
69,0.04575,0.00805,0.0623,0.8839
70,0.0457,0.00795,0.05625,0.8901
71,0.04945,0.0069,0.04935,0.8943
72,0.05005,0.00675,0.0452,0.898
73,0.05375,0.00565,0.0408,0.8998
74,0.05485,0.00565,0.0364,0.9031
75,0.05815,0.00505,0.033,0.9038
76,0.05885,0.0053,0.0299,0.90595
77,0.06305,0.0044,0.02705,0.9055
78,0.0634,0.0043,0.02525,0.90705
79,0.067,0.0036,0.0224,0.907
80,0.0684,0.00365,0.01995,0.908
81,0.07095,0.0035,0.0176,0.90795
82,0.0729,0.0039,0.0158,0.9074
83,0.07775,0.0036,0.01405,0.9046
84,0.0803,0.0032,0.0132,0.9033
85,0.0844,0.00275,0.0126,0.90025
86,0.08635,0.0023,0.01205,0.8993
87,0.0901,0.00255,0.0104,0.89695
88,0.0916,0.00285,0.0095,0.89605
89,0.09535,0.00245,0.00855,0.89365
90,0.0969,0.0024,0.00765,0.89305
91,0.10085,0.0019,0.0074,0.88985
92,0.1034,0.0019,0.00675,0.88795
93,0.10605,0.0017,0.0066,0.88565
94,0.1081,0.0016,0.0062,0.8841
95,0.1115,0.001,0.00595,0.88155
96,0.11365,8e-04,0.00545,0.8801
97,0.1176,8e-04,0.0051,0.8765
98,0.1197,8e-04,0.0044,0.8751
99,0.12245,0.00105,0.0036,0.8729
100,0.125,0.0012,0.00345,0.87035
101,0.12785,0.0014,0.003,0.86775
102,0.1301,0.00145,0.00285,0.8656
103,0.13295,0.0012,0.00295,0.8629
104,0.13445,0.0014,0.0028,0.86135
105,0.1379,9e-04,0.003,0.8582
106,0.1398,0.001,0.00275,0.85645
107,0.1431,9e-04,0.0025,0.8535
108,0.1451,9e-04,0.00235,0.85165
109,0.1479,0.00075,0.0025,0.84885
110,0.1493,0.00065,0.00225,0.8478
111,0.15295,7e-04,0.0021,0.84425
112,0.1549,0.00085,0.002,0.84225
113,0.15815,0.00065,0.0019,0.8393
114,0.1602,0.00055,0.00185,0.8374
115,0.1626,0.00055,0.0017,0.83515
116,0.1642,7e-04,0.00175,0.83335
117,0.16695,6e-04,0.0018,0.83065
118,0.1687,7e-04,0.0018,0.8288
119,0.1722,8e-04,0.00145,0.82555
120,0.17365,0.00065,0.0016,0.8241
121,0.1769,0.00075,0.0014,0.82095
122,0.17885,0.00085,0.00135,0.81895
123,0.18135,0.00055,0.0013,0.8168
124,0.18335,0.00065,0.00115,0.81485
125,0.18525,0.00055,0.00115,0.81305
126,0.1869,7e-04,0.00125,0.81115
127,0.18935,7e-04,0.00125,0.8087
128,0.19185,8e-04,0.00125,0.8061
129,0.1945,7e-04,0.0013,0.8035
130,0.19695,9e-04,0.0013,0.80085
131,0.1995,0.00095,0.00115,0.7984
132,0.2016,7e-04,0.00135,0.79635
133,0.204,6e-04,0.00135,0.79405
134,0.2065,5e-04,0.0014,0.7916
135,0.20875,0.00045,0.0014,0.7894
136,0.2109,0.00045,0.0013,0.78735
137,0.21355,0.00055,0.00125,0.78465
138,0.21535,7e-04,0.0011,0.78285
139,0.2175,8e-04,0.001,0.7807
140,0.2194,0.00085,0.00105,0.7787
141,0.222,8e-04,0.00105,0.77615
142,0.22395,8e-04,0.00115,0.7741
143,0.2258,7e-04,0.0012,0.7723
144,0.2277,0.00055,0.00135,0.7704
145,0.23,6e-04,0.00135,0.76805
146,0.23175,7e-04,0.0013,0.76625
147,0.23395,0.00075,0.00125,0.76405
148,0.23565,0.00075,0.0012,0.7624
149,0.23765,6e-04,0.00125,0.7605
150,0.2395,6e-04,0.00125,0.75865
151,0.2415,4e-04,0.0013,0.7568
152,0.243,0.00065,0.0012,0.75515
153,0.24515,0.00055,0.0013,0.753
154,0.24705,6e-04,0.00115,0.7512
155,0.24965,5e-04,0.0012,0.74865
156,0.25165,4e-04,0.00125,0.7467
157,0.25375,5e-04,0.00115,0.7446
158,0.25525,0.00065,0.001,0.7431
159,0.2578,8e-04,0.00085,0.74055
160,0.25965,0.00065,9e-04,0.7388
161,0.2618,7e-04,0.00095,0.73655
162,0.2638,0.00075,0.00085,0.7346
163,0.26525,8e-04,0.00095,0.733
164,0.2663,7e-04,0.00115,0.73185
165,0.26855,0.00085,0.00115,0.72945
166,0.27035,0.00085,0.0012,0.7276
167,0.27225,0.00055,0.00155,0.72565
168,0.2734,0.00075,0.00125,0.7246
169,0.27535,0.00075,0.00125,0.72265
170,0.27675,0.00075,0.00125,0.72125
171,0.279,6e-04,0.0013,0.7191
172,0.28085,6e-04,0.00135,0.7172
173,0.2826,0.00045,0.00165,0.7153
174,0.2846,0.00055,0.0016,0.71325
175,0.28645,7e-04,0.00145,0.7114
176,0.2881,6e-04,0.00155,0.70975
177,0.29025,6e-04,0.00155,0.7076
