"t","S","E","I","R"
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.9979,0.0021,0,0
5,0.9979,0.0016,5e-04,0
6,0.99675,0.00235,9e-04,0
7,0.99675,0.00175,0.00145,5e-05
8,0.99565,0.0024,0.0018,0.00015
9,0.99565,0.00185,0.00215,0.00035
10,0.99325,0.0039,0.0023,0.00055
11,0.99325,0.0033,0.00265,8e-04
12,0.99015,0.0053,0.00355,0.001
13,0.99015,0.00435,0.0041,0.0014
14,0.98625,0.00695,0.005,0.0018
15,0.98625,0.00565,0.0057,0.0024
16,0.9795,0.01085,0.00655,0.0031
17,0.9795,0.0091,0.0076,0.0038
18,0.9715,0.01475,0.00915,0.0046
19,0.97155,0.0114,0.01155,0.0055
20,0.9583,0.022,0.01295,0.00675
21,0.9583,0.01725,0.01635,0.0081
22,0.94255,0.028,0.0197,0.00975
23,0.94255,0.022,0.02305,0.0124
24,0.918,0.0403,0.0266,0.0151
25,0.918,0.0325,0.03165,0.01785
26,0.88845,0.0518,0.0381,0.02165
27,0.88855,0.04115,0.04405,0.02625
28,0.84855,0.069,0.0511,0.03135
29,0.8486,0.05535,0.0581,0.03795
30,0.7986,0.0899,0.06745,0.04405
31,0.7987,0.07115,0.07785,0.0523
32,0.736,0.1136,0.0897,0.0607
33,0.7361,0.0898,0.1011,0.073
34,0.66055,0.13975,0.1159,0.0838
35,0.6608,0.1105,0.1312,0.0975
36,0.5785,0.16055,0.14835,0.1126
37,0.5787,0.127,0.1654,0.1289
38,0.48675,0.18305,0.18155,0.14865
39,0.487,0.14445,0.1969,0.17165
40,0.3954,0.1969,0.21215,0.19555
41,0.396,0.1529,0.23035,0.22075
42,0.3097,0.19965,0.2431,0.24755
43,0.30995,0.15345,0.26,0.2766
44,0.2378,0.1841,0.2704,0.3077
45,0.2382,0.1419,0.27975,0.34015
46,0.1776,0.16355,0.28345,0.3754
47,0.1782,0.12605,0.28485,0.4109
48,0.13375,0.13695,0.28455,0.44475
49,0.13445,0.10615,0.2799,0.4795
50,0.09975,0.10995,0.27895,0.51135
51,0.10095,0.0836,0.27095,0.5445
52,0.0787,0.0816,0.26205,0.57765
53,0.08015,0.0613,0.2472,0.61135
54,0.0629,0.06195,0.2333,0.64185
55,0.064,0.0473,0.2171,0.6716
56,0.0542,0.04655,0.2007,0.69855
57,0.05505,0.0362,0.1846,0.72415
58,0.0488,0.03505,0.169,0.74715
59,0.05045,0.0275,0.156,0.76605
60,0.0445,0.0259,0.1436,0.786
61,0.0462,0.0207,0.132,0.8011
62,0.04315,0.0194,0.11985,0.8176
63,0.04605,0.0152,0.1087,0.83005
64,0.0435,0.01555,0.0991,0.84185
65,0.0462,0.0125,0.0907,0.8506
66,0.0451,0.0123,0.082,0.8606
67,0.04745,0.01,0.0726,0.86995
68,0.04685,0.00965,0.06675,0.87675
69,0.0492,0.0078,0.0588,0.8842
70,0.04895,0.0086,0.0526,0.88985
71,0.0525,0.00725,0.0478,0.89245
72,0.0524,0.00735,0.04395,0.8963
73,0.0554,0.0063,0.04,0.8983
74,0.05645,0.00635,0.0365,0.9007
75,0.0598,0.00575,0.0329,0.90155
76,0.0604,0.00575,0.0297,0.90415
77,0.0632,0.0053,0.0271,0.9044
78,0.06405,0.00585,0.02465,0.90545
79,0.06725,0.005,0.02305,0.9047
80,0.0688,0.0049,0.0213,0.905
81,0.0717,0.004,0.0193,0.905
82,0.07375,0.0035,0.0179,0.90485
83,0.07845,0.00285,0.0159,0.9028
84,0.07955,0.0031,0.015,0.90235
85,0.08435,0.00275,0.01345,0.89945
86,0.086,0.0031,0.0124,0.8985
87,0.08955,0.00275,0.0112,0.8965
88,0.09165,0.0025,0.01065,0.8952
89,0.0949,0.00245,0.0092,0.89345
90,0.09635,0.0029,0.00805,0.8927
91,0.09915,0.00265,0.0079,0.8903
92,0.1014,0.0025,0.0076,0.8885
93,0.10455,0.0018,0.0076,0.88605
94,0.10645,0.00175,0.00705,0.88475
95,0.1096,0.00185,0.00635,0.8822
96,0.11175,0.002,0.0059,0.88035
97,0.11615,0.00155,0.00545,0.87685
98,0.11805,0.0015,0.0051,0.87535
99,0.1221,0.0014,0.0049,0.8716
100,0.1249,0.0013,0.00455,0.86925
101,0.12825,0.0014,0.00425,0.8661
102,0.13005,0.00145,0.0037,0.8648
103,0.13395,0.00135,0.0037,0.861
104,0.13605,0.00135,0.0036,0.859
105,0.13865,0.00095,0.0036,0.8568
106,0.1405,0.0011,0.00355,0.85485
107,0.14315,0.00095,0.0033,0.8526
108,0.14525,0.0012,0.00325,0.8503
109,0.14835,0.0011,0.0031,0.84745
110,0.1508,0.00125,0.0031,0.84485
111,0.153,0.0012,0.0028,0.843
112,0.1548,0.00145,0.0027,0.84105
113,0.15765,0.00125,0.00255,0.83855
114,0.1599,0.0013,0.0027,0.8361
115,0.16225,0.0012,0.00255,0.834
116,0.16415,0.0012,0.00255,0.8321
117,0.1671,0.0011,0.00255,0.82925
118,0.16955,0.00115,0.00235,0.82695
119,0.172,0.00125,0.0024,0.82435
120,0.1741,0.00125,0.0024,0.82225
121,0.17665,0.00095,0.0022,0.8202
122,0.1782,9e-04,0.0019,0.819
123,0.18075,0.00095,0.0015,0.8168
124,0.1827,0.00115,0.0014,0.81475
125,0.18515,0.001,0.0013,0.81255
126,0.18825,0.00075,0.00155,0.80945
127,0.19155,0.00065,0.00165,0.80615
128,0.1938,6e-04,0.0015,0.8041
129,0.19665,0.00065,0.00145,0.80125
130,0.19925,7e-04,0.00125,0.7988
131,0.20175,6e-04,0.00135,0.7963
132,0.20345,8e-04,0.00115,0.7946
133,0.20575,0.00075,0.001,0.7925
134,0.2074,0.00065,0.0012,0.79075
135,0.2099,0.00075,0.0012,0.78815
136,0.2119,6e-04,0.0012,0.7863
137,0.2147,0.00045,0.00125,0.7836
138,0.21655,5e-04,0.00125,0.7817
139,0.21855,4e-04,0.0013,0.77975
140,0.22025,5e-04,0.00125,0.778
141,0.2229,0.00045,0.0012,0.77545
142,0.2248,0.00065,0.0011,0.77345
143,0.22765,6e-04,0.00125,0.7705
144,0.22985,6e-04,0.00135,0.7682
145,0.2321,0.00065,0.0014,0.76585
146,0.234,0.00075,0.00125,0.764
147,0.23545,9e-04,0.00125,0.7624
148,0.23735,0.001,0.0012,0.76045
149,0.23995,8e-04,0.0015,0.75775
150,0.2418,8e-04,0.00155,0.75585
151,0.24345,0.00085,0.0014,0.7543
152,0.2455,0.00085,0.0013,0.75235
153,0.24765,0.00085,0.00155,0.74995
154,0.2496,8e-04,0.0016,0.748
155,0.2516,6e-04,0.00165,0.74615
156,0.25325,0.00065,0.0015,0.7446
157,0.25535,0.00055,0.00135,0.74275
158,0.2565,7e-04,0.0013,0.7415
159,0.25895,7e-04,0.00135,0.739
160,0.2611,0.00075,0.00135,0.7368
161,0.26365,0.00055,0.0013,0.7345
162,0.2656,0.00065,0.00135,0.7324
163,0.2675,0.00075,0.0015,0.73025
164,0.2696,0.00075,0.00145,0.7282
165,0.27175,0.00075,0.0013,0.7262
166,0.27355,7e-04,0.00155,0.7242
167,0.27575,7e-04,0.0014,0.72215
168,0.2774,6e-04,0.0015,0.7205
169,0.2789,9e-04,0.00145,0.71875
170,0.28105,0.00095,0.0012,0.7168
171,0.28335,0.00095,0.0014,0.7143
172,0.28485,9e-04,0.00155,0.7127
173,0.2866,0.00065,0.0017,0.71105
174,0.2887,0.00045,0.0016,0.70925
175,0.29055,4e-04,0.0018,0.70725
176,0.2922,0.00065,0.0017,0.70545
177,0.2942,0.00065,0.0016,0.70355
