"t","S","E","I","R"
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.99765,0.00235,0,0
5,0.99765,0.002,0.00035,0
6,0.9963,0.0029,8e-04,0
7,0.9963,0.0021,0.00155,5e-05
8,0.99475,0.00295,0.00215,0.00015
9,0.99475,0.00225,0.00245,0.00055
10,0.9915,0.0048,0.0029,8e-04
11,0.9915,0.0038,0.0035,0.0012
12,0.9888,0.0052,0.0043,0.0017
13,0.9888,0.004,0.005,0.0022
14,0.9831,0.00845,0.0058,0.00265
15,0.9831,0.0064,0.00715,0.00335
16,0.97575,0.0114,0.00865,0.0042
17,0.9758,0.00945,0.0099,0.00485
18,0.96605,0.0163,0.01165,0.006
19,0.96605,0.01285,0.0131,0.008
20,0.95175,0.02365,0.01495,0.00965
21,0.95175,0.01905,0.0178,0.0114
22,0.93285,0.03235,0.0209,0.0139
23,0.93285,0.02585,0.0249,0.0164
24,0.9112,0.04065,0.02885,0.0193
25,0.9112,0.03145,0.03505,0.0223
26,0.8761,0.0582,0.0385,0.0272
27,0.87615,0.0455,0.04665,0.0317
28,0.83505,0.0739,0.0552,0.03585
29,0.83505,0.0586,0.06345,0.0429
30,0.78175,0.09545,0.0721,0.0507
31,0.78175,0.0749,0.0843,0.05905
32,0.71465,0.12325,0.0934,0.0687
33,0.7149,0.0971,0.11005,0.07795
34,0.63995,0.14535,0.1235,0.0912
35,0.6402,0.11335,0.13935,0.1071
36,0.5529,0.1686,0.1544,0.1241
37,0.55345,0.1302,0.17455,0.1418
38,0.4638,0.18265,0.19205,0.1615
39,0.46415,0.14105,0.2104,0.1844
40,0.37315,0.19425,0.2233,0.2093
41,0.37315,0.14975,0.242,0.2351
42,0.2911,0.18915,0.2546,0.26515
43,0.29175,0.1484,0.2627,0.29715
44,0.22095,0.17655,0.27415,0.32835
45,0.22135,0.13705,0.28155,0.36005
46,0.1644,0.1553,0.28545,0.39485
47,0.1654,0.11745,0.2883,0.42885
48,0.1237,0.1267,0.2863,0.4633
49,0.12455,0.09765,0.2789,0.4989
50,0.0931,0.1031,0.27115,0.53265
51,0.09385,0.07835,0.26205,0.56575
52,0.07205,0.0785,0.25425,0.5952
53,0.07345,0.05945,0.242,0.6251
54,0.0574,0.06135,0.22495,0.6563
55,0.0585,0.0471,0.21095,0.68345
56,0.05,0.04385,0.19675,0.7094
57,0.0512,0.0344,0.1819,0.7325
58,0.0457,0.03205,0.1683,0.75395
59,0.04675,0.0253,0.15315,0.7748
60,0.04175,0.0258,0.13875,0.7937
61,0.0441,0.0204,0.12675,0.80875
62,0.0402,0.02025,0.1148,0.82475
63,0.0423,0.0165,0.10405,0.83715
64,0.0404,0.0158,0.09625,0.84755
65,0.0436,0.01265,0.08715,0.8566
66,0.0421,0.013,0.07935,0.86555
67,0.0451,0.0109,0.0708,0.8732
68,0.04445,0.01045,0.06465,0.88045
69,0.0473,0.00885,0.0573,0.88655
70,0.0477,0.00885,0.05145,0.892
71,0.05085,0.0075,0.04715,0.8945
72,0.0517,0.00705,0.0437,0.89755
73,0.05455,0.0059,0.0389,0.90065
74,0.05475,0.0063,0.03545,0.9035
75,0.05835,0.0057,0.03165,0.9043
76,0.0602,0.00525,0.0281,0.90645
77,0.06295,0.00485,0.02485,0.90735
78,0.06355,0.00475,0.02255,0.90915
79,0.0669,0.0041,0.02075,0.90825
80,0.06815,0.0043,0.0191,0.90845
81,0.07115,0.00295,0.01835,0.90755
82,0.07295,0.00295,0.01685,0.90725
83,0.0771,0.00275,0.0152,0.90495
84,0.07915,0.00265,0.0138,0.9044
85,0.0838,0.002,0.0124,0.9018
86,0.08515,0.0025,0.011,0.90135
87,0.08895,0.0026,0.0102,0.89825
88,0.09035,0.003,0.00935,0.8973
89,0.09435,0.0027,0.0089,0.89405
90,0.09605,0.00295,0.0081,0.8929
91,0.09935,0.0027,0.00785,0.8901
92,0.1013,0.0028,0.0074,0.8885
93,0.1051,0.0021,0.00745,0.88535
94,0.10695,0.0019,0.0069,0.88425
95,0.1109,0.00165,0.00655,0.8809
96,0.113,0.0017,0.0058,0.8795
97,0.116,0.00155,0.0054,0.87705
98,0.1183,0.0017,0.0051,0.8749
99,0.12185,0.0011,0.0049,0.87215
100,0.1238,0.0013,0.00415,0.87075
101,0.12695,0.00135,0.00395,0.86775
102,0.12835,0.00135,0.00375,0.86655
103,0.13115,0.00105,0.00375,0.86405
104,0.1329,0.00145,0.0034,0.86225
105,0.13665,0.0012,0.00325,0.8589
106,0.13865,0.00105,0.0032,0.8571
107,0.1419,0.00085,0.003,0.85425
108,0.1441,0.001,0.0027,0.8522
109,0.14695,0.00095,0.0025,0.8496
110,0.149,9e-04,0.0023,0.8478
111,0.1519,0.00085,0.00225,0.845
112,0.15345,0.001,0.00215,0.8434
113,0.1564,0.00095,0.00195,0.8407
114,0.15805,8e-04,0.002,0.83915
115,0.1612,0.00065,0.00205,0.8361
116,0.163,9e-04,0.0016,0.8345
117,0.1654,9e-04,0.0018,0.8319
118,0.16705,9e-04,0.00175,0.8303
119,0.1703,7e-04,0.0018,0.8272
120,0.17235,6e-04,0.0021,0.82495
121,0.1752,0.00055,0.00185,0.8224
122,0.17735,0.00065,0.00155,0.82045
123,0.18005,0.00065,0.00155,0.81775
124,0.18275,5e-04,0.00145,0.8153
125,0.18465,0.00055,0.0014,0.8134
126,0.18735,0.00065,0.00125,0.81075
127,0.19,0.00065,0.0012,0.80815
128,0.19195,7e-04,0.00125,0.8061
129,0.1941,0.00075,0.00125,0.8039
130,0.1964,7e-04,0.00125,0.80165
131,0.1993,5e-04,0.00135,0.79885
132,0.20065,4e-04,0.0013,0.79765
133,0.20275,4e-04,0.0012,0.79565
134,0.2048,6e-04,0.0011,0.7935
135,0.20765,5e-04,0.00105,0.7908
136,0.2096,5e-04,0.0011,0.7888
137,0.21235,6e-04,9e-04,0.78615
138,0.21455,0.00055,0.00095,0.78395
139,0.21785,4e-04,0.00095,0.7808
140,0.22,0.00045,9e-04,0.77865
141,0.2219,4e-04,0.001,0.7767
142,0.2232,6e-04,0.00105,0.77515
143,0.22555,0.00065,0.001,0.7728
144,0.2277,0.00065,0.00125,0.7704
145,0.22975,7e-04,0.0012,0.76835
146,0.2315,0.00075,0.00125,0.7665
147,0.2334,7e-04,0.0013,0.7646
148,0.2352,0.00085,0.0014,0.76255
149,0.2367,8e-04,0.00135,0.76115
150,0.2384,8e-04,0.0014,0.7594
151,0.24125,8e-04,0.0014,0.75655
152,0.24335,0.00075,0.0015,0.7544
153,0.2456,0.00075,0.0013,0.75235
154,0.24705,0.00055,0.00145,0.75095
155,0.24905,5e-04,0.00135,0.7491
156,0.2505,5e-04,0.00125,0.74775
157,0.2522,7e-04,0.00115,0.74595
158,0.2538,8e-04,0.0011,0.7443
159,0.25625,7e-04,0.00125,0.7418
160,0.2583,7e-04,0.00115,0.73985
161,0.2605,0.00065,0.00135,0.7375
162,0.26215,0.00075,0.00115,0.73595
163,0.2641,0.00095,0.00115,0.7338
164,0.2655,0.0012,0.0013,0.732
165,0.26815,0.001,0.00155,0.7293
166,0.2695,0.001,0.0016,0.7279
167,0.27165,0.00085,0.0016,0.7259
168,0.27385,8e-04,0.0016,0.72375
169,0.2758,7e-04,0.00175,0.72175
170,0.27755,0.00085,0.0015,0.7201
171,0.28015,7e-04,0.00155,0.7176
172,0.2816,0.00125,0.0014,0.71575
173,0.28385,0.00115,0.0016,0.7134
174,0.28565,0.0011,0.00175,0.7115
175,0.2881,0.00075,0.00195,0.7092
176,0.28975,0.0011,0.0018,0.70735
177,0.2919,0.00125,0.00165,0.7052
