"t","S","E","I","R"
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.99805,0.00195,0,0
5,0.99805,0.00155,4e-04,0
6,0.9967,0.00245,0.00085,0
7,0.9967,0.00185,0.0013,0.00015
8,0.99525,0.0029,0.00155,3e-04
9,0.99525,0.00245,0.00195,0.00035
10,0.9929,0.00415,0.0024,0.00055
11,0.9929,0.00345,0.0028,0.00085
12,0.9905,0.005,0.00345,0.00105
13,0.9905,0.00415,0.0039,0.00145
14,0.98665,0.00735,0.00425,0.00175
15,0.98665,0.00575,0.0051,0.0025
16,0.9812,0.0093,0.0064,0.0031
17,0.9812,0.0074,0.0078,0.0036
18,0.97425,0.01215,0.00895,0.00465
19,0.97425,0.00985,0.00975,0.00615
20,0.9631,0.01855,0.01065,0.0077
21,0.9631,0.0154,0.01235,0.00915
22,0.9509,0.0233,0.01505,0.01075
23,0.9509,0.0183,0.0186,0.0122
24,0.93405,0.0288,0.0228,0.01435
25,0.9341,0.02285,0.02555,0.0175
26,0.90875,0.04265,0.02835,0.02025
27,0.9089,0.0343,0.0337,0.0231
28,0.878,0.0543,0.0412,0.0265
29,0.8781,0.0435,0.0479,0.0305
30,0.8354,0.07325,0.05455,0.0368
31,0.8356,0.05745,0.0632,0.04375
32,0.7805,0.0969,0.0716,0.051
33,0.7806,0.07575,0.08375,0.0599
34,0.7197,0.11565,0.09465,0.07
35,0.7198,0.0912,0.1082,0.0808
36,0.64215,0.1436,0.1213,0.09295
37,0.64245,0.1132,0.13785,0.1065
38,0.5585,0.16885,0.1497,0.12295
39,0.5587,0.13185,0.16855,0.1409
40,0.46975,0.183,0.1857,0.16155
41,0.4697,0.1441,0.2038,0.1824
42,0.37675,0.196,0.22085,0.2064
43,0.37705,0.153,0.2375,0.23245
44,0.2924,0.19665,0.2487,0.26225
45,0.29285,0.1524,0.2618,0.29295
46,0.2201,0.18205,0.27415,0.3237
47,0.2204,0.14045,0.2817,0.35745
48,0.1625,0.1581,0.28845,0.39095
49,0.1629,0.12335,0.2886,0.42515
50,0.12085,0.1277,0.2906,0.46085
51,0.1212,0.097,0.28635,0.49545
52,0.09085,0.10265,0.27595,0.53055
53,0.0918,0.0771,0.2653,0.5658
54,0.06975,0.0775,0.2537,0.59905
55,0.07,0.0609,0.2382,0.6309
56,0.0558,0.05865,0.2236,0.66195
57,0.0578,0.0454,0.20935,0.68745
58,0.0495,0.04315,0.19405,0.7133
59,0.05135,0.03315,0.18245,0.73305
60,0.0447,0.0327,0.1669,0.7557
61,0.04725,0.02565,0.1536,0.7735
62,0.043,0.02565,0.14005,0.7913
63,0.0448,0.0191,0.1289,0.8072
64,0.0416,0.01955,0.116,0.82285
65,0.0437,0.01595,0.10615,0.8342
66,0.04055,0.01645,0.09745,0.84555
67,0.04265,0.01385,0.089,0.8545
68,0.042,0.0135,0.08075,0.86375
69,0.045,0.0104,0.07325,0.87135
70,0.0449,0.01075,0.066,0.87835
71,0.04735,0.0087,0.0601,0.88385
72,0.0482,0.00795,0.05515,0.8887
73,0.0511,0.00615,0.05125,0.8915
74,0.05105,0.00705,0.0452,0.8967
75,0.0537,0.00635,0.0402,0.89975
76,0.05485,0.0057,0.0369,0.90255
77,0.05795,0.0052,0.03275,0.9041
78,0.0596,0.0053,0.02935,0.90575
79,0.06315,0.0045,0.027,0.90535
80,0.0642,0.0045,0.0255,0.9058
81,0.0678,0.00365,0.02325,0.9053
82,0.06935,0.0035,0.0214,0.90575
83,0.073,0.00295,0.01965,0.9044
84,0.0745,0.0033,0.01795,0.90425
85,0.07765,0.00265,0.01705,0.90265
86,0.079,0.0028,0.0153,0.9029
87,0.0826,0.00225,0.01375,0.9014
88,0.08455,0.00245,0.012,0.901
89,0.08835,0.003,0.01075,0.8979
90,0.0903,0.00295,0.0103,0.89645
91,0.0941,0.0023,0.01,0.8936
92,0.0961,0.00225,0.0088,0.89285
93,0.09925,0.0022,0.0086,0.88995
94,0.10095,0.00245,0.00795,0.88865
95,0.1048,0.00195,0.00775,0.8855
96,0.10665,0.0021,0.00735,0.8839
97,0.1099,0.00175,0.0069,0.88145
98,0.11245,0.0015,0.0066,0.87945
99,0.1151,0.0015,0.00665,0.87675
100,0.11655,0.00175,0.0055,0.8762
101,0.11985,0.00165,0.00485,0.87365
102,0.1217,0.00155,0.005,0.87175
103,0.1252,0.00145,0.00515,0.8682
104,0.1268,0.00145,0.00495,0.8668
105,0.12975,0.00135,0.0048,0.8641
106,0.13155,0.0018,0.0046,0.86205
107,0.13435,0.00125,0.00485,0.85955
108,0.13555,0.0015,0.0046,0.85835
109,0.1381,0.00135,0.00405,0.8565
110,0.13985,0.0014,0.00395,0.8548
111,0.14435,0.0015,0.00345,0.8507
112,0.1465,0.0016,0.0033,0.8486
113,0.14995,0.00135,0.0031,0.8456
114,0.15185,0.00105,0.00275,0.84435
115,0.15525,6e-04,0.0026,0.84155
116,0.1574,7e-04,0.00255,0.83935
117,0.15985,0.001,0.0019,0.83725
118,0.16165,0.00125,0.00155,0.83555
119,0.16415,0.00105,0.0016,0.8332
120,0.16665,0.00105,0.0015,0.8308
121,0.169,0.00095,0.0015,0.82855
122,0.1709,0.00095,0.00145,0.8267
123,0.1735,0.00075,0.0017,0.82405
124,0.17585,9e-04,0.00175,0.8215
125,0.17825,8e-04,0.00185,0.8191
126,0.18035,0.001,0.0018,0.81685
127,0.183,7e-04,0.00195,0.81435
128,0.18515,0.00065,0.0018,0.8124
129,0.18755,0.00075,0.0016,0.8101
130,0.1894,0.00085,0.0012,0.80855
131,0.1917,6e-04,0.00135,0.80635
132,0.19375,0.00075,0.0014,0.8041
133,0.19635,8e-04,0.00125,0.8016
134,0.1987,0.00075,0.0013,0.79925
135,0.2014,0.00085,0.0012,0.79655
136,0.20255,0.001,0.0013,0.79515
137,0.20525,7e-04,0.00125,0.7928
138,0.2075,0.00075,0.00125,0.7905
139,0.20985,0.00085,0.0013,0.788
140,0.2121,0.00075,0.0013,0.78585
141,0.2144,0.00055,0.00145,0.7836
142,0.21665,0.00055,0.0013,0.7815
143,0.21915,0.00055,0.00135,0.77895
144,0.22125,0.00055,0.0014,0.7768
145,0.22385,5e-04,0.0014,0.77425
146,0.22615,0.00045,0.00145,0.77195
147,0.22845,5e-04,0.0013,0.76975
148,0.2306,0.00055,0.0013,0.76755
149,0.23295,5e-04,0.00125,0.7653
150,0.23515,5e-04,0.00135,0.763
151,0.2376,7e-04,0.00125,0.76045
152,0.23985,0.00065,0.00115,0.75835
153,0.24115,0.00085,0.0012,0.7568
154,0.24315,0.00105,0.001,0.7548
155,0.2447,0.00105,0.00115,0.7531
156,0.2467,0.0012,0.0011,0.751
157,0.249,0.00105,0.00115,0.7488
158,0.2505,0.00095,0.00135,0.7472
159,0.2527,0.00095,0.00145,0.7449
160,0.2541,0.00075,0.0016,0.74355
161,0.2566,0.00075,0.00155,0.7411
162,0.25825,0.00075,0.00155,0.73945
163,0.2597,0.00105,0.0015,0.73775
164,0.26165,0.00085,0.0018,0.7357
165,0.2644,7e-04,0.002,0.7329
166,0.2661,7e-04,0.00205,0.73115
167,0.26775,0.0012,0.0019,0.72915
168,0.26945,0.00155,0.00175,0.72725
169,0.2721,0.00135,0.0018,0.72475
170,0.2736,0.0013,0.0018,0.7233
171,0.276,0.0011,0.00215,0.72075
172,0.27835,7e-04,0.0025,0.71845
173,0.2801,0.00085,0.0023,0.71675
174,0.28185,0.00115,0.00225,0.71475
175,0.28365,0.0013,0.00205,0.713
176,0.28535,0.00155,0.0021,0.711
177,0.2869,0.00155,0.00225,0.7093
