output,popInit,infectionRadiusI,distRandomWalk,angleRotatRandomWalk
propInfected,0.49275937039793943,0.30912054408977685,-0.1150816955421978,-0.10414931919908799
propSuseptible,0.6042295947520683,0.16065060924564267,0.02646740045469436,-8.519457878884784E-4
propExposed,0.5010014713084108,0.39777984584417236,-0.08554649952408716,-0.11025893646056079
propRecovered,0.49275937039793943,0.30912054408977685,-0.1150816955421978,-0.10414931919908799
